path,url,page_family,current_title,h1,meta_description,indexability_canonical_status,word_count_or_visible_estimate,source_attribution_notes,internal_link_role,current_gsc_signal,recommended_later_phase_no_rewrite_yet
/,https://echobuddha.com/,homepage,Echo Buddha - Buddhist Wisdom for a Calmer Everyday Life,Echo Buddha,"Explore simple Buddhist teachings, daily reflections, quote meanings, beginner meditation guides, and mindfulness practices for a calmer everyday life.",indexable; canonical https://echobuddha.com/; in sitemap,1184,source-context-visible,"Homepage entry point; preserve concept and route users to Buddhist learning, meditation, quotes, and reflections.",12 clicks / 58 impressions / 20.69% CTR / avg position 3.60,Preserve in Phase 1; gentle entry-path optimization only.
/learn/buddhist-dictionary/dhamma/,https://echobuddha.com/learn/buddhist-dictionary/dhamma/,learn detail,Dhamma Meaning: Buddhist Teaching and Truth | Echo Buddha,Dhamma,"Understand Dhamma as Buddhist teaching, truth, practice, and the way things are seen through wisdom.",indexable; canonical https://echobuddha.com/learn/buddhist-dictionary/dhamma/; in sitemap,436,source-context-visible; quote-origin-visible,Primary Dhamma dictionary candidate; protect as concise source-aware term page until Phase 1 rewrite.,0 clicks / 108 impressions / 0.00% CTR / avg position 55.33,Phase 1 priority 1.
/quotes/patience/,https://echobuddha.com/quotes/patience/,quote category,Original Patience Quotes Inspired by Buddhist Practice | Echo Buddha,Original Patience Quotes,"Original Buddhist-inspired patience quotes for difficult moments, delays, personal growth, and calm responses.",indexable; canonical https://echobuddha.com/quotes/patience/; in sitemap,569,source-context-visible; quote-origin-visible; safety-boundary-visible,Quote category candidate; should support patience/right speech/anger cluster without becoming generic quote farm.,0 clicks / 85 impressions / 0.00% CTR / avg position 34.28,Phase 1 priority 4.
/quotes/letting-go/,https://echobuddha.com/quotes/letting-go/,quote category,Original Letting Go Quotes Inspired by Buddhist Practice | Echo Buddha,Original Letting Go Quotes,"Original letting go quotes about non-attachment, releasing control, accepting change, and moving forward peacefully.",indexable; canonical https://echobuddha.com/quotes/letting-go/; in sitemap,611,source-context-visible; quote-origin-visible,Quote category candidate; should support attachment/non-attachment and impermanence cluster.,1 clicks / 73 impressions / 1.37% CTR / avg position 31.53,Phase 1 priority 3.
/articles/right-speech-buddhism/,https://echobuddha.com/articles/right-speech-buddhism/,article,Right Speech in Buddhism: Speak with Kindness | Echo Buddha,Right Speech in Buddhism: How to Speak with Kindness and Awareness,"A practical guide to Right Speech in Buddhism, including mindful communication, honesty, kindness, silence, listening, and daily examples.",indexable; canonical https://echobuddha.com/articles/right-speech-buddhism/; in sitemap,1657,source-context-visible; quote-origin-visible; safety-boundary-visible,Narrow ethical practice article under Eightfold Path; avoid competing with broad path pillar.,0 clicks / 72 impressions / 0.00% CTR / avg position 40.89,Phase 1 priority 6.
/articles/what-is-sangha-buddhist-community/,https://echobuddha.com/articles/what-is-sangha-buddhist-community/,article,What Is Sangha? Buddhist Community for Beginners | Echo Buddha,What Is Sangha? Why Buddhist Community Matters for Beginners,"Understand Sangha as monastic community, Buddhist community, and wise companionship, with practical guidance for learning responsibly.",indexable; canonical https://echobuddha.com/articles/what-is-sangha-buddhist-community/; in sitemap,1986,source-context-visible; quote-origin-visible; safety-boundary-visible,Deeper beginner Sangha article; should pair with concise dictionary definition.,0 clicks / 72 impressions / 0.00% CTR / avg position 80.88,Phase 1 priority 7 cluster work.
/learn/buddhist-dictionary/sangha/,https://echobuddha.com/learn/buddhist-dictionary/sangha/,learn detail,Sangha Meaning: Buddhist Community Explained Simply | Echo Buddha,Sangha,Learn the meaning of Sangha as Buddhist community and how wise support helps daily practice.,indexable; canonical https://echobuddha.com/learn/buddhist-dictionary/sangha/; in sitemap,434,source-context-visible; quote-origin-visible,Concise Sangha term reference; protect against duplicating the article.,0 clicks / 3 impressions / 0.00% CTR / avg position 82.00,Phase 1 priority 7 cluster work.
/learn/buddhism-for-beginners/,https://echobuddha.com/learn/buddhism-for-beginners/,learn hub,Buddhism for Beginners - Simple Buddhist Teachings | Echo Buddha,Buddhism for Beginners,"Start learning Buddhism with simple explanations of the Buddha, the Four Noble Truths, the Noble Eightfold Path, mindfulness, compassion, and meditation.",indexable; canonical https://echobuddha.com/learn/buddhism-for-beginners/; in sitemap,420,source-context-visible; quote-origin-visible,Primary beginner Buddhism hub; Start Here remains orientation only.,0 clicks / 70 impressions / 0.00% CTR / avg position 46.13,Phase 1 priority 2.
/articles/three-poisons-buddhism-explained/,https://echobuddha.com/articles/three-poisons-buddhism-explained/,article,"Three Poisons in Buddhism: Greed, Aversion, and Delusion | Echo Buddha","The Three Poisons in Buddhism: Greed, Hatred, and Delusion Explained","Learn how the three poisons in Buddhism work as roots of unskillful action, and how non-greed, non-hatred, and clear seeing change daily choices.",indexable; canonical https://echobuddha.com/articles/three-poisons-buddhism-explained/; in sitemap,2095,source-context-visible; quote-origin-visible; safety-boundary-visible,Doctrine article support for ethics/karma/mind clusters; needs source and snippet clarity later.,1 clicks / 61 impressions / 1.64% CTR / avg position 54.89,Phase 1 priority 8.
/articles/five-precepts-in-daily-life/,https://echobuddha.com/articles/five-precepts-in-daily-life/,article,Five Precepts in Daily Life: Buddhist Ethics for Beginners | Echo Buddha,The Five Precepts in Daily Life: A Beginner&#39;s Guide to Buddhist Ethics,"Understand the Five Precepts as voluntary Buddhist training rules that reduce harm, protect trust, and support heedful daily conduct.",indexable; canonical https://echobuddha.com/articles/five-precepts-in-daily-life/; in sitemap,2220,source-context-visible; quote-origin-visible; safety-boundary-visible,Ethics article support; should link to Right Speech and beginner practice clusters.,0 clicks / 60 impressions / 0.00% CTR / avg position 72.93,Phase 1 priority 8.
/quotes/compassion/,https://echobuddha.com/quotes/compassion/,quote category,Original Compassion Quotes Inspired by Buddhist Practice | Echo Buddha,Original Compassion Quotes,"Original Buddhist-inspired compassion quotes about kindness, understanding, boundaries, and reducing harm.",indexable; canonical https://echobuddha.com/quotes/compassion/; in sitemap,605,source-context-visible; quote-origin-visible,Quote category with GSC signal; protect original-quote disclosure and metta/compassion links.,0 clicks / 46 impressions / 0.00% CTR / avg position 48.26,Later quote-category refinement / monitor.
/articles/compassion-in-buddhism-beginner-guide/,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,article,Compassion in Buddhism: Beginner Guide and Daily Practice | Echo Buddha,Compassion in Buddhism: A Beginner&#39;s Guide,"Learn what compassion means in Buddhism, how it differs from pity, and how to practice it in daily life.",indexable; canonical https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/; in sitemap,1545,source-context-visible; quote-origin-visible,Compassion support article; avoid creating a broad competing hub until cluster grows.,0 clicks / 22 impressions / 0.00% CTR / avg position 49.32,Later compassion cluster refinement / monitor.
/articles/dhammapada-reflection-what-we-think/,https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,article,"Dhammapada Reflection on Thought, Intention, and Mind | Echo Buddha","Dhammapada Reflection: What We Think, We Become","An original reflection inspired by broad Dhammapada themes on thought, intention, karma, and the shaping of the mind.",indexable; canonical https://echobuddha.com/articles/dhammapada-reflection-what-we-think/; in sitemap,1548,source-context-visible; quote-origin-visible,"Dhammapada attribution candidate; must distinguish paraphrase, translation, and Echo Buddha reflection.",0 clicks / 17 impressions / 0.00% CTR / avg position 8.35,Phase 1 priority 5.
/learn/buddhist-dictionary/sati/,https://echobuddha.com/learn/buddhist-dictionary/sati/,learn detail,Sati Meaning: Mindfulness in Buddhist Practice | Echo Buddha,Sati,"Learn Sati, the Buddhist term often translated as mindfulness, with simple examples for daily awareness.",indexable; canonical https://echobuddha.com/learn/buddhist-dictionary/sati/; in sitemap,434,source-context-visible; quote-origin-visible,"Dictionary page with one GSC click; monitor, but not a declared Phase 1 priority in the final plan.",1 clicks / 1 impressions / 100.00% CTR / avg position 94.00,Monitor; later dictionary/source-quality refinement.
