URL,priority,intended_state,live_production_state,Google_predeploy_state,Google_current_state,last_crawl,Google_canonical,expected,converged,action,blocker
https://echobuddha.com/,SEO_P0_CRITICAL,INDEXABLE_CANONICAL_200,"200; index, follow; https://echobuddha.com/",PASS; Submitted and indexed,PASS; Submitted and indexed,2026-08-25T16:22:45Z,https://echobuddha.com/,POSTDEPLOY_CRAWL_OBSERVED,YES,MONITOR_STABILITY,
https://echobuddha.com/about/,SEO_P1_HIGH,INDEXABLE_CANONICAL_200,"200; index, follow; https://echobuddha.com/about/",PASS; Submitted and indexed,PASS; Submitted and indexed,2026-08-22T06:47:33Z,https://echobuddha.com/about/,GOOGLE_PROCESSING_EXPECTED,NO_NOT_YET_RECRAWLED,MONITOR_WITHOUT_CHURN,POSTDEPLOY_GOOGLE_RECRAWL_NOT_YET_OBSERVED
https://echobuddha.com/articles/,SEO_P1_HIGH,INDEXABLE_CANONICAL_200,"200; index, follow; https://echobuddha.com/articles/",PASS; Submitted and indexed,PASS; Submitted and indexed,2026-08-22T16:42:41Z,https://echobuddha.com/articles/,GOOGLE_PROCESSING_EXPECTED,NO_NOT_YET_RECRAWLED,MONITOR_WITHOUT_CHURN,POSTDEPLOY_GOOGLE_RECRAWL_NOT_YET_OBSERVED
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,SEO_P1_HIGH,INDEXABLE_CANONICAL_200,"200; index, follow; https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/",PASS; Submitted and indexed,PASS; Submitted and indexed,2026-08-24T07:33:39Z,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,GOOGLE_PROCESSING_EXPECTED,NO_NOT_YET_RECRAWLED,MONITOR_WITHOUT_CHURN,POSTDEPLOY_GOOGLE_RECRAWL_NOT_YET_OBSERVED
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,SEO_P1_HIGH,INDEXABLE_CANONICAL_200,"200; index, follow; https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/",PASS; Submitted and indexed,PASS; Submitted and indexed,2026-07-18T16:55:09Z,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,GOOGLE_PROCESSING_EXPECTED,NO_NOT_YET_RECRAWLED,MONITOR_WITHOUT_CHURN,POSTDEPLOY_GOOGLE_RECRAWL_NOT_YET_OBSERVED
https://echobuddha.com/articles/compassion-with-boundaries/,SEO_P1_HIGH,INDEXABLE_CANONICAL_200,"200; index, follow; https://echobuddha.com/articles/compassion-with-boundaries/",PASS; Submitted and indexed,PASS; Submitted and indexed,2026-08-06T11:04:10Z,https://echobuddha.com/articles/compassion-with-boundaries/,GOOGLE_PROCESSING_EXPECTED,NO_NOT_YET_RECRAWLED,MONITOR_WITHOUT_CHURN,POSTDEPLOY_GOOGLE_RECRAWL_NOT_YET_OBSERVED
https://echobuddha.com/articles/dhamma-vs-dharma/,SEO_P1_HIGH,INDEXABLE_CANONICAL_200,"200; index, follow; https://echobuddha.com/articles/dhamma-vs-dharma/",PASS; Submitted and indexed,PASS; Submitted and indexed,2026-08-06T11:04:20Z,https://echobuddha.com/articles/dhamma-vs-dharma/,GOOGLE_PROCESSING_EXPECTED,NO_NOT_YET_RECRAWLED,MONITOR_WITHOUT_CHURN,POSTDEPLOY_GOOGLE_RECRAWL_NOT_YET_OBSERVED
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,SEO_P1_HIGH,INDEXABLE_CANONICAL_200,"200; index, follow; https://echobuddha.com/articles/dhammapada-reflection-what-we-think/",PASS; Submitted and indexed,PASS; Submitted and indexed,2026-08-19T03:46:28Z,https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,GOOGLE_PROCESSING_EXPECTED,NO_NOT_YET_RECRAWLED,MONITOR_WITHOUT_CHURN,POSTDEPLOY_GOOGLE_RECRAWL_NOT_YET_OBSERVED
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,SEO_P1_HIGH,INDEXABLE_CANONICAL_200,"200; index, follow; https://echobuddha.com/articles/dhammapada-verse-1-meaning/",PASS; Submitted and indexed,PASS; Submitted and indexed,2026-08-06T16:46:09Z,https://echobuddha.com/articles/dhammapada-verse-1-meaning/,GOOGLE_PROCESSING_EXPECTED,NO_NOT_YET_RECRAWLED,MONITOR_WITHOUT_CHURN,POSTDEPLOY_GOOGLE_RECRAWL_NOT_YET_OBSERVED
https://echobuddha.com/articles/five-precepts-in-daily-life/,SEO_P1_HIGH,INDEXABLE_CANONICAL_200,"200; index, follow; https://echobuddha.com/articles/five-precepts-in-daily-life/",PASS; Submitted and indexed,PASS; Submitted and indexed,2026-07-14T06:18:18Z,https://echobuddha.com/articles/five-precepts-in-daily-life/,GOOGLE_PROCESSING_EXPECTED,NO_NOT_YET_RECRAWLED,MONITOR_WITHOUT_CHURN,POSTDEPLOY_GOOGLE_RECRAWL_NOT_YET_OBSERVED
