URL,route,family,intended_state,expected_http_status,actual_http_status,location,final_url,final_http_status,content_type,canonical,robots,title,h1,sitemap,inlinks,structured_data_types,visible_text_chars,real_ad_signals,empty_ad_placeholders,fetch_error,captured_at
https://echobuddha.com/,/,HOME,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/,200,text/html,https://echobuddha.com/,"index, follow",Echo Buddha - Buddhist Wisdom for a Calmer Everyday Life,Echo Buddha,YES,338,WebSite|SearchAction|Organization|ImageObject|BreadcrumbList|ListItem|FAQPage|Question|Answer|ItemList,5413,0,0,,2026-08-25T05:24:37.384Z
https://echobuddha.com/404,/404,ERROR,NOINDEX_USER_PAGE_200,200,200,,https://echobuddha.com/404,200,text/html,,"noindex, follow",Page Not Found | Echo Buddha,Page Not Found,NO,0,,1383,0,0,,2026-08-25T05:24:37.505Z
https://echobuddha.com/404.html,/404.html,ERROR_ALIAS,TEMPORARY_REDIRECT,307,307,/404,https://echobuddha.com/404,200,text/html,,"noindex, follow",Page Not Found | Echo Buddha,Page Not Found,NO,0,,1383,0,0,,2026-08-25T05:24:37.549Z
https://echobuddha.com/about/,/about/,TRUST,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/about/,200,text/html,https://echobuddha.com/about/,"index, follow",About Echo Buddha | Echo Buddha,About Echo Buddha,YES,338,AboutPage|Organization,4098,0,0,,2026-08-25T05:24:37.500Z
https://echobuddha.com/ads.txt,/ads.txt,TECHNICAL,TECHNICAL_ENDPOINT,200,200,,https://echobuddha.com/ads.txt,200,text/plain,,"index, follow",,,NO,1,,0,0,0,,2026-08-25T05:24:37.503Z
https://echobuddha.com/articles/,/articles/,ARTICLE_NAVIGATION,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/articles/,200,text/html,https://echobuddha.com/articles/,"index, follow",Articles and Blog | Echo Buddha,Articles and Blog,YES,338,Blog|Organization|ItemList|ListItem|BreadcrumbList,13235,0,0,,2026-08-25T05:24:37.532Z
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,/articles/beginning-a-daily-mindfulness-practice/,ARTICLE,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,200,text/html,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,"index, follow",Daily Mindfulness Practice for Beginners | Echo Buddha,Beginning a Daily Mindfulness Practice,YES,24,BlogPosting|Article|Organization|ImageObject|WebPage|BreadcrumbList|ListItem|FAQPage|Question|Answer,9913,0,0,,2026-08-25T05:24:37.660Z
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,/articles/buddhism-for-beginners-simple-guide/,ARTICLE,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,200,text/html,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,"index, follow",Buddhism for Beginners: A Simple Guide | Echo Buddha,Buddhism for Beginners: A Simple Guide to the Path,YES,11,BlogPosting|Article|Organization|ImageObject|WebPage|BreadcrumbList|ListItem|FAQPage|Question|Answer,11818,0,0,,2026-08-25T05:24:37.488Z
https://echobuddha.com/articles/buddhist-approach-to-anger/,/articles/buddhist-approach-to-anger/,ARTICLE,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/articles/buddhist-approach-to-anger/,200,text/html,https://echobuddha.com/articles/buddhist-approach-to-anger/,"index, follow",A Buddhist Approach to Anger | Echo Buddha,"A Buddhist Approach to Anger: Pause, Understand, Respond",YES,19,BlogPosting|Article|Organization|ImageObject|WebPage|BreadcrumbList|ListItem|FAQPage|Question|Answer,12286,0,0,,2026-08-25T05:24:37.513Z
https://echobuddha.com/articles/buddhist-gratitude-practice/,/articles/buddhist-gratitude-practice/,ARTICLE,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/articles/buddhist-gratitude-practice/,200,text/html,https://echobuddha.com/articles/buddhist-gratitude-practice/,"index, follow",Buddhist Gratitude Practice Without Forced Positivity | Echo Buddha,Buddhist Gratitude Practice: Appreciating Life Without Clinging,YES,4,BlogPosting|Article|Organization|ImageObject|WebPage|BreadcrumbList|ListItem|FAQPage|Question|Answer,12121,0,0,,2026-08-25T05:24:37.497Z
