URL,inspected_at,verdict,coverageState,robotsTxtState,indexingState,lastCrawlTime,pageFetchState,googleCanonical,userCanonical,crawledAs,production_live_match,interpretation
https://echobuddha.com/,2026-08-28T04:11:27.975Z,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-08-25T16:22:45Z,SUCCESSFUL,https://echobuddha.com/,https://echobuddha.com/,MOBILE,YES,GOOGLE_INDEXED_STATE_MAY_PRECEDE_PHASE_14_DEPLOYMENT
https://echobuddha.com/about/,2026-08-28T04:11:27.975Z,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-08-22T06:47:33Z,SUCCESSFUL,https://echobuddha.com/about/,https://echobuddha.com/about/,MOBILE,YES,GOOGLE_INDEXED_STATE_MAY_PRECEDE_PHASE_14_DEPLOYMENT
https://echobuddha.com/articles/,2026-08-28T04:11:27.975Z,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-08-22T16:42:41Z,SUCCESSFUL,https://echobuddha.com/articles/,https://echobuddha.com/articles/,MOBILE,YES,GOOGLE_INDEXED_STATE_MAY_PRECEDE_PHASE_14_DEPLOYMENT
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,2026-08-28T04:11:27.975Z,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-08-24T07:33:39Z,SUCCESSFUL,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,MOBILE,YES,GOOGLE_INDEXED_STATE_MAY_PRECEDE_PHASE_14_DEPLOYMENT
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,2026-08-28T04:11:27.975Z,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-07-18T16:55:09Z,SUCCESSFUL,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,MOBILE,YES,GOOGLE_INDEXED_STATE_MAY_PRECEDE_PHASE_14_DEPLOYMENT
https://echobuddha.com/articles/compassion-with-boundaries/,2026-08-28T04:11:27.975Z,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-08-06T11:04:10Z,SUCCESSFUL,https://echobuddha.com/articles/compassion-with-boundaries/,https://echobuddha.com/articles/compassion-with-boundaries/,MOBILE,YES,GOOGLE_INDEXED_STATE_MAY_PRECEDE_PHASE_14_DEPLOYMENT
https://echobuddha.com/articles/dhamma-vs-dharma/,2026-08-28T04:11:27.975Z,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-08-06T11:04:20Z,SUCCESSFUL,https://echobuddha.com/articles/dhamma-vs-dharma/,https://echobuddha.com/articles/dhamma-vs-dharma/,MOBILE,YES,GOOGLE_INDEXED_STATE_MAY_PRECEDE_PHASE_14_DEPLOYMENT
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,2026-08-28T04:11:27.975Z,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-08-19T03:46:28Z,SUCCESSFUL,https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,MOBILE,YES,GOOGLE_INDEXED_STATE_MAY_PRECEDE_PHASE_14_DEPLOYMENT
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,2026-08-28T04:11:27.975Z,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-08-06T16:46:09Z,SUCCESSFUL,https://echobuddha.com/articles/dhammapada-verse-1-meaning/,https://echobuddha.com/articles/dhammapada-verse-1-meaning/,MOBILE,YES,GOOGLE_INDEXED_STATE_MAY_PRECEDE_PHASE_14_DEPLOYMENT
https://echobuddha.com/articles/five-precepts-in-daily-life/,2026-08-28T04:11:27.975Z,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-07-14T06:18:18Z,SUCCESSFUL,https://echobuddha.com/articles/five-precepts-in-daily-life/,https://echobuddha.com/articles/five-precepts-in-daily-life/,MOBILE,YES,GOOGLE_INDEXED_STATE_MAY_PRECEDE_PHASE_14_DEPLOYMENT
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,2026-08-28T04:11:27.975Z,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-08-25T05:39:08Z,SUCCESSFUL,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,MOBILE,YES,GOOGLE_INDEXED_STATE_MAY_PRECEDE_PHASE_14_DEPLOYMENT
https://echobuddha.com/articles/right-speech-buddhism/,2026-08-28T04:11:27.975Z,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-08-25T05:39:07Z,SUCCESSFUL,https://echobuddha.com/articles/right-speech-buddhism/,https://echobuddha.com/articles/right-speech-buddhism/,MOBILE,YES,GOOGLE_INDEXED_STATE_MAY_PRECEDE_PHASE_14_DEPLOYMENT
https://echobuddha.com/daily-reflections/today/,2026-08-28T04:11:27.975Z,NEUTRAL,Excluded by ‘noindex’ tag,ALLOWED,BLOCKED_BY_META_TAG,2026-08-21T21:48:18Z,SUCCESSFUL,https://echobuddha.com/daily-reflections/today/,https://echobuddha.com/daily-reflections/today/,MOBILE,YES,GOOGLE_INDEXED_STATE_MAY_PRECEDE_PHASE_14_DEPLOYMENT
https://echobuddha.com/quotes/letting-go/,2026-08-28T04:11:27.975Z,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-08-11T08:32:01Z,SUCCESSFUL,https://echobuddha.com/quotes/letting-go/,https://echobuddha.com/quotes/letting-go/,MOBILE,YES,GOOGLE_INDEXED_STATE_MAY_PRECEDE_PHASE_14_DEPLOYMENT
https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,2026-08-28T04:11:27.975Z,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-07-31T17:03:53Z,SUCCESSFUL,https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,MOBILE,YES,GOOGLE_INDEXED_STATE_MAY_PRECEDE_PHASE_14_DEPLOYMENT
https://echobuddha.com/start-here/,2026-08-28T04:11:27.975Z,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-08-13T17:44:16Z,SUCCESSFUL,https://echobuddha.com/start-here/,https://echobuddha.com/start-here/,MOBILE,YES,GOOGLE_INDEXED_STATE_MAY_PRECEDE_PHASE_14_DEPLOYMENT
