URL,Initial decision,Final repository action,Final repository status,Files changed,Deferred review
/articles/dhamma-vs-dharma/,SOURCE VERIFICATION REQUIRED,Added direct Dhamma definition source support and narrowed wording to common Pali/Sanskrit forms with multi-meaning caveat,Repository-remediated; source queue cleared,src/data/site.ts; src/data/editorialGovernance.ts,Buddhist-studies philology review for deeper language history
/articles/visiting-a-buddhist-temple-respectfully/,SOURCE VERIFICATION REQUIRED,Added institutional etiquette sources and accessibility/local-variation caveats,Repository-remediated; source queue cleared,src/data/site.ts; src/data/editorialGovernance.ts,Local/tradition etiquette review
/articles/first-week-buddhist-practice/,MINOR EDIT,Labeled the seven-day sequence as Echo Buddha editorial guidance and strengthened adapt/stop language,Repository-remediated,src/data/site.ts,None
/articles/non-attachment-in-relationships/,SUBSTANTIVE CONTENT IMPROVEMENT,Added consent safety non-counselling and protection language so non-attachment is not used to excuse harm,Repository-remediated,src/data/site.ts,Human relationship-safety review for severe harm contexts
/articles/right-speech-examples/,MINOR EDIT,Made the traditional Right Speech four abstentions visible before modern examples,Repository-remediated,src/data/site.ts,None
/articles/dhammapada-verse-1-meaning/,SUBSTANTIVE CONTENT IMPROVEMENT,Added canonical location translator/edition caution and anti-blame language for trauma illness poverty abuse grief and loss,Repository-remediated,src/data/site.ts; src/data/editorialGovernance.ts,Translation/copyright review before reproducing substantial translations
/learn/buddhism-101/middle-way-explained-for-beginners/,MINOR EDIT,Clarified that the Middle Way is not generic compromise or any midpoint,Repository-remediated,src/data/learn.ts,Buddhist-studies review for advanced nuance
/learn/buddhism-101/threefold-training-sila-samadhi-panna/,SOURCE VERIFICATION REQUIRED,Added direct threefold-training source support spelling clarity and no-attainment-guarantee caveat,Repository-remediated; source queue cleared,src/data/learn.ts,Buddhist-studies review for tradition differences
/learn/buddhism-101/five-hindrances-in-buddhism/,SUBSTANTIVE CONTENT IMPROVEMENT,Added non-diagnostic non-shaming and adapt/stop/support safety language,Repository-remediated,src/data/learn.ts,Meditation safety review for adverse-experience wording
/learn/buddhism-101/four-brahmaviharas/,MINOR EDIT,Added source-aware caution around look-alike states and equanimity not becoming indifference,Repository-remediated,src/data/learn.ts,Buddhist-studies review for commentarial detail
/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,MINOR EDIT,Added SN 56.11 context two extremes Middle Way Four Truths source visibility and no stress-only flattening,Repository-remediated,src/data/learn.ts,Buddhist-studies/translation review
/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,MINOR EDIT,Added SN 45.8 context all eight factors and translator wording variation note,Repository-remediated,src/data/learn.ts,Buddhist-studies/translation review
/learn/buddhist-dictionary/sutta/,SOURCE VERIFICATION REQUIRED,Added SuttaCentral and Access to Insight source links and tradition caveat,Repository-remediated; source queue cleared,src/data/learn.ts,Buddhist-studies textual-history review
/learn/buddhist-dictionary/pali-canon/,SOURCE VERIFICATION REQUIRED,Added Tipitaka/Sutta/Vinaya/Abhidhamma sources and qualified Theravada/Pali-canon wording,Repository-remediated; source queue cleared,src/data/learn.ts,Buddhist-studies canon/history review
/meditation/10-minute-meditation-practice/,MINOR EDIT,Added alternate anchors shorter-session option and health-context source support,Repository-remediated,src/data/learn.ts,Meditation safety review
/meditation/meditation-posture-for-beginners/,MINOR EDIT,Added chair cushion bench blanket standing lying mobility-aid options and no-medical-advice safety caveat,Repository-remediated,src/data/learn.ts,Safety/medical review if posture advice expands
/meditation/when-meditation-feels-hard/,MINOR EDIT,Distinguished ordinary distraction from intense distress dissociation traumatic re-experiencing and feeling unsafe,Repository-remediated,src/data/learn.ts,Meditation safety review
/articles/mindful-email-and-texting/,SUBSTANTIVE CONTENT IMPROVEMENT,Added privacy screenshots group-chat forwarding and delay-versus-avoidance safety language,Repository-remediated,src/data/site.ts,None
/articles/compassion-with-boundaries/,SUBSTANTIVE CONTENT IMPROVEMENT,Added refusal accountability reporting outside-help and non-legal/non-clinical caveats,Repository-remediated,src/data/site.ts; src/data/editorialGovernance.ts,Human relationship-safety review for severe harm contexts
