URL,Page family,Forensic baseline indexable?,Current indexable?,Current robots,Forensic baseline sitemap?,Current sitemap?,Current canonical,Canonical matches route?,Index-state drift
https://echobuddha.com/404.html,error utility,No,No,"noindex, follow",No,No,,N/A,NONE
https://echobuddha.com/about/,trust/policy,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/about/,Yes,NONE
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,Yes,NONE
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,Yes,NONE
https://echobuddha.com/articles/buddhist-approach-to-anger/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/buddhist-approach-to-anger/,Yes,NONE
https://echobuddha.com/articles/buddhist-gratitude-practice/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/buddhist-gratitude-practice/,Yes,NONE
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,Yes,NONE
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,Yes,NONE
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,Yes,NONE
https://echobuddha.com/articles/category/buddhist-wisdom/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/category/buddhist-wisdom/,Yes,NONE
https://echobuddha.com/articles/category/meditation/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/category/meditation/,Yes,NONE
https://echobuddha.com/articles/category/mindfulness/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/category/mindfulness/,Yes,NONE
https://echobuddha.com/articles/category/practice/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/category/practice/,Yes,NONE
https://echobuddha.com/articles/category/reflection/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/category/reflection/,Yes,NONE
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,Yes,NONE
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Yes,NONE
https://echobuddha.com/articles/compassion-with-boundaries/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/compassion-with-boundaries/,Yes,NONE
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,Yes,NONE
https://echobuddha.com/articles/dhamma-vs-dharma/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/dhamma-vs-dharma/,Yes,NONE
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,Yes,NONE
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,Yes,NONE
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/dhammapada-verse-1-meaning/,Yes,NONE
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/eightfold-path-explained-daily-life/,Yes,NONE
https://echobuddha.com/articles/eightfold-path-explained/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/eightfold-path-explained/,Yes,NONE
https://echobuddha.com/articles/equanimity-in-buddhism/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/equanimity-in-buddhism/,Yes,NONE
https://echobuddha.com/articles/first-week-buddhist-practice/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/first-week-buddhist-practice/,Yes,NONE
https://echobuddha.com/articles/five-precepts-in-daily-life/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/five-precepts-in-daily-life/,Yes,NONE
https://echobuddha.com/articles/four-noble-truths-explained-simply/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/four-noble-truths-explained-simply/,Yes,NONE
https://echobuddha.com/articles/four-noble-truths-explained/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/four-noble-truths-explained/,Yes,NONE
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,Yes,NONE
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,Yes,NONE
https://echobuddha.com/articles/how-to-meditate-for-beginners/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/how-to-meditate-for-beginners/,Yes,NONE
https://echobuddha.com/articles/how-to-practice-non-attachment/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/how-to-practice-non-attachment/,Yes,NONE
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,Yes,NONE
https://echobuddha.com/articles/impermanence-in-buddhism/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/impermanence-in-buddhism/,Yes,NONE
https://echobuddha.com/articles/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/,Yes,NONE
https://echobuddha.com/articles/letting-go-without-giving-up/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/letting-go-without-giving-up/,Yes,NONE
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/loving-kindness-meditation-beginners/,Yes,NONE
https://echobuddha.com/articles/loving-kindness-meditation-guide/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/loving-kindness-meditation-guide/,Yes,NONE
https://echobuddha.com/articles/metta-meditation-script/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/metta-meditation-script/,Yes,NONE
https://echobuddha.com/articles/mindful-email-and-texting/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/mindful-email-and-texting/,Yes,NONE
https://echobuddha.com/articles/mindful-listening-in-everyday-life/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/mindful-listening-in-everyday-life/,Yes,NONE
https://echobuddha.com/articles/mindfulness-for-better-sleep/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/mindfulness-for-better-sleep/,Yes,NONE
https://echobuddha.com/articles/mindfulness-morning-routine/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/mindfulness-morning-routine/,Yes,NONE
https://echobuddha.com/articles/mindfulness-of-breathing-guide/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,Yes,NONE
https://echobuddha.com/articles/mindfulness-vs-meditation/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/mindfulness-vs-meditation/,Yes,NONE
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,Yes,NONE
https://echobuddha.com/articles/non-attachment-in-relationships/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/non-attachment-in-relationships/,Yes,NONE
https://echobuddha.com/articles/right-livelihood-modern-life/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/right-livelihood-modern-life/,Yes,NONE
https://echobuddha.com/articles/right-speech-buddhism/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/right-speech-buddhism/,Yes,NONE
https://echobuddha.com/articles/right-speech-examples/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/right-speech-examples/,Yes,NONE
https://echobuddha.com/articles/three-poisons-buddhism-explained/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/three-poisons-buddhism-explained/,Yes,NONE
https://echobuddha.com/articles/three-ways-to-practice-patience/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/three-ways-to-practice-patience/,Yes,NONE
https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/,Yes,NONE
https://echobuddha.com/articles/walking-meditation-step-by-step/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/walking-meditation-step-by-step/,Yes,NONE
https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,Yes,NONE
https://echobuddha.com/articles/what-is-karma-in-buddhism/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/what-is-karma-in-buddhism/,Yes,NONE
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,articles,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/articles/what-is-sangha-buddhist-community/,Yes,NONE
https://echobuddha.com/authors/echo-buddha-editorial/,trust/policy,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/authors/echo-buddha-editorial/,Yes,NONE
https://echobuddha.com/buddhist-sources-and-citations/,trust/policy,Yes,Yes,"index, follow (implicit)",Yes,Yes,https://echobuddha.com/buddhist-sources-and-citations/,Yes,NONE
