URL,Page family,Current title,Current H1,Current rendered words,Forensic baseline rendered words,Rendered text changed?,Current schema types,Current rendered text SHA-256
https://echobuddha.com/404.html,error utility,Page Not Found | Echo Buddha,Page Not Found,163,163,No,,886254326799cb15e5ea9c5c7bf9e6386cb1e6d64da06be10c188b77434a1b8b
https://echobuddha.com/about/,trust/policy,About Echo Buddha | Echo Buddha,About Echo Buddha,483,483,No,AboutPage | Organization,48e17c54d060e0d50495d256a9f487dc54765e6a0edc638700ca8bf284b76db6
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,articles,Daily Mindfulness Practice for Beginners | Echo Buddha,Beginning a Daily Mindfulness Practice,1533,1533,No,Organization | ImageObject | WebPage | BreadcrumbList | ListItem | FAQPage | Question | Answer,07cf437a3dd679d5ff195b289921a33a72239d86528e24b93c3743490ad11de3
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,articles,Buddhism for Beginners: A Simple Guide | Echo Buddha,Buddhism for Beginners: A Simple Guide to the Path,1825,1825,No,Organization | ImageObject | WebPage | BreadcrumbList | ListItem | FAQPage | Question | Answer,41b3d3031687bf0061c63203d27dc0b7628dc5c9d5d64cc26010c4c847c197b1
https://echobuddha.com/articles/buddhist-approach-to-anger/,articles,A Buddhist Approach to Anger | Echo Buddha,"A Buddhist Approach to Anger: Pause, Understand, Respond",1887,1614,Yes,Organization | ImageObject | WebPage | BreadcrumbList | ListItem | FAQPage | Question | Answer,cfdf44c1b56f1674670e0dbfac6e333e605d68fc897a4128f12207d2c80a72c0
https://echobuddha.com/articles/buddhist-gratitude-practice/,articles,Buddhist Gratitude Practice Without Forced Positivity | Echo Buddha,Buddhist Gratitude Practice: Appreciating Life Without Clinging,1805,1805,No,Organization | ImageObject | WebPage | BreadcrumbList | ListItem | FAQPage | Question | Answer,5db442985111a94a6727531c761af5bc18dd52634d65e9d0897e537479eb6122
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,articles,Buddhist Teachings on Forgiveness and Letting Go | Echo Buddha,Buddhist Teachings on Forgiveness: Letting Go Without Excusing Harm,1757,1757,Yes,Organization | ImageObject | WebPage | BreadcrumbList | ListItem | FAQPage | Question | Answer,cbcc1c842cfb51a9ba4983cb73d0bcc95195438ee6a8df1b1e540bc490c0e36d
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,articles,Buddhist Teachings on Impermanence | Echo Buddha,Buddhist Teachings on Impermanence and Change,1665,1665,No,Organization | ImageObject | WebPage | BreadcrumbList | ListItem | FAQPage | Question | Answer,896ee8ea5b45774f07f17a14d6e8bde569eea79ab11ec50c76324ccf93dec575
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,articles,Buddhist Wisdom for Overthinking and a Busy Mind | Echo Buddha,Buddhist Wisdom for Overthinking: How to Calm a Busy Mind,1772,1772,No,Organization | ImageObject | WebPage | BreadcrumbList | ListItem | FAQPage | Question | Answer,9a9b5616f084f0306ce9146c7e52d263bafcd816bc4f5308ca5ead1826a2955a
https://echobuddha.com/articles/category/buddhist-wisdom/,articles,Buddhist Wisdom Articles | Echo Buddha,Buddhist Wisdom Articles,941,941,Yes,CollectionPage | Blog | ItemList | ListItem | BreadcrumbList,1e643f20f7cac9ad74aac304f341def80c7b7467a1f15b844c6006d8c5c21930
https://echobuddha.com/articles/category/meditation/,articles,Meditation Articles | Echo Buddha,Meditation Articles,538,538,No,CollectionPage | Blog | ItemList | ListItem | BreadcrumbList,a27240bfc234236d561414871eca0f8cd9c752f936b7a62638173f8552edb782
https://echobuddha.com/articles/category/mindfulness/,articles,Mindfulness Articles | Echo Buddha,Mindfulness Articles,425,425,No,CollectionPage | Blog | ItemList | ListItem | BreadcrumbList,4bbf8e1d257b62a0526e8d2445bed89dc9ed8e124ea253373604426df5c59eeb
