URL,Production status,Production final URL,Current repo title/H1/robots/canonical match?,Production rendered text matches current repo?,Production rendered text matches forensic a1cd457?,Production fully matches current repo?,Production fully matches forensic a1cd457?,Production title,Current title,Forensic title,Production H1,Current H1,Production robots,Current robots,Forensic robots,Production canonical,Current canonical,AdSense script count,Publisher IDs,Classification
https://echobuddha.com/404.html,200,https://echobuddha.com/404,Yes,Yes,Yes,Yes,Yes,Page Not Found | Echo Buddha,Page Not Found | Echo Buddha,Page Not Found | Echo Buddha,Page Not Found,Page Not Found,"noindex, follow","noindex, follow","noindex, follow",,,0,,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/about/,200,https://echobuddha.com/about/,Yes,Yes,Yes,Yes,Yes,About Echo Buddha | Echo Buddha,About Echo Buddha | Echo Buddha,About Echo Buddha | Echo Buddha,About Echo Buddha,About Echo Buddha,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/about/,https://echobuddha.com/about/,0,,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,200,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,Yes,Yes,Yes,Yes,Yes,Daily Mindfulness Practice for Beginners | Echo Buddha,Daily Mindfulness Practice for Beginners | Echo Buddha,Daily Mindfulness Practice for Beginners | Echo Buddha,Beginning a Daily Mindfulness Practice,Beginning a Daily Mindfulness Practice,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,1,ca-pub-3911157640549350,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,200,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,Yes,Yes,Yes,Yes,Yes,Buddhism for Beginners: A Simple Guide | Echo Buddha,Buddhism for Beginners: A Simple Guide | Echo Buddha,Buddhism for Beginners: A Simple Guide | Echo Buddha,Buddhism for Beginners: A Simple Guide to the Path,Buddhism for Beginners: A Simple Guide to the Path,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,1,ca-pub-3911157640549350,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/buddhist-approach-to-anger/,200,https://echobuddha.com/articles/buddhist-approach-to-anger/,Yes,No,Yes,No,Yes,A Buddhist Approach to Anger | Echo Buddha,A Buddhist Approach to Anger | Echo Buddha,A Buddhist Approach to Anger | Echo Buddha,"A Buddhist Approach to Anger: Pause, Understand, Respond","A Buddhist Approach to Anger: Pause, Understand, Respond","index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/buddhist-approach-to-anger/,https://echobuddha.com/articles/buddhist-approach-to-anger/,0,,MATCHES_FORENSIC_ONLY
https://echobuddha.com/articles/buddhist-gratitude-practice/,200,https://echobuddha.com/articles/buddhist-gratitude-practice/,Yes,Yes,Yes,Yes,Yes,Buddhist Gratitude Practice Without Forced Positivity | Echo Buddha,Buddhist Gratitude Practice Without Forced Positivity | Echo Buddha,Buddhist Gratitude Practice Without Forced Positivity | Echo Buddha,Buddhist Gratitude Practice: Appreciating Life Without Clinging,Buddhist Gratitude Practice: Appreciating Life Without Clinging,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/buddhist-gratitude-practice/,https://echobuddha.com/articles/buddhist-gratitude-practice/,1,ca-pub-3911157640549350,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,200,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,Yes,No,Yes,No,Yes,Buddhist Teachings on Forgiveness and Letting Go | Echo Buddha,Buddhist Teachings on Forgiveness and Letting Go | Echo Buddha,Buddhist Teachings on Forgiveness and Letting Go | Echo Buddha,Buddhist Teachings on Forgiveness: Letting Go Without Excusing Harm,Buddhist Teachings on Forgiveness: Letting Go Without Excusing Harm,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,0,,MATCHES_FORENSIC_ONLY
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,200,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,Yes,Yes,Yes,Yes,Yes,Buddhist Teachings on Impermanence | Echo Buddha,Buddhist Teachings on Impermanence | Echo Buddha,Buddhist Teachings on Impermanence | Echo Buddha,Buddhist Teachings on Impermanence and Change,Buddhist Teachings on Impermanence and Change,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,1,ca-pub-3911157640549350,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,200,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,Yes,Yes,Yes,Yes,Yes,Buddhist Wisdom for Overthinking and a Busy Mind | Echo Buddha,Buddhist Wisdom for Overthinking and a Busy Mind | Echo Buddha,Buddhist Wisdom for Overthinking and a Busy Mind | Echo Buddha,Buddhist Wisdom for Overthinking: How to Calm a Busy Mind,Buddhist Wisdom for Overthinking: How to Calm a Busy Mind,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,0,,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/category/buddhist-wisdom/,200,https://echobuddha.com/articles/category/buddhist-wisdom/,Yes,No,Yes,No,Yes,Buddhist Wisdom Articles | Echo Buddha,Buddhist Wisdom Articles | Echo Buddha,Buddhist Wisdom Articles | Echo Buddha,Buddhist Wisdom Articles,Buddhist Wisdom Articles,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/category/buddhist-wisdom/,https://echobuddha.com/articles/category/buddhist-wisdom/,0,,MATCHES_FORENSIC_ONLY
https://echobuddha.com/articles/category/meditation/,200,https://echobuddha.com/articles/category/meditation/,Yes,Yes,Yes,Yes,Yes,Meditation Articles | Echo Buddha,Meditation Articles | Echo Buddha,Meditation Articles | Echo Buddha,Meditation Articles,Meditation Articles,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/category/meditation/,https://echobuddha.com/articles/category/meditation/,0,,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/category/mindfulness/,200,https://echobuddha.com/articles/category/mindfulness/,Yes,Yes,Yes,Yes,Yes,Mindfulness Articles | Echo Buddha,Mindfulness Articles | Echo Buddha,Mindfulness Articles | Echo Buddha,Mindfulness Articles,Mindfulness Articles,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/category/mindfulness/,https://echobuddha.com/articles/category/mindfulness/,0,,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/category/practice/,200,https://echobuddha.com/articles/category/practice/,Yes,No,Yes,No,Yes,Practice Articles | Echo Buddha,Practice Articles | Echo Buddha,Practice Articles | Echo Buddha,Practice Articles,Practice Articles,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/category/practice/,https://echobuddha.com/articles/category/practice/,0,,MATCHES_FORENSIC_ONLY
https://echobuddha.com/articles/category/reflection/,200,https://echobuddha.com/articles/category/reflection/,Yes,Yes,Yes,Yes,Yes,Reflection Articles | Echo Buddha,Reflection Articles | Echo Buddha,Reflection Articles | Echo Buddha,Reflection Articles,Reflection Articles,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/category/reflection/,https://echobuddha.com/articles/category/reflection/,0,,MATCHES_CURRENT_AND_FORENSIC
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,200,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,Yes,No,Yes,No,Yes,Compassion as a Daily Buddhist Practice | Echo Buddha,Compassion as a Daily Buddhist Practice | Echo Buddha,Compassion as a Daily Buddhist Practice | Echo Buddha,Compassion as a Daily Discipline,Compassion as a Daily Discipline,"index, follow (implicit)","index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/compassion-as-a-daily-discipline/,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,1,ca-pub-3911157640549350,MATCHES_FORENSIC_ONLY
