URL,Page family,Current HTTP/build state,Current index state,Current sitemap state,Current canonical,Current title,Current H1,Primary topic cluster,Current primary role,Primary owner URL,Is primary owner?,Why this page exists,This page does not own,Current information gain,Current quality score,Current content status,Current source status,Current safety status,Current cannibalization risk,Current template risk,Current monetization suitability,Phase 1 reconciled decision,Phase 2 reconciled role,Phase 3 reconciled index decision,Phase 4 reconciled content state,Human review required?,Remaining Phase 5 issue?,Evidence,Notes
https://echobuddha.com/404.html,error utility,LOCAL_BUILT; PRODUCTION_200_BASELINE,"noindex, follow",out of sitemap,,Page Not Found | Echo Buddha,Page Not Found,error utility,PREEXISTING_NOINDEX_OR_ERROR_ROLE,N/A,No,Preserved utility/error/noindex route outside Phase 1 indexable population.,No broad topic ownership assigned.,"Utility, recurring, or protected noindex function.",NOT_SCORED,NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,NOT_CRITICAL,NO_CRITICAL_ISSUE,NONE/NOT_APPLICABLE,NOT_PHASE1_SCORED,NO_ADS_OR_NOT_PHASE1_SCORED,NOT_IN_PHASE1_INDEXABLE_POPULATION,NO_PHASE2_CHANGE_REQUIRED,KEEP_NOINDEXED,NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,No,No specific Phase 5 queue item,Utility/error route has no independent search-result purpose.,Production content is unchanged from both forensic and current repository states.
https://echobuddha.com/about/,trust/policy,LOCAL_BUILT; PRODUCTION_200_BASELINE,indexable,in sitemap,https://echobuddha.com/about/,About Echo Buddha | Echo Buddha,About Echo Buddha,Trust / Policy,TRUST_POLICY,https://echobuddha.com/about/,Yes,"This page exists as Echo Buddha's protected owner for Trust / Policy: About anchors publisher identity while each policy page retains a protected, non-SEO trust function.","This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",Publisher transparency or user-protection information specific to “About Echo Buddha”.,72/100 PHASE1_SCREENING_HEURISTIC,NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Medium,NO_CRITICAL_ISSUE,NONE,Low,Keep unmonetized pending family review,HUMAN REVIEW,PROTECTED PRIMARY OWNER,HUMAN_REVIEW,NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,No specific Phase 5 queue item,"Built 2026-08-11T02:17:46.273Z; 304 words; 5 content headings; authored route; nearest /how-echo-buddha-creates-content/ combined overlap 18.6%; external source links 0 | Phase 1: Built 2026-08-11T02:17:46.273Z; 304 words; 5 content headings; authored route; nearest /how-echo-buddha-creates-content/ combined overlap 18.6%; external source links 0; role review: TRUST_POLICY; owner selection: About anchors publisher identity while each policy page retains a protected, non-SEO trust function. | Indexability remains unchanged because publisher, expert, source, or wellbeing judgement is required.",Production content is unchanged from both forensic and current repository states.
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,article,LOCAL_BUILT; PRODUCTION_200_BASELINE,indexable,in sitemap,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,Daily Mindfulness Practice for Beginners | Echo Buddha,Beginning a Daily Mindfulness Practice,Mindfulness,PRACTICAL_APPLICATION,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,No,This page exists to serve practical how to within Mindfulness through daily-life examples or a repeatable application tied specifically to “Daily Mindfulness Practice for Beginners”.,This page does not own the broad Mindfulness explanation; that belongs to /learn/buddhism-101/what-is-mindfulness/.,Daily-life examples or a repeatable application tied specifically to “Daily Mindfulness Practice for Beginners”.,77/100 PHASE1_SCREENING_HEURISTIC,NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Medium,NO_CRITICAL_ISSUE,LOW,Low,Potentially suitable after Phase 1 findings are remediated,IMPROVE,KEEP AS PRACTICAL_APPLICATION SUBJECT TO REQUIRED DIFFERENTIATION,IMPROVE_LATER_PHASE,NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,No,No specific Phase 5 queue item,"Built 2026-08-11T02:17:46.273Z; 1171 words; 26 content headings; authored route; nearest /articles/creating-a-peaceful-corner-at-home/ combined overlap 41.9%; external source links 0 | Phase 1: Built 2026-08-11T02:17:46.273Z; 1171 words; 26 content headings; authored route; nearest /articles/creating-a-peaceful-corner-at-home/ combined overlap 41.9%; external source links 0; role review: PRACTICAL_APPLICATION; owner selection: The lesson owns Buddhist mindfulness meaning; dictionary, comparison, and routine pages remain narrower. | Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5.",Production content is unchanged from both forensic and current repository states.
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,article,LOCAL_BUILT; PRODUCTION_200_BASELINE,indexable,in sitemap,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,Buddhism for Beginners: A Simple Guide | Echo Buddha,Buddhism for Beginners: A Simple Guide to the Path,Beginner Buddhism,BEGINNER_FOUNDATION,https://echobuddha.com/learn/buddhism-for-beginners/,No,"This page exists to serve beginner informational within Beginner Buddhism through a narrower explanation, misconception, or example set specific to “Buddhism for Beginners: A Simple Guide”.",This page does not own the broad Beginner Buddhism explanation; that belongs to /learn/buddhism-for-beginners/.,"A narrower explanation, misconception, or example set specific to “Buddhism for Beginners: A Simple Guide”.",79/100 PHASE1_SCREENING_HEURISTIC,HUMAN_REVIEW_DEFERRED,Low,NO_CRITICAL_ISSUE,HIGH,Low,Potentially suitable after Phase 1 findings are remediated,CONSOLIDATE,KEEP AS BEGINNER_FOUNDATION SUBJECT TO REQUIRED DIFFERENTIATION,CONSOLIDATE_AFTER_PHASE_4,OWNER_EDITORIAL_REVIEW_HOLD; CURRENT PAGE PROTECTED,Yes,No specific Phase 5 queue item,"Built 2026-08-11T02:17:46.273Z; 1426 words; 28 content headings; authored route; nearest /articles/eightfold-path-explained-daily-life/ combined overlap 39.6%; external source links 2 | Phase 1: Built 2026-08-11T02:17:46.273Z; 1426 words; 28 content headings; authored route; nearest /articles/eightfold-path-explained-daily-life/ combined overlap 39.6%; external source links 2; role review: BEGINNER_FOUNDATION; owner selection: The strongest structured entry into basic Buddhist teaching and practice. | Ownership overlap is credible, but content must be integrated and verified before any redirect; deferred to editorial remediation. | This page exists to serve beginner informational within Beginner Buddhism through a narrower explanation, misconception, or example set specific to “Buddhism for Beginners: A Simple Guide”.",Production content is unchanged from both forensic and current repository states.
https://echobuddha.com/articles/buddhist-approach-to-anger/,article,LOCAL_BUILT; PRODUCTION_200_BASELINE,indexable,in sitemap,https://echobuddha.com/articles/buddhist-approach-to-anger/,A Buddhist Approach to Anger | Echo Buddha,"A Buddhist Approach to Anger: Pause, Understand, Respond",Anger,PRIMARY_PILLAR,https://echobuddha.com/articles/buddhist-approach-to-anger/,Yes,This page exists as Echo Buddha's protected owner for Anger: It is the dedicated Buddhist response-to-anger guide and can link upward to the Three Poisons.,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.","A narrower explanation, misconception, or example set specific to “A Buddhist Approach to Anger”.",88/100 INDEPENDENT_RECONCILIATION,PHASE4_MATERIALLY_REMEDIATED_AND_REVALIDATED,VERIFIED_AUTHORITATIVE_LINKS_AND_BOUNDARIES,NO_CRITICAL_ISSUE,NONE,Low,Keep unmonetized pending family review,IMPROVE,PROTECTED PRIMARY OWNER,KEEP_INDEXED,REMEDIATED_VALIDATED,No,No specific Phase 5 queue item,Built 2026-08-11T02:17:46.273Z; 1258 words; 28 content headings; authored route; nearest /articles/compassion-as-a-daily-discipline/ combined overlap 39.7%; external source links 1 | Phase 1: Built 2026-08-11T02:17:46.273Z; 1258 words; 28 content headings; authored route; nearest /articles/compassion-as-a-daily-discipline/ combined overlap 39.7%; external source links 1; role review: PRIMARY_PILLAR; owner selection: It is the dedicated Buddhist response-to-anger guide and can link upward to the Three Poisons. | Distinct route purpose remains valid under the Phase 2 ownership architecture; no indexability change justified. | This page exists as Echo Buddha's protected owner for Anger: It is the dedicated Buddhist response-to-anger guide and can link upward to the Three Poisons.,Current Phase 1–4 repository change is not yet deployed.
https://echobuddha.com/articles/buddhist-gratitude-practice/,article,LOCAL_BUILT; PRODUCTION_200_BASELINE,indexable,in sitemap,https://echobuddha.com/articles/buddhist-gratitude-practice/,Buddhist Gratitude Practice Without Forced Positivity | Echo Buddha,Buddhist Gratitude Practice: Appreciating Life Without Clinging,Gratitude,PRACTICAL_APPLICATION,https://echobuddha.com/articles/buddhist-gratitude-practice/,Yes,This page exists as Echo Buddha's protected owner for Gratitude: It is the dedicated Buddhist gratitude practice and explicitly distinguishes appreciation from forced positivity and clinging.,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",Daily-life examples or a repeatable application tied specifically to “Buddhist Gratitude Practice Without Forced Positivity”.,82/100 PHASE1_SCREENING_HEURISTIC,NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Low,NO_CRITICAL_ISSUE,NONE,Low,Potentially suitable after Phase 1 findings are remediated,KEEP,PROTECTED PRIMARY OWNER,KEEP_INDEXED,NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,No,No specific Phase 5 queue item,Built 2026-08-11T02:17:46.273Z; 1364 words; 21 content headings; authored route; nearest /articles/how-to-practice-non-attachment/ combined overlap 32.8%; external source links 2 | Phase 1: Built 2026-08-11T02:17:46.273Z; 1364 words; 21 content headings; authored route; nearest /articles/how-to-practice-non-attachment/ combined overlap 32.8%; external source links 2; role review: PRACTICAL_APPLICATION; owner selection: It is the dedicated Buddhist gratitude practice and explicitly distinguishes appreciation from forced positivity and clinging. | Distinct route purpose remains valid under the Phase 2 ownership architecture; no indexability change justified.,Production content is unchanged from both forensic and current repository states.
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,article,LOCAL_BUILT; PRODUCTION_200_BASELINE,indexable,in sitemap,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,Buddhist Teachings on Forgiveness and Letting Go | Echo Buddha,Buddhist Teachings on Forgiveness: Letting Go Without Excusing Harm,Forgiveness,PRIMARY_PILLAR,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,Yes,This page exists as Echo Buddha's protected owner for Forgiveness: It uniquely distinguishes release from approval and protects boundaries.,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.","A narrower explanation, misconception, or example set specific to “Buddhist Teachings on Forgiveness and Letting Go”.",81/100 PHASE1_SCREENING_HEURISTIC,NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Low,NO_CRITICAL_ISSUE,NONE,Low,Keep unmonetized pending family review,KEEP,PROTECTED PRIMARY OWNER,KEEP_INDEXED,NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,No,No specific Phase 5 queue item,Built 2026-08-11T02:17:46.273Z; 1367 words; 27 content headings; authored route; nearest /articles/non-attachment-in-relationships/ combined overlap 34.3%; external source links 1 | Phase 1: Built 2026-08-11T02:17:46.273Z; 1367 words; 27 content headings; authored route; nearest /articles/non-attachment-in-relationships/ combined overlap 34.3%; external source links 1; role review: PRIMARY_PILLAR; owner selection: It uniquely distinguishes release from approval and protects boundaries. | Distinct route purpose remains valid under the Phase 2 ownership architecture; no indexability change justified.,Current Phase 1–4 repository change is not yet deployed.
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,article,LOCAL_BUILT; PRODUCTION_200_BASELINE,indexable,in sitemap,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,Buddhist Teachings on Impermanence | Echo Buddha,Buddhist Teachings on Impermanence and Change,Impermanence,SUPPORTING_EXPLANATION,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,No,"This page exists to serve foundational informational within Impermanence through a narrower explanation, misconception, or example set specific to “Buddhist Teachings on Impermanence”.",This page does not own the broad Impermanence explanation; that belongs to /learn/buddhism-101/what-is-impermanence/.,"A narrower explanation, misconception, or example set specific to “Buddhist Teachings on Impermanence”.",79/100 PHASE1_SCREENING_HEURISTIC,NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Low,NO_CRITICAL_ISSUE,MEDIUM,Low,Potentially suitable after Phase 1 findings are remediated,IMPROVE,KEEP AS SUPPORTING_EXPLANATION SUBJECT TO REQUIRED DIFFERENTIATION,IMPROVE_LATER_PHASE,NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,No,No specific Phase 5 queue item,"Built 2026-08-11T02:17:46.273Z; 1267 words; 28 content headings; authored route; nearest /articles/impermanence-in-buddhism-letting-go/ combined overlap 43.9%; external source links 1 | Phase 1: Built 2026-08-11T02:17:46.273Z; 1267 words; 28 content headings; authored route; nearest /articles/impermanence-in-buddhism-letting-go/ combined overlap 43.9%; external source links 1; role review: SUPPORTING_EXPLANATION; owner selection: The lesson is the clearest broad beginner owner; anicca definitions and change applications remain subordinate. | Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5.",Production content is unchanged from both forensic and current repository states.
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,article,LOCAL_BUILT; PRODUCTION_200_BASELINE,indexable,in sitemap,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,Buddhist Wisdom for Overthinking and a Busy Mind | Echo Buddha,Buddhist Wisdom for Overthinking: How to Calm a Busy Mind,Anxiety / Overthinking,SCENARIO_GUIDE,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,No,This page exists to serve scenario application within Anxiety / Overthinking through worked guidance for the specific situation named by “Buddhist Wisdom for Overthinking and a Busy Mind”.,This page does not own the broad Anxiety / Overthinking explanation; that belongs to /articles/how-to-meditate-for-anxiety/.,Worked guidance for the specific situation named by “Buddhist Wisdom for Overthinking and a Busy Mind”.,78/100 PHASE1_SCREENING_HEURISTIC,NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Medium,NO_CRITICAL_ISSUE,MEDIUM,Low,Keep unmonetized pending family review,HUMAN REVIEW,KEEP AS SCENARIO_GUIDE SUBJECT TO REQUIRED DIFFERENTIATION,HUMAN_REVIEW,NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Yes,No specific Phase 5 queue item,"Built 2026-08-11T02:17:46.273Z; 1366 words; 26 content headings; authored route; nearest /articles/mindfulness-for-better-sleep/ combined overlap 36.0%; external source links 0 | Phase 1: Built 2026-08-11T02:17:46.273Z; 1366 words; 26 content headings; authored route; nearest /articles/mindfulness-for-better-sleep/ combined overlap 36.0%; external source links 0; role review: SCENARIO_GUIDE; owner selection: It owns the anxiety-specific gentle practice; overthinking remains a related but distinct thought-loop scenario. | Indexability remains unchanged because publisher, expert, source, or wellbeing judgement is required.",Production content is unchanged from both forensic and current repository states.
https://echobuddha.com/articles/category/buddhist-wisdom/,article category,LOCAL_BUILT; PRODUCTION_200_BASELINE,indexable,in sitemap,https://echobuddha.com/articles/category/buddhist-wisdom/,Buddhist Wisdom Articles | Echo Buddha,Buddhist Wisdom Articles,Article Discovery,CATEGORY,https://echobuddha.com/articles/,No,"This page exists to serve navigational within Article Discovery through orientation, selection, and meaningful navigation across the Article Discovery cluster.",This page does not own the broad Article Discovery explanation; that belongs to /articles/.,"Orientation, selection, and meaningful navigation across the Article Discovery cluster.",72/100 PHASE1_SCREENING_HEURISTIC,NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,Medium,NO_CRITICAL_ISSUE,LOW,Low,Keep unmonetized pending family review,IMPROVE,KEEP AS CATEGORY SUBJECT TO REQUIRED DIFFERENTIATION,IMPROVE_LATER_PHASE,NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,No,No specific Phase 5 queue item,"Built 2026-08-11T02:17:46.273Z; 685 words; 23 content headings; authored route; nearest /articles/category/practice/ combined overlap 19.7%; external source links 0 | Phase 1: Built 2026-08-11T02:17:46.273Z; 685 words; 23 content headings; authored route; nearest /articles/category/practice/ combined overlap 19.7%; external source links 0; role review: CATEGORY; owner selection: The publication index owns article discovery, not any individual Buddhist teaching. | Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5.",Current Phase 1–4 repository change is not yet deployed.
