URL,Internal link occurrences,Broken internal route candidates,Result
https://echobuddha.com/404.html,27,,PASS
https://echobuddha.com/about/,31,,PASS
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,62,,PASS
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,70,,PASS
https://echobuddha.com/articles/buddhist-approach-to-anger/,63,,PASS
https://echobuddha.com/articles/buddhist-gratitude-practice/,60,,PASS
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,61,,PASS
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,66,,PASS
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,61,,PASS
https://echobuddha.com/articles/category/buddhist-wisdom/,85,,PASS
https://echobuddha.com/articles/category/meditation/,52,,PASS
https://echobuddha.com/articles/category/mindfulness/,40,,PASS
https://echobuddha.com/articles/category/practice/,46,,PASS
https://echobuddha.com/articles/category/reflection/,52,,PASS
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,64,,PASS
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,60,,PASS
https://echobuddha.com/articles/compassion-with-boundaries/,60,,PASS
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,62,,PASS
https://echobuddha.com/articles/dhamma-vs-dharma/,65,,PASS
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,64,,PASS
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,70,,PASS
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,65,,PASS
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,66,,PASS
https://echobuddha.com/articles/eightfold-path-explained/,67,,PASS
https://echobuddha.com/articles/equanimity-in-buddhism/,61,,PASS
https://echobuddha.com/articles/first-week-buddhist-practice/,67,,PASS
https://echobuddha.com/articles/five-precepts-in-daily-life/,70,,PASS
https://echobuddha.com/articles/four-noble-truths-explained-simply/,62,,PASS
https://echobuddha.com/articles/four-noble-truths-explained/,64,,PASS
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,68,,PASS
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,63,,PASS
https://echobuddha.com/articles/how-to-meditate-for-beginners/,64,,PASS
https://echobuddha.com/articles/how-to-practice-non-attachment/,66,,PASS
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,63,,PASS
https://echobuddha.com/articles/impermanence-in-buddhism/,65,,PASS
https://echobuddha.com/articles/,178,,PASS
https://echobuddha.com/articles/letting-go-without-giving-up/,67,,PASS
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,68,,PASS
https://echobuddha.com/articles/loving-kindness-meditation-guide/,64,,PASS
https://echobuddha.com/articles/metta-meditation-script/,65,,PASS
https://echobuddha.com/articles/mindful-email-and-texting/,58,,PASS
https://echobuddha.com/articles/mindful-listening-in-everyday-life/,62,,PASS
https://echobuddha.com/articles/mindfulness-for-better-sleep/,64,,PASS
https://echobuddha.com/articles/mindfulness-morning-routine/,62,,PASS
https://echobuddha.com/articles/mindfulness-of-breathing-guide/,64,,PASS
https://echobuddha.com/articles/mindfulness-vs-meditation/,67,,PASS
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,63,,PASS
https://echobuddha.com/articles/non-attachment-in-relationships/,63,,PASS
https://echobuddha.com/articles/right-livelihood-modern-life/,61,,PASS
https://echobuddha.com/articles/right-speech-buddhism/,75,,PASS
https://echobuddha.com/articles/right-speech-examples/,64,,PASS
https://echobuddha.com/articles/three-poisons-buddhism-explained/,71,,PASS
https://echobuddha.com/articles/three-ways-to-practice-patience/,62,,PASS
https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/,65,,PASS
https://echobuddha.com/articles/walking-meditation-step-by-step/,61,,PASS
https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,64,,PASS
https://echobuddha.com/articles/what-is-karma-in-buddhism/,66,,PASS
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,72,,PASS
https://echobuddha.com/authors/echo-buddha-editorial/,44,,PASS
https://echobuddha.com/buddhist-sources-and-citations/,25,,PASS
https://echobuddha.com/contact/,24,,PASS
https://echobuddha.com/corrections/,24,,PASS
https://echobuddha.com/daily-reflections/anger-as-a-signal/,34,,PASS
https://echobuddha.com/daily-reflections/begin-again-without-shame/,34,,PASS
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,34,,PASS
https://echobuddha.com/daily-reflections/enough-for-this-moment/,34,,PASS
https://echobuddha.com/daily-reflections/evening-release/,34,,PASS
https://echobuddha.com/daily-reflections/family-patience/,34,,PASS
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,34,,PASS
https://echobuddha.com/daily-reflections/gratitude-for-change/,34,,PASS
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,34,,PASS
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,34,,PASS
https://echobuddha.com/daily-reflections/,158,,PASS
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,34,,PASS
https://echobuddha.com/daily-reflections/let-the-feeling-pass/,34,,PASS
https://echobuddha.com/daily-reflections/letting-go-keeps-care/,34,,PASS
https://echobuddha.com/daily-reflections/listen-before-answering/,34,,PASS
https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,34,,PASS
https://echobuddha.com/daily-reflections/mindful-work/,34,,PASS
https://echobuddha.com/daily-reflections/morning-intention/,34,,PASS
https://echobuddha.com/daily-reflections/notice-before-fixing/,34,,PASS
https://echobuddha.com/daily-reflections/one-honest-breath/,34,,PASS
https://echobuddha.com/daily-reflections/one-step-on-the-path/,34,,PASS
https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,34,,PASS
https://echobuddha.com/daily-reflections/rest-without-escape/,34,,PASS
https://echobuddha.com/daily-reflections/see-the-conditions/,34,,PASS
https://echobuddha.com/daily-reflections/simple-goodwill/,34,,PASS
https://echobuddha.com/daily-reflections/small-actions-shape-the-mind/,34,,PASS
https://echobuddha.com/daily-reflections/soften-the-inner-argument/,34,,PASS
https://echobuddha.com/daily-reflections/speech-can-reduce-suffering/,34,,PASS
https://echobuddha.com/daily-reflections/the-first-truth-is-kind/,34,,PASS
https://echobuddha.com/daily-reflections/thoughts-are-visitors/,34,,PASS
https://echobuddha.com/daily-reflections/today/,149,,PASS
https://echobuddha.com/daily-reflections/walking-as-practice/,34,,PASS
https://echobuddha.com/disclaimer/,25,,PASS
https://echobuddha.com/editorial-policy/,34,,PASS
https://echobuddha.com/how-echo-buddha-creates-content/,27,,PASS
https://echobuddha.com/,106,,PASS
https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/,35,,PASS
