URL,Phase 2 role,Primary owner URL,Owner unchanged?,Current page is owner?,Ownership conflict?,Result
https://echobuddha.com/learn/buddhism-for-beginners/,PRIMARY_PILLAR,https://echobuddha.com/learn/buddhism-for-beginners/,Yes,Yes,No,PASS
https://echobuddha.com/learn/four-noble-truths/,PRIMARY_PILLAR,https://echobuddha.com/learn/four-noble-truths/,Yes,Yes,No,PASS
https://echobuddha.com/learn/eightfold-path/,PRIMARY_PILLAR,https://echobuddha.com/learn/eightfold-path/,Yes,Yes,No,PASS
https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,BEGINNER_FOUNDATION,https://echobuddha.com/learn/buddhism-for-beginners/,Yes,No,No,PASS
https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,PRIMARY_PILLAR,https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,Yes,Yes,No,PASS
https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,PRIMARY_PILLAR,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,Yes,Yes,No,PASS
https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,PRIMARY_PILLAR,https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,Yes,Yes,No,PASS
https://echobuddha.com/articles/three-poisons-buddhism-explained/,PRIMARY_PILLAR,https://echobuddha.com/articles/three-poisons-buddhism-explained/,Yes,Yes,No,PASS
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,PRIMARY_PILLAR,https://echobuddha.com/articles/what-is-sangha-buddhist-community/,Yes,Yes,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/metta/,PRIMARY_PILLAR,https://echobuddha.com/learn/buddhist-dictionary/metta/,Yes,Yes,No,PASS
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,BEGINNER_FOUNDATION,https://echobuddha.com/learn/buddhism-for-beginners/,Yes,No,No,PASS
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,PRACTICAL_APPLICATION,https://echobuddha.com/learn/eightfold-path/,Yes,No,No,PASS
https://echobuddha.com/articles/four-noble-truths-explained-simply/,BEGINNER_FOUNDATION,https://echobuddha.com/learn/four-noble-truths/,Yes,No,No,PASS
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,PRACTICAL_APPLICATION,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,Yes,No,No,PASS
https://echobuddha.com/articles/impermanence-in-buddhism/,SUPPORTING_EXPLANATION,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,Yes,No,No,PASS
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,BEGINNER_FOUNDATION,https://echobuddha.com/learn/buddhist-dictionary/metta/,Yes,No,No,PASS
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,PRACTICAL_APPLICATION,https://echobuddha.com/learn/eightfold-path/,Yes,No,No,PASS
https://echobuddha.com/meditation/breathing-meditation/,PRACTICE_GUIDE,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,Yes,No,No,PASS
https://echobuddha.com/meditation/loving-kindness-meditation/,PRACTICE_GUIDE,https://echobuddha.com/learn/buddhist-dictionary/metta/,Yes,No,No,PASS
https://echobuddha.com/meditation/walking-meditation/,PRACTICE_GUIDE,https://echobuddha.com/meditation/walking-meditation/,Yes,Yes,No,PASS
https://echobuddha.com/meditation/when-meditation-feels-hard/,PRACTICE_GUIDE,https://echobuddha.com/meditation/,Yes,No,No,PASS
https://echobuddha.com/meditation/meditation-for-beginners/,PRACTICE_GUIDE,https://echobuddha.com/meditation/,Yes,No,No,PASS
https://echobuddha.com/meditation/meditation-posture-for-beginners/,PRACTICE_GUIDE,https://echobuddha.com/meditation/,Yes,No,No,PASS
https://echobuddha.com/articles/right-speech-buddhism/,PRIMARY_PILLAR,https://echobuddha.com/articles/right-speech-buddhism/,Yes,Yes,No,PASS
https://echobuddha.com/articles/buddhist-approach-to-anger/,PRIMARY_PILLAR,https://echobuddha.com/articles/buddhist-approach-to-anger/,Yes,Yes,No,PASS
https://echobuddha.com/articles/compassion-with-boundaries/,SCENARIO_GUIDE,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Yes,No,No,PASS
https://echobuddha.com/articles/mindful-email-and-texting/,SCENARIO_GUIDE,https://echobuddha.com/articles/right-speech-buddhism/,Yes,No,No,PASS
https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,SOURCE_STUDY,https://echobuddha.com/learn/four-noble-truths/,Yes,No,No,PASS
https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,SOURCE_STUDY,https://echobuddha.com/learn/eightfold-path/,Yes,No,No,PASS
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,SOURCE_STUDY,https://echobuddha.com/learn/buddhist-dictionary/metta/,Yes,No,No,PASS
https://echobuddha.com/articles/dhamma-vs-dharma/,COMPARISON_PAGE,https://echobuddha.com/learn/buddhist-dictionary/dhamma/,Yes,No,No,PASS
https://echobuddha.com/learn/dhammapada-reflections/,HUB,https://echobuddha.com/learn/dhammapada-reflections/,Yes,Yes,No,PASS
