URL,Risk topics,Phase 1 safety risk,Phase 4 priority status,Diagnosis/treatment/cure claim found?,Guarantee found?,Boundary/coercion concern unresolved?,Critical safety issue?,Evidence
https://echobuddha.com/articles/buddhist-approach-to-anger/,anger,Owner/expert review,REMEDIATED_VALIDATED,No,No,No,No,All relevant current content reviewed; Phase 4 validator and manual re-review
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,forgiveness,Owner/expert review,NOT_IN_QUEUE,No,No,No,No,Current safety scan plus existing content audit
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,overthinking,Owner/expert review,NOT_IN_QUEUE,No,No,No,No,Current safety scan plus existing content audit
https://echobuddha.com/articles/category/meditation/,meditation,Owner/expert review,NOT_IN_QUEUE,No,No,No,No,Current safety scan plus existing content audit
https://echobuddha.com/articles/compassion-with-boundaries/,,Owner/expert review,NO_CHANGE_REQUIRED_VALIDATED,No,No,No,No,All relevant current content reviewed; Phase 4 validator and manual re-review
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,meditation,Low,NOT_IN_QUEUE,No,No,No,No,Current safety scan plus existing content audit
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,anxiety,Owner/expert review,NOT_IN_QUEUE,No,No,No,No,Current safety scan plus existing content audit
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,meditation,Owner/expert review,HUMAN_REVIEW_DEFERRED,No,No,No,No,All relevant current content reviewed; Phase 4 validator and manual re-review
https://echobuddha.com/articles/loving-kindness-meditation-guide/,meditation,Owner/expert review,NOT_IN_QUEUE,No,No,No,No,Current safety scan plus existing content audit
https://echobuddha.com/articles/metta-meditation-script/,meditation,Owner/expert review,NOT_IN_QUEUE,No,No,No,No,Current safety scan plus existing content audit
https://echobuddha.com/articles/mindfulness-for-better-sleep/,sleep,Owner/expert review,NOT_IN_QUEUE,No,No,No,No,Current safety scan plus existing content audit
https://echobuddha.com/articles/mindfulness-vs-meditation/,meditation,Owner/expert review,NOT_IN_QUEUE,No,No,No,No,Current safety scan plus existing content audit
https://echobuddha.com/articles/non-attachment-in-relationships/,relationship/boundary,Low,NOT_IN_QUEUE,No,No,No,No,Current safety scan plus existing content audit
https://echobuddha.com/articles/walking-meditation-step-by-step/,meditation,Owner/expert review,NOT_IN_QUEUE,No,No,No,No,Current safety scan plus existing content audit
https://echobuddha.com/daily-reflections/anger-as-a-signal/,anger,Owner/expert review,NOT_IN_QUEUE,No,No,No,No,Current safety scan plus existing content audit
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,forgiveness,Owner/expert review,NOT_IN_QUEUE,No,No,No,No,Current safety scan plus existing content audit
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,,Owner/expert review,NOT_IN_QUEUE,No,No,No,No,Current safety scan plus existing content audit
https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,anger,Owner/expert review,NOT_IN_QUEUE,No,No,No,No,Current safety scan plus existing content audit
https://echobuddha.com/meditation-guide/,meditation,Owner/expert review,NOT_IN_QUEUE,No,No,No,No,Current safety scan plus existing content audit
https://echobuddha.com/meditation-safety/,meditation,Owner/expert review,NOT_IN_QUEUE,No,No,No,No,Current safety scan plus existing content audit
https://echobuddha.com/meditation/10-minute-meditation-practice/,meditation,Owner/expert review,NOT_IN_QUEUE,No,No,No,No,Current safety scan plus existing content audit
https://echobuddha.com/meditation/5-minute-meditation-practice/,meditation,Owner/expert review,NOT_IN_QUEUE,No,No,No,No,Current safety scan plus existing content audit
https://echobuddha.com/meditation/breathing-meditation/,meditation,Owner/expert review,REMEDIATED_VALIDATED,No,No,No,No,All relevant current content reviewed; Phase 4 validator and manual re-review
