URL,Current indexable?,In current sitemap?,In forensic sitemap?,Result
https://echobuddha.com/404.html,No,No,No,PASS
https://echobuddha.com/about/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/buddhist-approach-to-anger/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/buddhist-gratitude-practice/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/category/buddhist-wisdom/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/category/meditation/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/category/mindfulness/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/category/practice/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/category/reflection/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/compassion-with-boundaries/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/dhamma-vs-dharma/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/eightfold-path-explained/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/equanimity-in-buddhism/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/first-week-buddhist-practice/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/five-precepts-in-daily-life/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/four-noble-truths-explained-simply/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/four-noble-truths-explained/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/how-to-meditate-for-beginners/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/how-to-practice-non-attachment/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/impermanence-in-buddhism/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/letting-go-without-giving-up/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/loving-kindness-meditation-guide/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/metta-meditation-script/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/mindful-email-and-texting/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/mindful-listening-in-everyday-life/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/mindfulness-for-better-sleep/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/mindfulness-morning-routine/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/mindfulness-of-breathing-guide/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/mindfulness-vs-meditation/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/non-attachment-in-relationships/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/right-livelihood-modern-life/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/right-speech-buddhism/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/right-speech-examples/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/three-poisons-buddhism-explained/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/three-ways-to-practice-patience/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/walking-meditation-step-by-step/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/what-is-karma-in-buddhism/,Yes,Yes,Yes,PASS
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,Yes,Yes,Yes,PASS
https://echobuddha.com/authors/echo-buddha-editorial/,Yes,Yes,Yes,PASS
https://echobuddha.com/buddhist-sources-and-citations/,Yes,Yes,Yes,PASS
https://echobuddha.com/contact/,Yes,Yes,Yes,PASS
https://echobuddha.com/corrections/,Yes,Yes,Yes,PASS
https://echobuddha.com/daily-reflections/anger-as-a-signal/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/begin-again-without-shame/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/enough-for-this-moment/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/evening-release/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/family-patience/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/gratitude-for-change/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/,Yes,Yes,Yes,PASS
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/let-the-feeling-pass/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/letting-go-keeps-care/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/listen-before-answering/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/mindful-work/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/morning-intention/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/notice-before-fixing/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/one-honest-breath/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/one-step-on-the-path/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/rest-without-escape/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/see-the-conditions/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/simple-goodwill/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/small-actions-shape-the-mind/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/soften-the-inner-argument/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/speech-can-reduce-suffering/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/the-first-truth-is-kind/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/thoughts-are-visitors/,No,No,Yes,PASS
https://echobuddha.com/daily-reflections/today/,No,No,No,PASS
https://echobuddha.com/daily-reflections/walking-as-practice/,No,No,Yes,PASS
https://echobuddha.com/disclaimer/,Yes,Yes,Yes,PASS
https://echobuddha.com/editorial-policy/,Yes,Yes,Yes,PASS
https://echobuddha.com/how-echo-buddha-creates-content/,Yes,Yes,Yes,PASS
https://echobuddha.com/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhism-101/five-aggregates-buddhism/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhism-101/five-hindrances-in-buddhism/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhism-101/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhism-101/middle-way-explained-for-beginners/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhism-101/the-four-noble-truths-explained/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhism-101/the-noble-eightfold-path-explained/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhism-101/the-three-jewels-explained/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhism-101/three-marks-of-existence/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhism-101/who-was-the-buddha/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhism-for-beginners/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhist-dictionary/anatta/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhist-dictionary/anicca/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhist-dictionary/compassion/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhist-dictionary/dhamma/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhist-dictionary/dukkha/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhist-dictionary/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhist-dictionary/karma/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhist-dictionary/karuna/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhist-dictionary/metta/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhist-dictionary/mindfulness/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhist-dictionary/nirvana/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhist-dictionary/pali-canon/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhist-dictionary/sangha/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhist-dictionary/sati/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhist-dictionary/sutta/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/buddhist-resources/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/dhammapada-reflections/better-than-a-thousand-empty-words/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/dhammapada-reflections/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/dhammapada-reflections/peace-comes-from-a-trained-mind/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/dhammapada-reflections/the-mind-leads-all-things/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/eightfold-path/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/four-noble-truths/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/questions-about-buddhism/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/sutta-for-daily-life/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/sutta-for-daily-life/kalama-sutta-and-wise-thinking/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/sutta-for-daily-life/mindfulness-of-breathing-explained-simply/,Yes,Yes,Yes,PASS
https://echobuddha.com/learn/sutta-for-daily-life/right-speech-in-daily-life/,Yes,Yes,Yes,PASS
https://echobuddha.com/meditation-guide/,Yes,Yes,Yes,PASS
https://echobuddha.com/meditation-safety/,Yes,Yes,Yes,PASS
https://echobuddha.com/meditation/10-minute-meditation-practice/,Yes,Yes,Yes,PASS
https://echobuddha.com/meditation/5-minute-meditation-practice/,Yes,Yes,Yes,PASS
https://echobuddha.com/meditation/breathing-meditation/,Yes,Yes,Yes,PASS
https://echobuddha.com/meditation/,Yes,Yes,Yes,PASS
https://echobuddha.com/meditation/loving-kindness-meditation/,Yes,Yes,Yes,PASS
https://echobuddha.com/meditation/meditation-for-beginners/,Yes,Yes,Yes,PASS
https://echobuddha.com/meditation/meditation-posture-for-beginners/,Yes,Yes,Yes,PASS
https://echobuddha.com/meditation/mindfulness-in-daily-life/,Yes,Yes,Yes,PASS
https://echobuddha.com/meditation/walking-meditation/,Yes,Yes,Yes,PASS
https://echobuddha.com/meditation/when-meditation-feels-hard/,Yes,Yes,Yes,PASS
https://echobuddha.com/mindful-living/,Yes,Yes,Yes,PASS
https://echobuddha.com/privacy-policy/,Yes,Yes,Yes,PASS
https://echobuddha.com/quote-attribution-policy/,Yes,Yes,Yes,PASS
https://echobuddha.com/quotes/awareness/acceptance-before-next-step/,Yes,Yes,Yes,PASS
https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,No,No,Yes,PASS
https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/,No,No,Yes,PASS
https://echobuddha.com/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/,No,No,No,PASS
https://echobuddha.com/quotes/awareness/feelings-are-honest-about-their-presence-not-always-about/,No,No,No,PASS
https://echobuddha.com/quotes/awareness/feelings-without-the-wheel/,Yes,Yes,Yes,PASS
https://echobuddha.com/quotes/awareness/,Yes,Yes,Yes,PASS
https://echobuddha.com/quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/,No,No,Yes,PASS
https://echobuddha.com/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/,No,No,Yes,PASS
https://echobuddha.com/quotes/awareness/notice-the-habit-before-trying-to-become-someone-without/,No,No,No,PASS
https://echobuddha.com/quotes/awareness/one-breath-before-anger-replies/,Yes,Yes,Yes,PASS
https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/,No,No,Yes,PASS
https://echobuddha.com/quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/,No,No,Yes,PASS
https://echobuddha.com/quotes/awareness/thoughts-are-visitors/,Yes,Yes,Yes,PASS
https://echobuddha.com/quotes/awareness/thoughts-pass-without-commanding-you/,Yes,Yes,Yes,PASS
https://echobuddha.com/quotes/awareness/what-you-can-observe-clearly-no-longer-controls-you/,No,No,No,PASS
https://echobuddha.com/quotes/awareness/when-the-mind-tightens-let-the-body-be-your/,No,No,No,PASS
https://echobuddha.com/quotes/compassion/a-gentle-response-can-end-suffering-that-anger-would/,No,No,Yes,PASS
https://echobuddha.com/quotes/compassion/before-judging-another-life-remember-how-much-of-your/,No,No,Yes,PASS
https://echobuddha.com/quotes/compassion/compassion-asks-what-hurts-before-it-asks-who-is/,No,No,Yes,PASS
https://echobuddha.com/quotes/compassion/compassion-grows-where-judgment-loosens-its-grip/,No,No,Yes,PASS
https://echobuddha.com/quotes/compassion/compassion-sees-pain-clearly/,Yes,Yes,Yes,PASS
https://echobuddha.com/quotes/compassion/gentle-self-compassion/,Yes,Yes,Yes,PASS
https://echobuddha.com/quotes/compassion/,Yes,Yes,Yes,PASS
https://echobuddha.com/quotes/compassion/kindness-as-quiet-practice/,Yes,Yes,Yes,PASS
https://echobuddha.com/quotes/compassion/kindness-does-not-need-an-audience-to-become-meaningful/,No,No,Yes,PASS
https://echobuddha.com/quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/,No,No,Yes,PASS
https://echobuddha.com/quotes/compassion/let-your-boundaries-be-clear-and-your-heart-remain/,No,No,No,PASS
https://echobuddha.com/quotes/compassion/loving-kindness-without-harm/,Yes,Yes,Yes,PASS
https://echobuddha.com/quotes/compassion/offer-others-the-patience-you-hope-to-receive-on/,No,No,No,PASS
https://echobuddha.com/quotes/compassion/small-kindnesses-often-reach-places-that-advice-cannot/,No,No,No,PASS
https://echobuddha.com/quotes/compassion/the-heart-becomes-spacious-each-time-it-chooses-care/,No,No,No,PASS
https://echobuddha.com/quotes/compassion/to-understand-someone-is-not-to-excuse-harm-it/,No,No,No,PASS
https://echobuddha.com/quotes/compassion/when-you-cannot-remove-anothers-burden-do-not-add/,No,No,No,PASS
https://echobuddha.com/quotes/impermanence/acceptance-begins-where-the-argument-with-change-ends/,No,No,No,PASS
