URL,AdSense script count,AdSense script URLs,Publisher IDs,Indexable?,Result
https://echobuddha.com/404.html,0,,,No,NO_ADSENSE_SCRIPT_DETECTED
https://echobuddha.com/about/,0,,,Yes,NO_ADSENSE_SCRIPT_DETECTED
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,1,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-3911157640549350,ca-pub-3911157640549350,Yes,SCRIPT_AND_PUBLISHER_PRESENT
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,1,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-3911157640549350,ca-pub-3911157640549350,Yes,SCRIPT_AND_PUBLISHER_PRESENT
https://echobuddha.com/articles/buddhist-approach-to-anger/,0,,,Yes,NO_ADSENSE_SCRIPT_DETECTED
https://echobuddha.com/articles/buddhist-gratitude-practice/,1,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-3911157640549350,ca-pub-3911157640549350,Yes,SCRIPT_AND_PUBLISHER_PRESENT
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,0,,,Yes,NO_ADSENSE_SCRIPT_DETECTED
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,1,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-3911157640549350,ca-pub-3911157640549350,Yes,SCRIPT_AND_PUBLISHER_PRESENT
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,0,,,Yes,NO_ADSENSE_SCRIPT_DETECTED
https://echobuddha.com/articles/category/buddhist-wisdom/,0,,,Yes,NO_ADSENSE_SCRIPT_DETECTED
https://echobuddha.com/articles/category/meditation/,0,,,Yes,NO_ADSENSE_SCRIPT_DETECTED
https://echobuddha.com/articles/category/mindfulness/,0,,,Yes,NO_ADSENSE_SCRIPT_DETECTED
https://echobuddha.com/articles/category/practice/,0,,,Yes,NO_ADSENSE_SCRIPT_DETECTED
https://echobuddha.com/articles/category/reflection/,0,,,Yes,NO_ADSENSE_SCRIPT_DETECTED
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,1,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-3911157640549350,ca-pub-3911157640549350,Yes,SCRIPT_AND_PUBLISHER_PRESENT
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,1,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-3911157640549350,ca-pub-3911157640549350,Yes,SCRIPT_AND_PUBLISHER_PRESENT
https://echobuddha.com/articles/compassion-with-boundaries/,0,,,Yes,NO_ADSENSE_SCRIPT_DETECTED
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,1,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-3911157640549350,ca-pub-3911157640549350,Yes,SCRIPT_AND_PUBLISHER_PRESENT
https://echobuddha.com/articles/dhamma-vs-dharma/,1,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-3911157640549350,ca-pub-3911157640549350,Yes,SCRIPT_AND_PUBLISHER_PRESENT
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,0,,,Yes,NO_ADSENSE_SCRIPT_DETECTED
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,0,,,Yes,NO_ADSENSE_SCRIPT_DETECTED
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,0,,,Yes,NO_ADSENSE_SCRIPT_DETECTED
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,1,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-3911157640549350,ca-pub-3911157640549350,Yes,SCRIPT_AND_PUBLISHER_PRESENT
https://echobuddha.com/articles/eightfold-path-explained/,1,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-3911157640549350,ca-pub-3911157640549350,Yes,SCRIPT_AND_PUBLISHER_PRESENT
https://echobuddha.com/articles/equanimity-in-buddhism/,1,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-3911157640549350,ca-pub-3911157640549350,Yes,SCRIPT_AND_PUBLISHER_PRESENT
