URL,Type,Current index state,Internal search state,Stale redirected/removed route?,Noindex retained intentionally?,Result
https://echobuddha.com/,Home,indexable,PRESENT,No,N/A,PASS
https://echobuddha.com/about/,Trust,indexable,PRESENT,No,N/A,PASS
https://echobuddha.com/authors/echo-buddha-editorial/,Author,indexable,PRESENT,No,N/A,PASS
https://echobuddha.com/contact/,Contact,indexable,PRESENT,No,N/A,PASS
https://echobuddha.com/editorial-policy/,Trust,indexable,PRESENT,No,N/A,PASS
https://echobuddha.com/how-echo-buddha-creates-content/,Trust,indexable,PRESENT,No,N/A,PASS
https://echobuddha.com/buddhist-sources-and-citations/,Trust,indexable,PRESENT,No,N/A,PASS
https://echobuddha.com/quote-attribution-policy/,Trust,indexable,PRESENT,No,N/A,PASS
https://echobuddha.com/meditation-safety/,Trust,indexable,PRESENT,No,N/A,PASS
https://echobuddha.com/corrections/,Trust,indexable,PRESENT,No,N/A,PASS
https://echobuddha.com/learn/,Learning Hub,indexable,PRESENT,No,N/A,PASS
https://echobuddha.com/learn/buddhism-101/,Learning Hub,indexable,PRESENT,No,N/A,PASS
https://echobuddha.com/learn/buddhist-dictionary/,Dictionary,indexable,PRESENT,No,N/A,PASS
https://echobuddha.com/learn/dhammapada-reflections/,Learning Hub,indexable,PRESENT,No,N/A,PASS
https://echobuddha.com/learn/sutta-for-daily-life/,Learning Hub,indexable,PRESENT,No,N/A,PASS
https://echobuddha.com/meditation/,Meditation Hub,indexable,PRESENT,No,N/A,PASS
https://echobuddha.com/meditation-guide/,Meditation Guide,indexable,PRESENT,No,N/A,PASS
https://echobuddha.com/start-here/,Hub,indexable,PRESENT,No,N/A,PASS
https://echobuddha.com/daily-reflections/,Daily Reflection,indexable,PRESENT,No,N/A,PASS
https://echobuddha.com/daily-reflections/today/,Daily Reflection,noindex,PRESENT,No,Yes — internal discovery is independent of Google indexability,PASS
https://echobuddha.com/tools/,Tool,indexable,PRESENT,No,N/A,PASS
https://echobuddha.com/mindful-living/,Hub,indexable,PRESENT,No,N/A,PASS
https://echobuddha.com/quotes/,Quote Hub,indexable,PRESENT,No,N/A,PASS
https://echobuddha.com/learn/buddhism-for-beginners/,Learning Page,indexable,PRESENT,No,N/A,PASS
https://echobuddha.com/learn/four-noble-truths/,Learning Page,indexable,PRESENT,No,N/A,PASS
https://echobuddha.com/learn/eightfold-path/,Learning Page,indexable,PRESENT,No,N/A,PASS
