URL,Phase 3 intended action,Phase 3 intended index,Current actual index,Phase 3 intended sitemap,Current actual sitemap,Drift?,Result
https://echobuddha.com/,KEEP_INDEXED,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/404.html,KEEP_NOINDEXED,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/about/,HUMAN_REVIEW,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/,KEEP_INDEXED,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,CONSOLIDATE_AFTER_PHASE_4,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/buddhist-approach-to-anger/,KEEP_INDEXED,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/buddhist-gratitude-practice/,KEEP_INDEXED,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,KEEP_INDEXED,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,HUMAN_REVIEW,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/category/buddhist-wisdom/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/category/meditation/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/category/mindfulness/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/category/practice/,KEEP_INDEXED,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/category/reflection/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,KEEP_INDEXED,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/compassion-with-boundaries/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/dhamma-vs-dharma/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,HUMAN_REVIEW,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,HUMAN_REVIEW,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,HUMAN_REVIEW,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,CONSOLIDATE_AFTER_PHASE_4,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/eightfold-path-explained/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/equanimity-in-buddhism/,KEEP_INDEXED,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/first-week-buddhist-practice/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/five-precepts-in-daily-life/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/four-noble-truths-explained-simply/,CONSOLIDATE_AFTER_PHASE_4,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/four-noble-truths-explained/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,KEEP_INDEXED,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,HUMAN_REVIEW,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/how-to-meditate-for-beginners/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/how-to-practice-non-attachment/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,CONSOLIDATE_AFTER_PHASE_4,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/impermanence-in-buddhism/,CONSOLIDATE_AFTER_PHASE_4,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/letting-go-without-giving-up/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,CONSOLIDATE_AFTER_PHASE_4,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/loving-kindness-meditation-guide/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/metta-meditation-script/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/mindful-email-and-texting/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/mindful-listening-in-everyday-life/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/mindfulness-for-better-sleep/,HUMAN_REVIEW,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/mindfulness-morning-routine/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/mindfulness-of-breathing-guide/,KEEP_INDEXED,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/mindfulness-vs-meditation/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,CONSOLIDATE_AFTER_PHASE_4,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/non-attachment-in-relationships/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/right-livelihood-modern-life/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/right-speech-buddhism/,KEEP_INDEXED,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/right-speech-examples/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/three-poisons-buddhism-explained/,KEEP_INDEXED,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/three-ways-to-practice-patience/,KEEP_INDEXED,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/walking-meditation-step-by-step/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/what-is-karma-in-buddhism/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,KEEP_INDEXED,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/authors/echo-buddha-editorial/,HUMAN_REVIEW,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/buddhist-sources-and-citations/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/contact/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/corrections/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/daily-reflections/,KEEP_INDEXED,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/daily-reflections/anger-as-a-signal/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/begin-again-without-shame/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/enough-for-this-moment/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/evening-release/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/family-patience/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/gratitude-for-change/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/let-the-feeling-pass/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/letting-go-keeps-care/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/listen-before-answering/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/mindful-work/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/morning-intention/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/notice-before-fixing/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/one-honest-breath/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/one-step-on-the-path/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/rest-without-escape/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/see-the-conditions/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/simple-goodwill/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/small-actions-shape-the-mind/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/soften-the-inner-argument/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/speech-can-reduce-suffering/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/the-first-truth-is-kind/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/thoughts-are-visitors/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/today/,KEEP_NOINDEXED,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/daily-reflections/walking-as-practice/,NOINDEX,noindex,noindex,out of sitemap,out of sitemap,No,PASS
https://echobuddha.com/disclaimer/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/editorial-policy/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/how-echo-buddha-creates-content/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/,KEEP_INDEXED,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhism-101/,KEEP_INDEXED,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhism-101/five-aggregates-buddhism/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhism-101/five-hindrances-in-buddhism/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,KEEP_INDEXED,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/,KEEP_INDEXED,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhism-101/middle-way-explained-for-beginners/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/,KEEP_INDEXED,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhism-101/the-four-noble-truths-explained/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhism-101/the-noble-eightfold-path-explained/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhism-101/the-three-jewels-explained/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhism-101/three-marks-of-existence/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,KEEP_INDEXED,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,KEEP_INDEXED,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,KEEP_INDEXED,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhism-101/who-was-the-buddha/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhism-for-beginners/,KEEP_INDEXED,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/,KEEP_INDEXED,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/anatta/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/anicca/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/compassion/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/dhamma/,KEEP_INDEXED,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/dukkha/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/karma/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/karuna/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/metta/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/mindfulness/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/nirvana/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/pali-canon/,HUMAN_REVIEW,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/sangha/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/sati/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/sutta/,HUMAN_REVIEW,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhist-resources/,IMPROVE_LATER_PHASE,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/dhammapada-reflections/,HUMAN_REVIEW,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/,HUMAN_REVIEW,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/dhammapada-reflections/better-than-a-thousand-empty-words/,HUMAN_REVIEW,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,HUMAN_REVIEW,indexable,indexable,in sitemap,in sitemap,No,PASS
