URL,Canonical,Canonical matches route?,Result
https://echobuddha.com/404.html,,N/A,PASS
https://echobuddha.com/about/,https://echobuddha.com/about/,Yes,PASS
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,Yes,PASS
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,Yes,PASS
https://echobuddha.com/articles/buddhist-approach-to-anger/,https://echobuddha.com/articles/buddhist-approach-to-anger/,Yes,PASS
https://echobuddha.com/articles/buddhist-gratitude-practice/,https://echobuddha.com/articles/buddhist-gratitude-practice/,Yes,PASS
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,Yes,PASS
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,Yes,PASS
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,Yes,PASS
https://echobuddha.com/articles/category/buddhist-wisdom/,https://echobuddha.com/articles/category/buddhist-wisdom/,Yes,PASS
https://echobuddha.com/articles/category/meditation/,https://echobuddha.com/articles/category/meditation/,Yes,PASS
https://echobuddha.com/articles/category/mindfulness/,https://echobuddha.com/articles/category/mindfulness/,Yes,PASS
https://echobuddha.com/articles/category/practice/,https://echobuddha.com/articles/category/practice/,Yes,PASS
https://echobuddha.com/articles/category/reflection/,https://echobuddha.com/articles/category/reflection/,Yes,PASS
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,Yes,PASS
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Yes,PASS
https://echobuddha.com/articles/compassion-with-boundaries/,https://echobuddha.com/articles/compassion-with-boundaries/,Yes,PASS
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,Yes,PASS
https://echobuddha.com/articles/dhamma-vs-dharma/,https://echobuddha.com/articles/dhamma-vs-dharma/,Yes,PASS
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,Yes,PASS
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,Yes,PASS
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,https://echobuddha.com/articles/dhammapada-verse-1-meaning/,Yes,PASS
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,https://echobuddha.com/articles/eightfold-path-explained-daily-life/,Yes,PASS
https://echobuddha.com/articles/eightfold-path-explained/,https://echobuddha.com/articles/eightfold-path-explained/,Yes,PASS
https://echobuddha.com/articles/equanimity-in-buddhism/,https://echobuddha.com/articles/equanimity-in-buddhism/,Yes,PASS
https://echobuddha.com/articles/first-week-buddhist-practice/,https://echobuddha.com/articles/first-week-buddhist-practice/,Yes,PASS
https://echobuddha.com/articles/five-precepts-in-daily-life/,https://echobuddha.com/articles/five-precepts-in-daily-life/,Yes,PASS
https://echobuddha.com/articles/four-noble-truths-explained-simply/,https://echobuddha.com/articles/four-noble-truths-explained-simply/,Yes,PASS
https://echobuddha.com/articles/four-noble-truths-explained/,https://echobuddha.com/articles/four-noble-truths-explained/,Yes,PASS
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,Yes,PASS
