URL,Canonical,Canonical count,Host correct?,Self canonical?,Index state,Issue,Action,Validation
/,https://echobuddha.com/,1,Yes,Yes,indexable,None,Preserve,PASS
/404.html,,0,N/A — 404,N/A,noindex,None,Preserve,PASS
/about/,https://echobuddha.com/about/,1,Yes,Yes,indexable,None,Preserve,PASS
/articles/,https://echobuddha.com/articles/,1,Yes,Yes,indexable,None,Preserve,PASS
/articles/beginning-a-daily-mindfulness-practice/,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,1,Yes,Yes,indexable,None,Preserve,PASS
/articles/buddhism-for-beginners-simple-guide/,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,1,Yes,Yes,indexable,None,Preserve,PASS
/articles/buddhist-approach-to-anger/,https://echobuddha.com/articles/buddhist-approach-to-anger/,1,Yes,Yes,indexable,None,Preserve,PASS
/articles/buddhist-gratitude-practice/,https://echobuddha.com/articles/buddhist-gratitude-practice/,1,Yes,Yes,indexable,None,Preserve,PASS
/articles/buddhist-teachings-on-forgiveness/,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,1,Yes,Yes,indexable,None,Preserve,PASS
/articles/buddhist-teachings-on-impermanence/,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,1,Yes,Yes,indexable,None,Preserve,PASS
/articles/buddhist-wisdom-for-overthinking/,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,1,Yes,Yes,indexable,None,Preserve,PASS
/articles/category/buddhist-wisdom/,https://echobuddha.com/articles/category/buddhist-wisdom/,1,Yes,Yes,indexable,None,Preserve,PASS
/articles/category/meditation/,https://echobuddha.com/articles/category/meditation/,1,Yes,Yes,indexable,None,Preserve,PASS
/articles/category/mindfulness/,https://echobuddha.com/articles/category/mindfulness/,1,Yes,Yes,indexable,None,Preserve,PASS
/articles/category/practice/,https://echobuddha.com/articles/category/practice/,1,Yes,Yes,indexable,None,Preserve,PASS
/articles/category/reflection/,https://echobuddha.com/articles/category/reflection/,1,Yes,Yes,indexable,None,Preserve,PASS
/articles/compassion-as-a-daily-discipline/,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,1,Yes,Yes,indexable,None,Preserve,PASS
/articles/compassion-in-buddhism-beginner-guide/,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,1,Yes,Yes,indexable,None,Preserve,PASS
/articles/compassion-with-boundaries/,https://echobuddha.com/articles/compassion-with-boundaries/,1,Yes,Yes,indexable,None,Preserve,PASS
/articles/creating-a-peaceful-corner-at-home/,https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,1,Yes,Yes,indexable,None,Preserve,PASS
/articles/dhamma-vs-dharma/,https://echobuddha.com/articles/dhamma-vs-dharma/,1,Yes,Yes,indexable,None,Preserve,PASS
