URL,Page family,JSON-LD blocks,Parse valid?,Visible-content consistency,Issue,Action,Validation
/,Homepage,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/404.html,Error,0,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/about/,Trust/policy,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/,Article hub,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/beginning-a-daily-mindfulness-practice/,Article detail,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/buddhism-for-beginners-simple-guide/,Article detail,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/buddhist-approach-to-anger/,Article detail,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/buddhist-gratitude-practice/,Article detail,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/buddhist-teachings-on-forgiveness/,Article detail,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/buddhist-teachings-on-impermanence/,Article detail,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/buddhist-wisdom-for-overthinking/,Article detail,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/category/buddhist-wisdom/,Article category,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/category/meditation/,Article category,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/category/mindfulness/,Article category,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/category/practice/,Article category,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/category/reflection/,Article category,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/compassion-as-a-daily-discipline/,Article detail,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/compassion-in-buddhism-beginner-guide/,Article detail,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/compassion-with-boundaries/,Article detail,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/creating-a-peaceful-corner-at-home/,Article detail,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/dhamma-vs-dharma/,Article detail,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/dhammapada-reflection-trained-mind/,Article detail,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/dhammapada-reflection-what-we-think/,Article detail,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/dhammapada-verse-1-meaning/,Article detail,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/eightfold-path-explained-daily-life/,Article detail,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/eightfold-path-explained/,Article detail,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/equanimity-in-buddhism/,Article detail,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/first-week-buddhist-practice/,Article detail,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/five-precepts-in-daily-life/,Article detail,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/four-noble-truths-explained-simply/,Article detail,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/four-noble-truths-explained/,Article detail,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/how-to-let-go-of-attachment-in-buddhism/,Article detail,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/how-to-meditate-for-anxiety/,Article detail,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
/articles/how-to-meditate-for-beginners/,Article detail,1,Yes,Preserved from Phase 6/7,None,Preserve,PASS
