URL,Viewport,Before performance score,After performance score,Before LCP,After LCP,Before CLS,After CLS,Before JS,After JS,Third-party cost before,Third-party cost after,Primary issue,Change,Regression?,Evidence,Lab/Field
/,mobile,0.83,1,987.077625,945.0155,0,0.001734273664773513,676.5689500000001,0,570926,116682,AdSense runtime verification cost,Removed AdSense runtime; consent UI visible fresh,No,Phase 7 post-edit and Phase 8 local Lighthouse,Lab only
/articles/four-noble-truths-explained-simply/,mobile,1,1,967.3451,909.4699,0,0.001734273664773513,64,0,497081,42343,No material issue,Removed AdSense runtime; consent UI visible fresh,No,Phase 7 post-edit and Phase 8 local Lighthouse,Lab only
/learn/buddhism-101/what-is-mindfulness/,mobile,0.98,1,906.1412,1205.6149,0,0,171,0,489295,35348,No material issue,Removed AdSense runtime; consent UI visible fresh,No,Phase 7 post-edit and Phase 8 local Lighthouse,Lab only
/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,mobile,1,1,1024.0142,909.5342,0,0.001734273664773513,51,0,210330,37630,No material issue,Removed AdSense runtime; consent UI visible fresh,No,Phase 7 post-edit and Phase 8 local Lighthouse,Lab only
/daily-reflections/one-honest-breath/,mobile,1,1,1060.8269,1228.6286,0,0.001734273664773513,27.5,0,207657,34953,No material issue,Removed AdSense runtime; consent UI visible fresh,No,Phase 7 post-edit and Phase 8 local Lighthouse,Lab only
/meditation/breathing-meditation/,mobile,1,1,1064.0936,1209.6222,0,0,45.5,0,209023,36348,No material issue,Removed AdSense runtime; consent UI visible fresh,No,Phase 7 post-edit and Phase 8 local Lighthouse,Lab only
/quotes/mindfulness/,mobile,0.99,1,1045.4649,904.7541000000001,0.001734273664773513,0,133.0192750000001,0,210268,37597,No material issue,Removed AdSense runtime; consent UI visible fresh,No,Phase 7 post-edit and Phase 8 local Lighthouse,Lab only
/search/,mobile,0.98,1,1076.2916,920.8258000000001,0,0.001734273664773513,142.34559999999988,0,206285,33589,No material issue,Removed AdSense runtime; consent UI visible fresh,No,Phase 7 post-edit and Phase 8 local Lighthouse,Lab only
/tools/,mobile,1,1,1131.3547,1062.1356,0.001734273664773513,0.001734273664773513,51.5,0,220700,48054,No material issue,Removed AdSense runtime; consent UI visible fresh,No,Phase 7 post-edit and Phase 8 local Lighthouse,Lab only
/privacy-policy/,mobile,1,1,999.3823,906.5393999999999,0.001734273664773513,0,29,0,206463,33818,No material issue,Removed AdSense runtime; consent UI visible fresh,No,Phase 7 post-edit and Phase 8 local Lighthouse,Lab only
/,desktop,1,1,483.72219999999993,426.01560000000006,0.0003632681237862187,0,0,0,655050,200130,AdSense runtime verification cost,Removed AdSense runtime; consent UI visible fresh,No,Phase 7 post-edit and Phase 8 local Lighthouse,Lab only
/articles/four-noble-truths-explained-simply/,desktop,1,1,268.1495,248.42880000000002,0.0003632681237862187,0,0,0,496384,42343,No material issue,Removed AdSense runtime; consent UI visible fresh,No,Phase 7 post-edit and Phase 8 local Lighthouse,Lab only
/learn/buddhism-101/what-is-mindfulness/,desktop,1,1,259.5407,246.47179999999997,0.0003632681237862187,0,0,0,489473,35348,No material issue,Removed AdSense runtime; consent UI visible fresh,No,Phase 7 post-edit and Phase 8 local Lighthouse,Lab only
/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,desktop,1,1,244.67680000000001,244.9253,0,0,0,0,296440,123730,No material issue,Removed AdSense runtime; consent UI visible fresh,No,Phase 7 post-edit and Phase 8 local Lighthouse,Lab only
/daily-reflections/one-honest-breath/,desktop,1,1,259.8815,252.41610000000003,0,0,0,0,207657,34953,No material issue,Removed AdSense runtime; consent UI visible fresh,No,Phase 7 post-edit and Phase 8 local Lighthouse,Lab only
/meditation/breathing-meditation/,desktop,1,1,300.68240000000003,244.5106,0.0003632681237862187,0,0,0,209013,36348,No material issue,Removed AdSense runtime; consent UI visible fresh,No,Phase 7 post-edit and Phase 8 local Lighthouse,Lab only
/quotes/mindfulness/,desktop,1,1,309.6633,245.82369999999997,0.0003632681237862187,0,0,0,337736,165065,No material issue,Removed AdSense runtime; consent UI visible fresh,No,Phase 7 post-edit and Phase 8 local Lighthouse,Lab only
/search/,desktop,1,1,303.2267,250.3827,0,0,0,0,206285,33589,No material issue,Removed AdSense runtime; consent UI visible fresh,No,Phase 7 post-edit and Phase 8 local Lighthouse,Lab only
/tools/,desktop,1,1,330.0283,290.5052,0.0003632681237862187,0,0,0,220765,48054,No material issue,Removed AdSense runtime; consent UI visible fresh,No,Phase 7 post-edit and Phase 8 local Lighthouse,Lab only
/privacy-policy/,desktop,1,1,277.6327,246.72250000000003,0.0003632681237862187,0,5,0,206469,33818,No material issue,Removed AdSense runtime; consent UI visible fresh,No,Phase 7 post-edit and Phase 8 local Lighthouse,Lab only
