URL,intended_state,should_be_listed,listed,lastmod,lastmod_basis,absolute_production_url,result
https://echobuddha.com/,INDEXABLE_CANONICAL_200,YES,YES,2026-08-24,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/404,NOINDEX_USER_PAGE_200,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/404.html,TEMPORARY_REDIRECT,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/about/,INDEXABLE_CANONICAL_200,YES,YES,,OMITTED_WHEN_NO_TRUTHFUL_DATE,YES,PASS
https://echobuddha.com/ads.txt,TECHNICAL_ENDPOINT,NO,NO,,OMITTED_WHEN_NO_TRUTHFUL_DATE,NOT_APPLICABLE,PASS
https://echobuddha.com/articles/,INDEXABLE_CANONICAL_200,YES,YES,2026-08-24,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-01,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-01,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/buddhist-approach-to-anger/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-01,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/buddhist-gratitude-practice/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-13,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,INDEXABLE_CANONICAL_200,YES,YES,2026-06-25,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-01,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,INDEXABLE_CANONICAL_200,YES,YES,2026-08-24,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/category/buddhist-wisdom/,INDEXABLE_CANONICAL_200,YES,YES,2026-08-24,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
https://echobuddha.com/articles/category/meditation/,INDEXABLE_CANONICAL_200,YES,YES,2026-07-01,CONTENT_REVIEW_OR_SOURCE_DATE,YES,PASS
