source_url,declared_canonical,google_selected_canonical_if_known,sitemap_inclusion,internal_link_destination_count,internal_link_canonical_conflicts,gsc_data_attribution,redirect_state,duplicate_overlap_clusters,overlap_cluster_count,phase_2_value_score,search_protection_tier,canonical_flags,indexing_stability,change_restriction
https://echobuddha.com/about/,https://echobuddha.com/about/,NOT_AVAILABLE,true,337,0,Page-row evidence attributed to https://echobuddha.com/about/,200,OWNER:https://echobuddha.com/about/,1,NOT_APPLICABLE,SEO_P1_HIGH,CANONICAL_SELF_CONSISTENT | CANONICAL_UNKNOWN_GOOGLE_SELECTED,NOT_VERIFIED: URL Inspection/Google-selected canonical unavailable,"NO SEO-R3/R4 CHANGE WITHOUT QUERY, BACKLINK, MAPPING, REDIRECT, AND MONITORING EVIDENCE"
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,NOT_AVAILABLE,true,24,0,NO_PAGE_ROW_IN_EXPORT,200,OWNER:https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/ | TI-0090 | TI-0107 | TI-0108 | TI-0146 | TI-0164 | TI-0166 | TI-0167 | TI-0174 | TI-0178 | TI-0181 | TI-0182 | TI-0183 | TI-0251 | TI-0284 | TI-0291 | TI-0301 | TI-0317 | TI-0326 | TI-0327 | TI-0415 | TI-0512 | TI-0516 | TI-0518 | TI-0535,45,58,SEO_P3_LIMITED,CANONICAL_SELF_CONSISTENT | CANONICAL_UNKNOWN_GOOGLE_SELECTED,NOT_VERIFIED: URL Inspection/Google-selected canonical unavailable,Phase 4 may evaluate; user value still controls
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,NOT_AVAILABLE,true,11,0,Page-row evidence attributed to https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,200,OWNER:https://echobuddha.com/learn/buddhism-for-beginners/ | TI-0022 | TI-0029 | TI-0038 | TI-0055 | TI-0091 | TI-0101 | TI-0109 | TI-0143 | TI-0147 | TI-0165 | TI-0184 | TI-0291 | TI-0292 | TI-0298 | TI-0311 | TI-0312 | TI-0322 | TI-0328 | TI-0425 | TI-0493 | TI-0498 | TI-0500 | TI-0540 | TI-0697,26,60,SEO_P3_LIMITED,CANONICAL_SELF_CONSISTENT | CANONICAL_UNKNOWN_GOOGLE_SELECTED,NOT_VERIFIED: URL Inspection/Google-selected canonical unavailable,Phase 4 may evaluate; user value still controls
https://echobuddha.com/articles/buddhist-approach-to-anger/,https://echobuddha.com/articles/buddhist-approach-to-anger/,NOT_AVAILABLE,true,19,0,Page-row evidence attributed to https://echobuddha.com/articles/buddhist-approach-to-anger/,200,TI-0110 | TI-0208 | TI-0403 | TI-0419 | TI-0426 | TI-0427 | TI-0557,7,70,SEO_P2_EMERGING,CANONICAL_SELF_CONSISTENT | CANONICAL_UNKNOWN_GOOGLE_SELECTED,NOT_VERIFIED: URL Inspection/Google-selected canonical unavailable,Evidence and impact review required before destructive change
https://echobuddha.com/articles/buddhist-gratitude-practice/,https://echobuddha.com/articles/buddhist-gratitude-practice/,NOT_AVAILABLE,true,4,0,Page-row evidence attributed to https://echobuddha.com/articles/buddhist-gratitude-practice/,200,TI-0299 | TI-0306 | TI-0329 | TI-0491 | TI-0564 | TI-0652 | TI-0684 | TI-0692 | TI-0693 | TI-0796 | TI-0799 | TI-0918 | TI-0919 | TI-1051 | TI-1198 | TI-1222,16,69,SEO_P3_LIMITED,CANONICAL_SELF_CONSISTENT | CANONICAL_UNKNOWN_GOOGLE_SELECTED,NOT_VERIFIED: URL Inspection/Google-selected canonical unavailable,Phase 4 may evaluate; user value still controls
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,NOT_AVAILABLE,true,11,0,Page-row evidence attributed to https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,200,TI-0089 | TI-0428 | TI-0509 | TI-0549 | TI-0565 | TI-0566 | TI-0642 | TI-0654 | TI-0799 | TI-0876 | TI-0877 | TI-0948 | TI-1010 | TI-1054 | TI-1162 | TI-1199,16,69,SEO_P3_LIMITED,CANONICAL_SELF_CONSISTENT | CANONICAL_UNKNOWN_GOOGLE_SELECTED,NOT_VERIFIED: URL Inspection/Google-selected canonical unavailable,Phase 4 may evaluate; user value still controls
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,NOT_AVAILABLE,true,10,0,Page-row evidence attributed to https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,200,OWNER:https://echobuddha.com/learn/buddhism-101/what-is-impermanence/ | ND-0934 | ND-0939 | TI-0089 | TI-0099 | TI-0111 | TI-0185 | TI-0208 | TI-0323 | TI-0404 | TI-0417 | TI-0429 | TI-0430 | TI-0636 | TI-0688 | TI-0708 | TI-0712,17,63,SEO_P3_LIMITED,CANONICAL_SELF_CONSISTENT | CANONICAL_UNKNOWN_GOOGLE_SELECTED,NOT_VERIFIED: URL Inspection/Google-selected canonical unavailable,Phase 4 may evaluate; user value still controls
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,NOT_AVAILABLE,true,45,0,Page-row evidence attributed to https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,200,OWNER:https://echobuddha.com/articles/how-to-meditate-for-anxiety/ | TI-0385 | TI-0567,3,66,SEO_P1_HIGH,CANONICAL_SELF_CONSISTENT | CANONICAL_UNKNOWN_GOOGLE_SELECTED,NOT_VERIFIED: URL Inspection/Google-selected canonical unavailable,"NO SEO-R3/R4 CHANGE WITHOUT QUERY, BACKLINK, MAPPING, REDIRECT, AND MONITORING EVIDENCE"
https://echobuddha.com/articles/category/buddhist-wisdom/,https://echobuddha.com/articles/category/buddhist-wisdom/,NOT_AVAILABLE,true,95,0,Page-row evidence attributed to https://echobuddha.com/articles/category/buddhist-wisdom/,200,OWNER:https://echobuddha.com/articles/,1,50,SEO_P2_EMERGING,CANONICAL_SELF_CONSISTENT | CANONICAL_UNKNOWN_GOOGLE_SELECTED,NOT_VERIFIED: URL Inspection/Google-selected canonical unavailable,Evidence and impact review required before destructive change
https://echobuddha.com/articles/category/meditation/,https://echobuddha.com/articles/category/meditation/,NOT_AVAILABLE,true,35,0,Page-row evidence attributed to https://echobuddha.com/articles/category/meditation/,200,OWNER:https://echobuddha.com/articles/,1,49,SEO_P2_EMERGING,CANONICAL_SELF_CONSISTENT | CANONICAL_UNKNOWN_GOOGLE_SELECTED,NOT_VERIFIED: URL Inspection/Google-selected canonical unavailable,Evidence and impact review required before destructive change
https://echobuddha.com/articles/category/mindfulness/,https://echobuddha.com/articles/category/mindfulness/,NOT_AVAILABLE,true,54,0,Page-row evidence attributed to https://echobuddha.com/articles/category/mindfulness/,200,OWNER:https://echobuddha.com/articles/,1,49,SEO_P2_EMERGING,CANONICAL_SELF_CONSISTENT | CANONICAL_UNKNOWN_GOOGLE_SELECTED,NOT_VERIFIED: URL Inspection/Google-selected canonical unavailable,Evidence and impact review required before destructive change
https://echobuddha.com/articles/category/reflection/,https://echobuddha.com/articles/category/reflection/,NOT_AVAILABLE,true,57,0,NO_PAGE_ROW_IN_EXPORT,200,OWNER:https://echobuddha.com/articles/,1,49,SEO_P2_EMERGING,CANONICAL_SELF_CONSISTENT | CANONICAL_UNKNOWN_GOOGLE_SELECTED,NOT_VERIFIED: URL Inspection/Google-selected canonical unavailable,Evidence and impact review required before destructive change
