source_url,target_url,source_phase_2_score,target_phase_2_score,source_protection_tier,target_protection_tier,source_queries,target_queries,source_backlinks,target_backlinks,structural_overlap,content_overlap,intent_equivalence,canonical_state,redirect_suitability,future_redirect_type_if_approved,minimum_redirect_retention_if_approved,redirect_chain_risk,internal_link_migration,sitemap_migration,change_risk,mapping_status,phase_4_readiness
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,58,85,SEO_P3_LIMITED,SEO_P1_HIGH,NOT_AVAILABLE_QUERY×PAGE,NOT_AVAILABLE_QUERY×PAGE,NOT_VERIFIED,NOT_VERIFIED,0.0857,0.0017,NOT_ESTABLISHED,self → self,NOT_READY: target must absorb relevant source value and query/backlink evidence must be obtained,Relevant server-side 301 or 308,At least one year; longer where practical,NONE_CURRENTLY_OBSERVED,24 current source pages must be evaluated and later linked directly to final survivor where relevant,After approval only: remove redirecting source; retain canonical target,SEO-R4_CRITICAL,PROVISIONAL_EVALUATION_ONLY,MORE_DATA_REQUIRED
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,https://echobuddha.com/learn/buddhism-for-beginners/,60,90,SEO_P3_LIMITED,SEO_P1_HIGH,NOT_AVAILABLE_QUERY×PAGE,NOT_AVAILABLE_QUERY×PAGE,NOT_VERIFIED,NOT_VERIFIED,0,0,NOT_ESTABLISHED,self → self,NOT_READY: target must absorb relevant source value and query/backlink evidence must be obtained,Relevant server-side 301 or 308,At least one year; longer where practical,NONE_CURRENTLY_OBSERVED,11 current source pages must be evaluated and later linked directly to final survivor where relevant,After approval only: remove redirecting source; retain canonical target,SEO-R4_CRITICAL,PROVISIONAL_EVALUATION_ONLY,MORE_DATA_REQUIRED
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,63,84,SEO_P3_LIMITED,SEO_P2_EMERGING,NOT_AVAILABLE_QUERY×PAGE,NOT_AVAILABLE_QUERY×PAGE,NOT_VERIFIED,NOT_VERIFIED,0.0769,0.0027,NOT_ESTABLISHED,self → self,NOT_READY: target must absorb relevant source value and query/backlink evidence must be obtained,Relevant server-side 301 or 308,At least one year; longer where practical,NONE_CURRENTLY_OBSERVED,10 current source pages must be evaluated and later linked directly to final survivor where relevant,After approval only: remove redirecting source; retain canonical target,SEO-R4_CRITICAL,PROVISIONAL_EVALUATION_ONLY,MORE_DATA_REQUIRED
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,66,75,SEO_P1_HIGH,SEO_P2_EMERGING,NOT_AVAILABLE_QUERY×PAGE,NOT_AVAILABLE_QUERY×PAGE,NOT_VERIFIED,NOT_VERIFIED,0.35,0.0663,POSSIBLE_NOT_VERIFIED,self → self,NOT_READY: target must absorb relevant source value and query/backlink evidence must be obtained,Relevant server-side 301 or 308,At least one year; longer where practical,NONE_CURRENTLY_OBSERVED,45 current source pages must be evaluated and later linked directly to final survivor where relevant,After approval only: remove redirecting source; retain canonical target,SEO-R4_CRITICAL,PROVISIONAL_EVALUATION_ONLY,DO_NOT_CHANGE_YET
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,63,77,SEO_P3_LIMITED,SEO_P1_HIGH,NOT_AVAILABLE_QUERY×PAGE,NOT_AVAILABLE_QUERY×PAGE,NOT_VERIFIED,NOT_VERIFIED,0.3947,0.1016,POSSIBLE_NOT_VERIFIED,self → self,NOT_READY: target must absorb relevant source value and query/backlink evidence must be obtained,Relevant server-side 301 or 308,At least one year; longer where practical,NONE_CURRENTLY_OBSERVED,19 current source pages must be evaluated and later linked directly to final survivor where relevant,After approval only: remove redirecting source; retain canonical target,SEO-R4_CRITICAL,PROVISIONAL_EVALUATION_ONLY,MORE_DATA_REQUIRED
https://echobuddha.com/articles/compassion-with-boundaries/,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,68,77,SEO_P2_EMERGING,SEO_P1_HIGH,NOT_AVAILABLE_QUERY×PAGE,NOT_AVAILABLE_QUERY×PAGE,NOT_VERIFIED,NOT_VERIFIED,0.5,0.1323,POSSIBLE_NOT_VERIFIED,self → self,NOT_READY: target must absorb relevant source value and query/backlink evidence must be obtained,Relevant server-side 301 or 308,At least one year; longer where practical,NONE_CURRENTLY_OBSERVED,56 current source pages must be evaluated and later linked directly to final survivor where relevant,After approval only: remove redirecting source; retain canonical target,SEO-R4_CRITICAL,PROVISIONAL_EVALUATION_ONLY,MORE_DATA_REQUIRED
https://echobuddha.com/articles/dhamma-vs-dharma/,https://echobuddha.com/learn/buddhist-dictionary/dhamma/,63,81,SEO_P1_HIGH,SEO_P1_HIGH,NOT_AVAILABLE_QUERY×PAGE,NOT_AVAILABLE_QUERY×PAGE,NOT_VERIFIED,NOT_VERIFIED,0,0.0055,NOT_ESTABLISHED,self → self,NOT_READY: target must absorb relevant source value and query/backlink evidence must be obtained,Relevant server-side 301 or 308,At least one year; longer where practical,NONE_CURRENTLY_OBSERVED,55 current source pages must be evaluated and later linked directly to final survivor where relevant,After approval only: remove redirecting source; retain canonical target,SEO-R4_CRITICAL,PROVISIONAL_EVALUATION_ONLY,DO_NOT_CHANGE_YET
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,https://echobuddha.com/learn/dhammapada-reflections/,58,88,SEO_P3_LIMITED,SEO_P2_EMERGING,NOT_AVAILABLE_QUERY×PAGE,NOT_AVAILABLE_QUERY×PAGE,NOT_VERIFIED,NOT_VERIFIED,0,0.0037,NOT_ESTABLISHED,self → self,NOT_READY: target must absorb relevant source value and query/backlink evidence must be obtained,Relevant server-side 301 or 308,At least one year; longer where practical,NONE_CURRENTLY_OBSERVED,4 current source pages must be evaluated and later linked directly to final survivor where relevant,After approval only: remove redirecting source; retain canonical target,SEO-R4_CRITICAL,PROVISIONAL_EVALUATION_ONLY,MORE_DATA_REQUIRED
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,https://echobuddha.com/learn/dhammapada-reflections/,65,88,SEO_P2_EMERGING,SEO_P2_EMERGING,NOT_AVAILABLE_QUERY×PAGE,NOT_AVAILABLE_QUERY×PAGE,NOT_VERIFIED,NOT_VERIFIED,0,0.0032,NOT_ESTABLISHED,self → self,NOT_READY: target must absorb relevant source value and query/backlink evidence must be obtained,Relevant server-side 301 or 308,At least one year; longer where practical,NONE_CURRENTLY_OBSERVED,5 current source pages must be evaluated and later linked directly to final survivor where relevant,After approval only: remove redirecting source; retain canonical target,SEO-R4_CRITICAL,PROVISIONAL_EVALUATION_ONLY,MORE_DATA_REQUIRED
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,https://echobuddha.com/learn/dhammapada-reflections/,65,88,SEO_P2_EMERGING,SEO_P2_EMERGING,NOT_AVAILABLE_QUERY×PAGE,NOT_AVAILABLE_QUERY×PAGE,NOT_VERIFIED,NOT_VERIFIED,0,0.0024,NOT_ESTABLISHED,self → self,NOT_READY: target must absorb relevant source value and query/backlink evidence must be obtained,Relevant server-side 301 or 308,At least one year; longer where practical,NONE_CURRENTLY_OBSERVED,36 current source pages must be evaluated and later linked directly to final survivor where relevant,After approval only: remove redirecting source; retain canonical target,SEO-R4_CRITICAL,PROVISIONAL_EVALUATION_ONLY,MORE_DATA_REQUIRED
