URL,protection_tier,clicks_3m,impressions_3m,ctr_3m,average_position_3m,performance_window,major_queries,query_count,google_index_status,declared_canonical,google_canonical,sitemap_member,backlinks,internal_authority,baseline_timestamp,monitoring_trigger_policy
https://echobuddha.com/about/,SEO_P1_HIGH,0,19,0,12.95,2026-06-23 to 2026-08-18; Web; Page aggregation,NOT_AVAILABLE_QUERY×PAGE,NOT_AVAILABLE_QUERY×PAGE,NOT_VERIFIED,https://echobuddha.com/about/,NOT_AVAILABLE,true,NOT_VERIFIED,HIGH,2026-08-24T04:01:12.853Z,Investigate sustained change; do not auto-rollback on short-term fluctuation
https://echobuddha.com/articles/buddhist-approach-to-anger/,SEO_P2_EMERGING,0,5,0,5.4,2026-06-23 to 2026-08-18; Web; Page aggregation,NOT_AVAILABLE_QUERY×PAGE,NOT_AVAILABLE_QUERY×PAGE,NOT_VERIFIED,https://echobuddha.com/articles/buddhist-approach-to-anger/,NOT_AVAILABLE,true,NOT_VERIFIED,MEDIUM,2026-08-24T04:01:12.853Z,Investigate sustained change; do not auto-rollback on short-term fluctuation
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,SEO_P1_HIGH,0,17,0,10.18,2026-06-23 to 2026-08-18; Web; Page aggregation,NOT_AVAILABLE_QUERY×PAGE,NOT_AVAILABLE_QUERY×PAGE,NOT_VERIFIED,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,NOT_AVAILABLE,true,NOT_VERIFIED,HIGH,2026-08-24T04:01:12.853Z,Investigate sustained change; do not auto-rollback on short-term fluctuation
https://echobuddha.com/articles/category/buddhist-wisdom/,SEO_P2_EMERGING,0,7,0,45.43,2026-06-23 to 2026-08-18; Web; Page aggregation,NOT_AVAILABLE_QUERY×PAGE,NOT_AVAILABLE_QUERY×PAGE,NOT_VERIFIED,https://echobuddha.com/articles/category/buddhist-wisdom/,NOT_AVAILABLE,true,NOT_VERIFIED,HIGH,2026-08-24T04:01:12.853Z,Investigate sustained change; do not auto-rollback on short-term fluctuation
https://echobuddha.com/articles/category/meditation/,SEO_P2_EMERGING,0,1,0,5,2026-06-23 to 2026-08-18; Web; Page aggregation,NOT_AVAILABLE_QUERY×PAGE,NOT_AVAILABLE_QUERY×PAGE,NOT_VERIFIED,https://echobuddha.com/articles/category/meditation/,NOT_AVAILABLE,true,NOT_VERIFIED,MEDIUM,2026-08-24T04:01:12.853Z,Investigate sustained change; do not auto-rollback on short-term fluctuation
https://echobuddha.com/articles/category/mindfulness/,SEO_P2_EMERGING,0,1,0,10,2026-06-23 to 2026-08-18; Web; Page aggregation,NOT_AVAILABLE_QUERY×PAGE,NOT_AVAILABLE_QUERY×PAGE,NOT_VERIFIED,https://echobuddha.com/articles/category/mindfulness/,NOT_AVAILABLE,true,NOT_VERIFIED,HIGH,2026-08-24T04:01:12.853Z,Investigate sustained change; do not auto-rollback on short-term fluctuation
https://echobuddha.com/articles/category/practice/,SEO_P2_EMERGING,0,6,0,4.5,2026-06-23 to 2026-08-18; Web; Page aggregation,NOT_AVAILABLE_QUERY×PAGE,NOT_AVAILABLE_QUERY×PAGE,NOT_VERIFIED,https://echobuddha.com/articles/category/practice/,NOT_AVAILABLE,true,NOT_VERIFIED,HIGH,2026-08-24T04:01:12.853Z,Investigate sustained change; do not auto-rollback on short-term fluctuation
https://echobuddha.com/articles/category/reflection/,SEO_P2_EMERGING,0,0,0,NOT_AVAILABLE,2026-06-23 to 2026-08-18; Web; Page aggregation,NOT_AVAILABLE_QUERY×PAGE,NOT_AVAILABLE_QUERY×PAGE,NOT_VERIFIED,https://echobuddha.com/articles/category/reflection/,NOT_AVAILABLE,true,NOT_VERIFIED,HIGH,2026-08-24T04:01:12.853Z,Investigate sustained change; do not auto-rollback on short-term fluctuation
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,SEO_P1_HIGH,0,23,0,47.39,2026-06-23 to 2026-08-18; Web; Page aggregation,NOT_AVAILABLE_QUERY×PAGE,NOT_AVAILABLE_QUERY×PAGE,NOT_VERIFIED,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,NOT_AVAILABLE,true,NOT_VERIFIED,MEDIUM,2026-08-24T04:01:12.853Z,Investigate sustained change; do not auto-rollback on short-term fluctuation
https://echobuddha.com/articles/compassion-with-boundaries/,SEO_P2_EMERGING,0,5,0,14.2,2026-06-23 to 2026-08-18; Web; Page aggregation,NOT_AVAILABLE_QUERY×PAGE,NOT_AVAILABLE_QUERY×PAGE,NOT_VERIFIED,https://echobuddha.com/articles/compassion-with-boundaries/,NOT_AVAILABLE,true,NOT_VERIFIED,HIGH,2026-08-24T04:01:12.853Z,Investigate sustained change; do not auto-rollback on short-term fluctuation
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,SEO_P2_EMERGING,0,0,0,NOT_AVAILABLE,2026-06-23 to 2026-08-18; Web; Page aggregation,NOT_AVAILABLE_QUERY×PAGE,NOT_AVAILABLE_QUERY×PAGE,NOT_VERIFIED,https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,NOT_AVAILABLE,true,NOT_VERIFIED,LOW,2026-08-24T04:01:12.853Z,Investigate sustained change; do not auto-rollback on short-term fluctuation
https://echobuddha.com/articles/dhamma-vs-dharma/,SEO_P1_HIGH,1,232,0.0043,12.11,2026-06-23 to 2026-08-18; Web; Page aggregation,NOT_AVAILABLE_QUERY×PAGE,NOT_AVAILABLE_QUERY×PAGE,NOT_VERIFIED,https://echobuddha.com/articles/dhamma-vs-dharma/,NOT_AVAILABLE,true,NOT_VERIFIED,HIGH,2026-08-24T04:01:12.853Z,Investigate sustained change; do not auto-rollback on short-term fluctuation
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,SEO_P2_EMERGING,0,56,0,7.73,2026-06-23 to 2026-08-18; Web; Page aggregation,NOT_AVAILABLE_QUERY×PAGE,NOT_AVAILABLE_QUERY×PAGE,NOT_VERIFIED,https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,NOT_AVAILABLE,true,NOT_VERIFIED,MEDIUM,2026-08-24T04:01:12.853Z,Investigate sustained change; do not auto-rollback on short-term fluctuation
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,SEO_P2_EMERGING,0,56,0,6.59,2026-06-23 to 2026-08-18; Web; Page aggregation,NOT_AVAILABLE_QUERY×PAGE,NOT_AVAILABLE_QUERY×PAGE,NOT_VERIFIED,https://echobuddha.com/articles/dhammapada-verse-1-meaning/,NOT_AVAILABLE,true,NOT_VERIFIED,MEDIUM,2026-08-24T04:01:12.853Z,Investigate sustained change; do not auto-rollback on short-term fluctuation
https://echobuddha.com/articles/eightfold-path-explained/,SEO_P2_EMERGING,0,8,0,69.12,2026-06-23 to 2026-08-18; Web; Page aggregation,NOT_AVAILABLE_QUERY×PAGE,NOT_AVAILABLE_QUERY×PAGE,NOT_VERIFIED,https://echobuddha.com/articles/eightfold-path-explained/,NOT_AVAILABLE,true,NOT_VERIFIED,MEDIUM,2026-08-24T04:01:12.853Z,Investigate sustained change; do not auto-rollback on short-term fluctuation
