articleA,articleB,phase1Scope,beforeEditorialOverlap,afterEditorialOverlap,beforeOverallBodySimilarity,afterOverallBodySimilarity,deltaOverallBodySimilarity,beforeExactDuplicatedSentenceCount,afterExactDuplicatedSentenceCount,beforeNearDuplicatedParagraphCount,afterNearDuplicatedParagraphCount
beginning-a-daily-mindfulness-practice,buddhism-for-beginners-simple-guide,In scope pair,Medium,Low,0.311,0.253,-0.058,8,0,2,0
beginning-a-daily-mindfulness-practice,buddhist-approach-to-anger,In scope pair,Medium,Low,0.24,0.156,-0.084,8,0,2,0
beginning-a-daily-mindfulness-practice,buddhist-teachings-on-forgiveness,In scope pair,Low,Low,0.122,0.116,-0.006,0,0,0,0
beginning-a-daily-mindfulness-practice,buddhist-teachings-on-impermanence,In scope pair,Medium,Low,0.246,0.165,-0.081,8,0,3,0
beginning-a-daily-mindfulness-practice,buddhist-wisdom-for-overthinking,In scope pair,Low,Low,0.18,0.171,-0.009,0,0,0,0
compassion-as-a-daily-discipline,beginning-a-daily-mindfulness-practice,In scope pair,Medium,Low,0.255,0.172,-0.083,8,0,2,0
beginning-a-daily-mindfulness-practice,compassion-in-buddhism-beginner-guide,In scope pair,Low,Low,0.15,0.137,-0.013,0,0,0,0
creating-a-peaceful-corner-at-home,beginning-a-daily-mindfulness-practice,In scope pair,Medium,Low,0.31,0.244,-0.066,8,0,2,0
beginning-a-daily-mindfulness-practice,dhammapada-reflection-trained-mind,In scope pair,Low,Low,0.199,0.184,-0.015,0,0,0,0
beginning-a-daily-mindfulness-practice,dhammapada-reflection-what-we-think,In scope pair,Low,Low,0.155,0.136,-0.019,0,0,0,0
beginning-a-daily-mindfulness-practice,eightfold-path-explained,In scope pair,Low,Low,0.186,0.175,-0.011,0,0,0,0
beginning-a-daily-mindfulness-practice,eightfold-path-explained-daily-life,In scope pair,Medium,Low,0.28,0.211,-0.069,8,0,2,0
beginning-a-daily-mindfulness-practice,four-noble-truths-explained,In scope pair,Low,Low,0.132,0.12,-0.012,0,0,0,0
beginning-a-daily-mindfulness-practice,four-noble-truths-explained-simply,In scope pair,Low,Low,0.14,0.126,-0.014,0,0,0,0
beginning-a-daily-mindfulness-practice,how-to-let-go-of-attachment-in-buddhism,In scope pair,Low,Low,0.137,0.13,-0.007,0,0,0,0
beginning-a-daily-mindfulness-practice,how-to-meditate-for-anxiety,In scope pair,High,Low,0.312,0.244,-0.068,8,0,2,0
beginning-a-daily-mindfulness-practice,how-to-meditate-for-beginners,In scope pair,Low,Low,0.23,0.228,-0.002,0,0,0,0
beginning-a-daily-mindfulness-practice,how-to-practice-non-attachment,In scope pair,Medium,Low,0.258,0.178,-0.08,8,0,2,0
beginning-a-daily-mindfulness-practice,impermanence-in-buddhism,In scope pair,Low,Low,0.157,0.143,-0.014,0,0,0,0
beginning-a-daily-mindfulness-practice,impermanence-in-buddhism-letting-go,In scope pair,Low,Low,0.141,0.128,-0.013,0,0,0,0
letting-go-without-giving-up,beginning-a-daily-mindfulness-practice,In scope pair,Medium,Low,0.259,0.185,-0.074,8,0,2,0
beginning-a-daily-mindfulness-practice,loving-kindness-meditation-beginners,In scope pair,Medium,Low,0.276,0.191,-0.085,8,0,2,0
beginning-a-daily-mindfulness-practice,loving-kindness-meditation-guide,In scope pair,Low,Low,0.159,0.149,-0.01,0,0,0,0
beginning-a-daily-mindfulness-practice,metta-meditation-script,In scope pair,Low,Low,0.178,0.169,-0.009,0,0,0,0
mindful-listening-in-everyday-life,beginning-a-daily-mindfulness-practice,In scope pair,Medium,Low,0.267,0.189,-0.078,8,0,4,0
beginning-a-daily-mindfulness-practice,mindfulness-for-better-sleep,In scope pair,High,Low,0.306,0.228,-0.078,8,0,3,0
beginning-a-daily-mindfulness-practice,mindfulness-morning-routine,In scope pair,High,Medium,0.334,0.265,-0.069,8,0,3,0
beginning-a-daily-mindfulness-practice,mindfulness-of-breathing-guide,In scope pair,Low,Low,0.236,0.234,-0.002,0,0,0,0
beginning-a-daily-mindfulness-practice,mindfulness-vs-meditation,In scope pair,Medium,Medium,0.288,0.28,-0.008,0,0,0,0
beginning-a-daily-mindfulness-practice,noble-eightfold-path-practical-guide,In scope pair,Low,Low,0.167,0.15,-0.017,0,0,0,0
beginning-a-daily-mindfulness-practice,right-speech-buddhism,In scope pair,Low,Low,0.144,0.126,-0.018,0,0,0,0
three-ways-to-practice-patience,beginning-a-daily-mindfulness-practice,In scope pair,Medium,Low,0.28,0.205,-0.075,8,0,2,0
beginning-a-daily-mindfulness-practice,walking-meditation-step-by-step,In scope pair,High,Low,0.295,0.219,-0.076,8,0,2,0
beginning-a-daily-mindfulness-practice,what-is-buddhism-beginner-guide,In scope pair,Low,Low,0.211,0.188,-0.023,0,0,0,0
beginning-a-daily-mindfulness-practice,what-is-karma-in-buddhism,In scope pair,Low,Low,0.147,0.127,-0.02,0,0,0,0
buddhist-approach-to-anger,buddhism-for-beginners-simple-guide,In scope pair,Medium,Low,0.241,0.165,-0.076,8,0,2,0
buddhism-for-beginners-simple-guide,buddhist-teachings-on-forgiveness,In scope pair,Low,Low,0.161,0.153,-0.008,0,0,0,0
buddhist-teachings-on-impermanence,buddhism-for-beginners-simple-guide,In scope pair,Medium,Low,0.268,0.197,-0.071,8,0,2,0
buddhism-for-beginners-simple-guide,buddhist-wisdom-for-overthinking,In scope pair,Low,Low,0.174,0.163,-0.011,0,0,0,0
compassion-as-a-daily-discipline,buddhism-for-beginners-simple-guide,In scope pair,Medium,Low,0.28,0.22,-0.06,8,0,2,0
buddhism-for-beginners-simple-guide,compassion-in-buddhism-beginner-guide,In scope pair,Low,Low,0.18,0.173,-0.007,0,0,0,0
creating-a-peaceful-corner-at-home,buddhism-for-beginners-simple-guide,In scope pair,Medium,Low,0.261,0.185,-0.076,8,0,2,0
buddhism-for-beginners-simple-guide,dhammapada-reflection-trained-mind,In scope pair,Low,Low,0.189,0.182,-0.007,0,0,0,0
buddhism-for-beginners-simple-guide,dhammapada-reflection-what-we-think,In scope pair,Low,Low,0.196,0.186,-0.01,0,0,0,0
buddhism-for-beginners-simple-guide,eightfold-path-explained,In scope pair,Low,Low,0.235,0.234,-0.001,0,0,0,0
eightfold-path-explained-daily-life,buddhism-for-beginners-simple-guide,In scope pair,Medium,Low,0.318,0.265,-0.053,8,0,2,0
buddhism-for-beginners-simple-guide,four-noble-truths-explained,In scope pair,Low,Low,0.216,0.212,-0.004,0,0,0,0
buddhism-for-beginners-simple-guide,four-noble-truths-explained-simply,In scope pair,Low,Low,0.217,0.209,-0.008,0,0,0,0
buddhism-for-beginners-simple-guide,how-to-let-go-of-attachment-in-buddhism,In scope pair,Low,Low,0.175,0.17,-0.005,0,0,0,0
how-to-meditate-for-anxiety,buddhism-for-beginners-simple-guide,In scope pair,Medium,Low,0.282,0.206,-0.076,8,0,2,0
buddhism-for-beginners-simple-guide,how-to-meditate-for-beginners,In scope pair,Low,Low,0.173,0.179,0.006,0,0,0,0
how-to-practice-non-attachment,buddhism-for-beginners-simple-guide,In scope pair,Medium,Low,0.267,0.202,-0.065,8,0,2,0
buddhism-for-beginners-simple-guide,impermanence-in-buddhism,In scope pair,Low,Low,0.18,0.169,-0.011,0,0,0,0
buddhism-for-beginners-simple-guide,impermanence-in-buddhism-letting-go,In scope pair,Low,Low,0.147,0.135,-0.012,0,0,0,0
letting-go-without-giving-up,buddhism-for-beginners-simple-guide,In scope pair,Medium,Low,0.26,0.189,-0.071,8,0,2,0
loving-kindness-meditation-beginners,buddhism-for-beginners-simple-guide,In scope pair,Medium,Low,0.262,0.181,-0.081,8,0,2,0
buddhism-for-beginners-simple-guide,loving-kindness-meditation-guide,In scope pair,Low,Low,0.159,0.151,-0.008,0,0,0,0
buddhism-for-beginners-simple-guide,metta-meditation-script,In scope pair,Low,Low,0.173,0.167,-0.006,0,0,0,0
mindful-listening-in-everyday-life,buddhism-for-beginners-simple-guide,In scope pair,Medium,Low,0.265,0.205,-0.06,8,0,2,0
mindfulness-for-better-sleep,buddhism-for-beginners-simple-guide,In scope pair,Medium,Low,0.248,0.164,-0.084,8,0,2,0
mindfulness-morning-routine,buddhism-for-beginners-simple-guide,In scope pair,Medium,Low,0.277,0.219,-0.058,8,0,3,0
buddhism-for-beginners-simple-guide,mindfulness-of-breathing-guide,In scope pair,Low,Low,0.16,0.156,-0.004,0,0,0,0
buddhism-for-beginners-simple-guide,mindfulness-vs-meditation,In scope pair,Low,Low,0.244,0.233,-0.011,0,0,0,0
buddhism-for-beginners-simple-guide,noble-eightfold-path-practical-guide,In scope pair,Low,Low,0.21,0.206,-0.004,0,0,0,0
buddhism-for-beginners-simple-guide,right-speech-buddhism,In scope pair,Low,Low,0.19,0.181,-0.009,0,0,0,0
three-ways-to-practice-patience,buddhism-for-beginners-simple-guide,In scope pair,Medium,Low,0.269,0.213,-0.056,8,0,2,0
walking-meditation-step-by-step,buddhism-for-beginners-simple-guide,In scope pair,Medium,Low,0.283,0.211,-0.072,8,0,2,0
buddhism-for-beginners-simple-guide,what-is-buddhism-beginner-guide,In scope pair,Medium,Medium,0.332,0.317,-0.015,0,0,0,0
buddhism-for-beginners-simple-guide,what-is-karma-in-buddhism,In scope pair,Low,Low,0.206,0.197,-0.009,0,0,0,0
buddhist-approach-to-anger,buddhist-teachings-on-forgiveness,In scope pair,Low,Low,0.195,0.196,0.001,0,0,0,0
buddhist-approach-to-anger,buddhist-teachings-on-impermanence,In scope pair,Medium,Low,0.211,0.127,-0.084,8,0,2,0
buddhist-approach-to-anger,buddhist-wisdom-for-overthinking,In scope pair,Low,Low,0.164,0.152,-0.012,0,0,0,0
compassion-as-a-daily-discipline,buddhist-approach-to-anger,In scope pair,Medium,Low,0.249,0.174,-0.075,8,0,2,0
buddhist-approach-to-anger,compassion-in-buddhism-beginner-guide,In scope pair,Low,Low,0.154,0.139,-0.015,0,0,0,0
creating-a-peaceful-corner-at-home,buddhist-approach-to-anger,In scope pair,Medium,Low,0.215,0.139,-0.076,8,0,2,0
buddhist-approach-to-anger,dhammapada-reflection-trained-mind,In scope pair,Low,Low,0.169,0.156,-0.013,0,0,0,0
buddhist-approach-to-anger,dhammapada-reflection-what-we-think,In scope pair,Low,Low,0.132,0.118,-0.014,0,0,0,0
buddhist-approach-to-anger,eightfold-path-explained,In scope pair,Low,Low,0.14,0.126,-0.014,0,0,0,0
buddhist-approach-to-anger,eightfold-path-explained-daily-life,In scope pair,Medium,Low,0.228,0.145,-0.083,8,0,2,0
buddhist-approach-to-anger,four-noble-truths-explained,In scope pair,Low,Low,0.136,0.128,-0.008,0,0,0,0
buddhist-approach-to-anger,four-noble-truths-explained-simply,In scope pair,Low,Low,0.113,0.098,-0.015,0,0,0,0
buddhist-approach-to-anger,how-to-let-go-of-attachment-in-buddhism,In scope pair,Low,Low,0.119,0.109,-0.01,0,0,0,0
buddhist-approach-to-anger,how-to-meditate-for-anxiety,In scope pair,Medium,Low,0.236,0.162,-0.074,8,0,2,0
buddhist-approach-to-anger,how-to-meditate-for-beginners,In scope pair,Low,Low,0.122,0.115,-0.007,0,0,0,0
how-to-practice-non-attachment,buddhist-approach-to-anger,In scope pair,Medium,Low,0.232,0.155,-0.077,8,0,2,0
buddhist-approach-to-anger,impermanence-in-buddhism,In scope pair,Low,Low,0.123,0.103,-0.02,0,0,0,0
buddhist-approach-to-anger,impermanence-in-buddhism-letting-go,In scope pair,Low,Low,0.099,0.084,-0.015,0,0,0,0
letting-go-without-giving-up,buddhist-approach-to-anger,In scope pair,Medium,Low,0.227,0.145,-0.082,8,0,2,0
buddhist-approach-to-anger,loving-kindness-meditation-beginners,In scope pair,Medium,Low,0.219,0.134,-0.085,8,0,2,0
buddhist-approach-to-anger,loving-kindness-meditation-guide,In scope pair,Low,Low,0.139,0.128,-0.011,0,0,0,0
buddhist-approach-to-anger,metta-meditation-script,In scope pair,Low,Low,0.122,0.113,-0.009,0,0,0,0
mindful-listening-in-everyday-life,buddhist-approach-to-anger,In scope pair,High,Low,0.252,0.169,-0.083,8,0,2,0
mindfulness-for-better-sleep,buddhist-approach-to-anger,In scope pair,Medium,Low,0.232,0.146,-0.086,8,0,2,0
buddhist-approach-to-anger,mindfulness-morning-routine,In scope pair,Medium,Low,0.231,0.153,-0.078,8,0,3,0
buddhist-approach-to-anger,mindfulness-of-breathing-guide,In scope pair,Low,Low,0.133,0.129,-0.004,0,0,0,0
buddhist-approach-to-anger,mindfulness-vs-meditation,In scope pair,Low,Low,0.16,0.142,-0.018,0,0,0,0
buddhist-approach-to-anger,noble-eightfold-path-practical-guide,In scope pair,Low,Low,0.128,0.11,-0.018,0,0,0,0
buddhist-approach-to-anger,right-speech-buddhism,In scope pair,Low,Low,0.187,0.178,-0.009,0,0,0,0
three-ways-to-practice-patience,buddhist-approach-to-anger,In scope pair,High,Low,0.301,0.235,-0.066,8,0,3,0
buddhist-approach-to-anger,walking-meditation-step-by-step,In scope pair,Medium,Low,0.226,0.141,-0.085,8,0,2,0
buddhist-approach-to-anger,what-is-buddhism-beginner-guide,In scope pair,Low,Low,0.163,0.141,-0.022,0,0,0,0
buddhist-approach-to-anger,what-is-karma-in-buddhism,In scope pair,Low,Low,0.153,0.135,-0.018,0,0,0,0
buddhist-teachings-on-impermanence,buddhist-teachings-on-forgiveness,In scope pair,Low,Low,0.124,0.122,-0.002,0,0,0,0
buddhist-teachings-on-forgiveness,buddhist-wisdom-for-overthinking,Context pair,Low,Low,0.151,0.151,0,0,0,0,0
compassion-as-a-daily-discipline,buddhist-teachings-on-forgiveness,In scope pair,Low,Low,0.18,0.189,0.009,0,0,0,0
buddhist-teachings-on-forgiveness,compassion-in-buddhism-beginner-guide,Context pair,Low,Low,0.196,0.196,0,0,0,0,0
creating-a-peaceful-corner-at-home,buddhist-teachings-on-forgiveness,In scope pair,Low,Low,0.1,0.096,-0.004,0,0,0,0
