"Control","Location/evidence","Finding","Result","Evidence taxonomy","Action"
"Publisher identity","/about/","Purpose, ownership, and scope are explicit","PASS","REPOSITORY_FACT; BUILD_FACT; LIVE_PRODUCTION_FACT","Protect"
"Editorial author","/authors/echo-buddha-editorial/","Named editorial entity and responsibility","PASS","REPOSITORY_FACT; BUILD_FACT; LIVE_PRODUCTION_FACT","Protect"
"Editorial policy","/editorial-policy/","Review, accuracy, sourcing, and update standards","PASS","REPOSITORY_FACT; BUILD_FACT; LIVE_PRODUCTION_FACT","Protect"
"Content process","/how-echo-buddha-creates-content/","Creation and review workflow disclosed","PASS","REPOSITORY_FACT; BUILD_FACT; LIVE_PRODUCTION_FACT","Protect"
"Corrections","/corrections/","Public correction path and policy","PASS","REPOSITORY_FACT; BUILD_FACT; LIVE_PRODUCTION_FACT","Protect"
"Contact","/contact/","Publisher contact route present","PASS","REPOSITORY_FACT; BUILD_FACT; LIVE_PRODUCTION_FACT","Protect"
"Sources","/buddhist-sources-and-citations/","Source hierarchy and citation boundaries","PASS","REPOSITORY_FACT; BUILD_FACT; LIVE_PRODUCTION_FACT","Protect"
"Quote attribution","/quote-attribution-policy/","Original lines distinguished from canonical quotations","PASS","REPOSITORY_FACT; BUILD_FACT; LIVE_PRODUCTION_FACT","Protect"
"Meditation safety","/meditation-safety/","Wellbeing limits and escalation boundaries","PASS","REPOSITORY_FACT; BUILD_FACT; LIVE_PRODUCTION_FACT","Protect"
"Disclaimer","/disclaimer/","Education/wellbeing scope boundaries","PASS","REPOSITORY_FACT; BUILD_FACT; LIVE_PRODUCTION_FACT","Protect"
"Tradition context","Site-wide editorial controls","Pali/Sanskrit and tradition-sensitive distinctions","PASS","REPOSITORY_FACT; BUILD_FACT; LIVE_PRODUCTION_FACT","Protect"
"Owner biography detail","Owner-provided identity evidence","No unsupported personal credential claim is made","PASS WITH DISCLOSURE LIMITATION","REPOSITORY_FACT; BUILD_FACT; LIVE_PRODUCTION_FACT","Protect"
