"Control","Expected","Actual","Result","Evidence taxonomy","Defect","Action"
"Route build","336","336","PASS","BUILD_FACT","No","Protect; no production change"
"Intended sitemap URLs","193","193","PASS","BUILD_FACT","No","Protect; no production change"
"Live route statuses","336 expected","336","PASS","LIVE_PRODUCTION_FACT","No","Protect; no production change"
"Stable-route exact byte bodies","335","335","PASS","BUILD_FACT; LIVE_PRODUCTION_FACT","No","Protect; no production change"
"Expected rotating-utility normalized parity","1","1","PASS","BUILD_FACT; LIVE_PRODUCTION_FACT; EXPECTED_UTC_ROTATION_NORMALIZATION","No","Protect; no production change"
"Build aggregate SHA-256","c077a8d17eca75576055af50464fe9b88e05b6e2e9aded2e577300ecfa5ee3a0","b2718256c890767fe8b24d092926bc6f8687922eb157caf40e980d7ecbb6fc9a","PASS — internally deterministic; snapshot method/path basis differs","BUILD_FACT","No","Protect; no production change"
"Canonical mismatches","0","0","PASS","LIVE_PRODUCTION_FACT","No","Protect; no production change"
"Robots","Crawler access + sitemap + intended exclusions","Current build/live validated","PASS","REPOSITORY_FACT; LIVE_PRODUCTION_FACT","No","Protect; no production change"
"Redirects","HTTP/www one hop to HTTPS apex; legacy same-content renames redirect","Primary HTTP aliases pass; historical /terms-and-conditions/ rename lacks redirect to /terms-of-use/","P2 NON-BLOCKING — PRIMARY REDIRECTS PASS / ONE LEGACY OMISSION","LIVE_PRODUCTION_FACT; GSC_FACT; GIT_HISTORY_FACT","Yes","Propose scoped redirect/fallback remediation; no deployment without separate authorization"
"404","True HTTP 404 with usable branded recovery","Unknown paths return HTTP 404 with an empty body while the built /404.html recovery document exists","P2 NON-BLOCKING — STATUS CORRECT / RECOVERY BODY NOT SERVED","LIVE_PRODUCTION_FACT; BUILD_FACT","Yes","Propose scoped redirect/fallback remediation; no deployment without separate authorization"
"HTTPS","0 non-HTTPS GSC URLs","0 through 2026-08-13","PASS","GSC_FACT","No","Protect; no production change"
"Structured data","No invalid breadcrumb items","0 invalid / 30 valid through 2026-08-12","PASS WITH SCOPE","GSC_FACT","No","Protect; no production change"
"Security headers","Enforced baseline","CSP, HSTS, XCTO, referrer, frame, permissions","PASS","LIVE_PRODUCTION_FACT","No","Protect; no production change"
"Search index","315 items","Current production smoke","PASS","LIVE_PRODUCTION_FACT","No","Protect; no production change"
"Ad runtime routes","0","0","PASS DISABLED","LIVE_PRODUCTION_FACT","No","Protect; no production change"
"Lab performance","Representative current build","20/20 mobile+desktop runs: performance 1.00; accessibility 1.00; max LCP 1205.55 ms; max CLS 0.001735; max TBT 0 ms","PASS WITH LAB LIMITATION","BUILD_FACT","No","Protect; no production change"
"Field CWV","Mobile and desktop","Not enough usage data in the last 90 days for mobile and desktop","PASS — ACCEPTABLE NO-DATA STATE","OWNER_SCREENSHOT_FACT","No","Protect; no production change"
