"Page family","Route count","Indexable count","Noindex/utility count","Distinct protected owners","Distinct value statements","Live status passes","Original/substantial value","Differentiation","Template risk","Readiness","Evidence boundary"
"Article category","5","5","0","2","2","5/5","PASS","PASS","LOW / CONTROLLED","PASS","Repository/build/live facts plus prior editorial audits; not an account approval claim"
"Articles","51","51","0","27","51","51/51","PASS","PASS","LOW / CONTROLLED","PASS","Repository/build/live facts plus prior editorial audits; not an account approval claim"
"Daily Reflections","32","1","31","1","3","32/32","PASS","PASS","LOW / CONTROLLED","PASS","Repository/build/live facts plus prior editorial audits; not an account approval claim"
"Dhammapada","5","5","0","1","5","5/5","PASS","PASS","LOW / CONTROLLED","PASS","Repository/build/live facts plus prior editorial audits; not an account approval claim"
"Dictionary","14","14","0","10","14","14/14","PASS","PASS","LOW / CONTROLLED","PASS","Repository/build/live facts plus prior editorial audits; not an account approval claim"
"Homepage","1","1","0","1","1","1/1","PASS","PASS","LOW / CONTROLLED","PASS","Repository/build/live facts plus prior editorial audits; not an account approval claim"
"Learn","19","19","0","11","19","19/19","PASS","PASS","LOW / CONTROLLED","PASS","Repository/build/live facts plus prior editorial audits; not an account approval claim"
"Learn hubs","10","10","0","8","8","10/10","PASS","PASS","LOW / CONTROLLED","PASS","Repository/build/live facts plus prior editorial audits; not an account approval claim"
"Meditation","12","12","0","6","12","12/12","PASS","PASS","LOW / CONTROLLED","PASS","Repository/build/live facts plus prior editorial audits; not an account approval claim"
"Quote categories","10","10","0","1","1","10/10","PASS","PASS","LOW / CONTROLLED","PASS","Repository/build/live facts plus prior editorial audits; not an account approval claim"
"Quote stories","154","44","110","1","3","154/154","PASS","PASS","LOW / CONTROLLED","PASS","Repository/build/live facts plus prior editorial audits; not an account approval claim"
"Sutta study","7","7","0","7","7","7/7","PASS","PASS","LOW / CONTROLLED","PASS","Repository/build/live facts plus prior editorial audits; not an account approval claim"
"Trust / policy","11","11","0","1","11","11/11","PASS","PASS","LOW / CONTROLLED","PASS","Repository/build/live facts plus prior editorial audits; not an account approval claim"
"Utility / other","5","3","2","3","4","5/5","PASS","PASS","LOW / CONTROLLED","PASS","Repository/build/live facts plus prior editorial audits; not an account approval claim"
