"URL","Family","Role","Owner","Index state","Protected information gain","Source/trust state","Template/mass-produced risk","Current readiness","Evidence","Decision"
"https://echobuddha.com/about/","Trust / policy","TRUST_POLICY","https://echobuddha.com/about/","indexable","Publisher transparency or user-protection information specific to “About Echo Buddha”.","Medium; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/","Articles","PRACTICAL_APPLICATION","https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/","indexable","Daily-life examples or a repeatable application tied specifically to “Daily Mindfulness Practice for Beginners”.","Medium; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/","Articles","BEGINNER_FOUNDATION","https://echobuddha.com/learn/buddhism-for-beginners/","indexable","A narrower explanation, misconception, or example set specific to “Buddhism for Beginners: A Simple Guide”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/buddhist-approach-to-anger/","Articles","PRIMARY_PILLAR","https://echobuddha.com/articles/buddhist-approach-to-anger/","indexable","A narrower explanation, misconception, or example set specific to “A Buddhist Approach to Anger”.","VERIFIED_AUTHORITATIVE_LINKS_AND_BOUNDARIES; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/buddhist-gratitude-practice/","Articles","PRACTICAL_APPLICATION","https://echobuddha.com/articles/buddhist-gratitude-practice/","indexable","Daily-life examples or a repeatable application tied specifically to “Buddhist Gratitude Practice Without Forced Positivity”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/","Articles","PRIMARY_PILLAR","https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/","indexable","A narrower explanation, misconception, or example set specific to “Buddhist Teachings on Forgiveness and Letting Go”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/buddhist-teachings-on-impermanence/","Articles","SUPPORTING_EXPLANATION","https://echobuddha.com/learn/buddhism-101/what-is-impermanence/","indexable","A narrower explanation, misconception, or example set specific to “Buddhist Teachings on Impermanence”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/","Articles","SCENARIO_GUIDE","https://echobuddha.com/articles/how-to-meditate-for-anxiety/","indexable","Worked guidance for the specific situation named by “Buddhist Wisdom for Overthinking and a Busy Mind”.","Medium; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/category/buddhist-wisdom/","Article category","CATEGORY","https://echobuddha.com/articles/","indexable","Orientation, selection, and meaningful navigation across the Article Discovery cluster.","Medium; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/category/meditation/","Article category","CATEGORY","https://echobuddha.com/articles/","indexable","Orientation, selection, and meaningful navigation across the Article Discovery cluster.","Medium; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/category/mindfulness/","Article category","CATEGORY","https://echobuddha.com/articles/","indexable","Orientation, selection, and meaningful navigation across the Article Discovery cluster.","Medium; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/category/practice/","Article category","CATEGORY","https://echobuddha.com/articles/category/practice/","indexable","Orientation, selection, and meaningful navigation across the Buddhist Practice cluster.","Medium; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/category/reflection/","Article category","CATEGORY","https://echobuddha.com/articles/","indexable","Orientation, selection, and meaningful navigation across the Article Discovery cluster.","Medium; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/compassion-as-a-daily-discipline/","Articles","PRACTICAL_APPLICATION","https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/","indexable","Daily-life examples or a repeatable application tied specifically to “Compassion as a Daily Buddhist Practice”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/","Articles","PRIMARY_PILLAR","https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/","indexable","A narrower explanation, misconception, or example set specific to “Compassion in Buddhism: Beginner Guide and Daily Practice”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/compassion-with-boundaries/","Articles","SCENARIO_GUIDE","https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/","indexable","Worked guidance for the specific situation named by “Compassion With Boundaries in Buddhist Practice”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/","Articles","SCENARIO_GUIDE","https://echobuddha.com/meditation/","indexable","Worked guidance for the specific situation named by “Create a Peaceful Meditation Corner”.","Medium; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/dhamma-vs-dharma/","Articles","COMPARISON_PAGE","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","indexable","Direct distinction between concepts that readers commonly confuse in “Dhamma vs Dharma: Buddhist Meaning and Spelling”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/dhammapada-reflection-trained-mind/","Articles","SOURCE_STUDY","https://echobuddha.com/learn/dhammapada-reflections/","indexable","Source-specific study, attribution, translation context, or textual interpretation for “Dhammapada Reflection on a Trained Mind and Peace”.","High; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/dhammapada-reflection-what-we-think/","Articles","SOURCE_STUDY","https://echobuddha.com/learn/dhammapada-reflections/","indexable","Source-specific study, attribution, translation context, or textual interpretation for “Dhammapada What We Think: Translation, Paraphrase, Reflection”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/dhammapada-verse-1-meaning/","Articles","SOURCE_STUDY","https://echobuddha.com/learn/dhammapada-reflections/","indexable","Source-specific study, attribution, translation context, or textual interpretation for “Dhammapada Verse 1 Meaning and Translation Caution”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/eightfold-path-explained-daily-life/","Articles","PRACTICAL_APPLICATION","https://echobuddha.com/learn/eightfold-path/","indexable","Daily-life examples or a repeatable application tied specifically to “Eightfold Path in Daily Life”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/eightfold-path-explained/","Articles","BEGINNER_FOUNDATION","https://echobuddha.com/learn/eightfold-path/","indexable","A narrower explanation, misconception, or example set specific to “The Noble Eightfold Path Explained for Beginners”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/equanimity-in-buddhism/","Articles","PRIMARY_PILLAR","https://echobuddha.com/articles/equanimity-in-buddhism/","indexable","A narrower explanation, misconception, or example set specific to “Equanimity in Buddhism: Balanced Care Without Numbness”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/first-week-buddhist-practice/","Articles","PRACTICAL_APPLICATION","https://echobuddha.com/learn/buddhism-for-beginners/","indexable","Daily-life examples or a repeatable application tied specifically to “First Week Buddhist Practice for Beginners”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/five-precepts-in-daily-life/","Articles","PRACTICAL_APPLICATION","https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/","indexable","Daily-life examples or a repeatable application tied specifically to “Five Precepts in Daily Life: Buddhist Ethics for Beginners”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/four-noble-truths-explained-simply/","Articles","BEGINNER_FOUNDATION","https://echobuddha.com/learn/four-noble-truths/","indexable","A narrower explanation, misconception, or example set specific to “Four Noble Truths Explained Simply for Beginners”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/four-noble-truths-explained/","Articles","SUPPORTING_EXPLANATION","https://echobuddha.com/learn/four-noble-truths/","indexable","A narrower explanation, misconception, or example set specific to “The Four Noble Truths Explained Simply”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/","Articles","PRIMARY_PILLAR","https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/","indexable","A narrower explanation, misconception, or example set specific to “How to Let Go of Attachment in Buddhism”.","Medium; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/how-to-meditate-for-anxiety/","Articles","SCENARIO_GUIDE","https://echobuddha.com/articles/how-to-meditate-for-anxiety/","indexable","Worked guidance for the specific situation named by “How to Meditate for Anxiety Gently”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/how-to-meditate-for-beginners/","Articles","PRACTICE_GUIDE","https://echobuddha.com/meditation/","indexable","Concrete method, pacing, posture, duration, or troubleshooting specific to “How to Meditate for Beginners: Simple Buddhist Guide”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/how-to-practice-non-attachment/","Articles","PRACTICAL_APPLICATION","https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/","indexable","Daily-life examples or a repeatable application tied specifically to “How to Practice Non-Attachment”.","Medium; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/","Articles","PRACTICAL_APPLICATION","https://echobuddha.com/learn/buddhism-101/what-is-impermanence/","indexable","Daily-life examples or a repeatable application tied specifically to “Impermanence in Buddhism and How to Let Go Gently”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/impermanence-in-buddhism/","Articles","SUPPORTING_EXPLANATION","https://echobuddha.com/learn/buddhism-101/what-is-impermanence/","indexable","A narrower explanation, misconception, or example set specific to “Impermanence in Buddhism: Accepting Change Peacefully”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/","Articles","HUB","https://echobuddha.com/articles/","indexable","Orientation, selection, and meaningful navigation across the Article Discovery cluster.","Medium; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/letting-go-without-giving-up/","Articles","PRACTICAL_APPLICATION","https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/","indexable","Daily-life examples or a repeatable application tied specifically to “Letting Go Without Giving Up”.","Medium; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/loving-kindness-meditation-beginners/","Articles","BEGINNER_FOUNDATION","https://echobuddha.com/learn/buddhist-dictionary/metta/","indexable","A narrower explanation, misconception, or example set specific to “Loving-Kindness Meditation for Beginners”.","VERIFIED_AUTHORITATIVE_LINKS_AND_BOUNDARIES; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/loving-kindness-meditation-guide/","Articles","BEGINNER_FOUNDATION","https://echobuddha.com/learn/buddhist-dictionary/metta/","indexable","A narrower explanation, misconception, or example set specific to “Loving-Kindness Meditation Guide for Beginners”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/metta-meditation-script/","Articles","PRACTICE_GUIDE","https://echobuddha.com/learn/buddhist-dictionary/metta/","indexable","Concrete method, pacing, posture, duration, or troubleshooting specific to “Metta Meditation Script for Loving-Kindness Practice”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/mindful-email-and-texting/","Articles","SCENARIO_GUIDE","https://echobuddha.com/articles/right-speech-buddhism/","indexable","Worked guidance for the specific situation named by “Mindful Email and Texting with Buddhist Right Speech”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/mindful-listening-in-everyday-life/","Articles","SCENARIO_GUIDE","https://echobuddha.com/articles/right-speech-buddhism/","indexable","Worked guidance for the specific situation named by “Mindful Listening in Everyday Life”.","Medium; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/mindfulness-for-better-sleep/","Articles","SCENARIO_GUIDE","https://echobuddha.com/articles/mindfulness-for-better-sleep/","indexable","Worked guidance for the specific situation named by “Mindfulness for Better Sleep”.","Low; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
"https://echobuddha.com/articles/mindfulness-morning-routine/","Articles","PRACTICAL_APPLICATION","https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/","indexable","Daily-life examples or a repeatable application tied specifically to “Mindful Morning Routine for Beginners”.","Medium; NO_CRITICAL_ISSUE","LOW / CONTROLLED","PASS","REPOSITORY_FACT; BUILD_FACT; prior Phase 4–6 audits","Protect; no rewrite or consolidation"
