"URL","Path","Page family","Protected role","Protected owner","Protected index state","Built","Expected live status","Current live status","Status match","Expected canonical","Live canonical","Canonical match","Live build parity","AdSense runtime count","Manual slot count","GSC signal","Readiness","Evidence","Action"
"https://echobuddha.com/404.html","/404.html","Utility / other","PREEXISTING_NOINDEX_OR_ERROR_ROLE","N/A","noindex, follow","Yes","200","200","PASS","","","PASS","PASS — EXACT","0","0","No latest Page row","PASS","BUILD_FACT; LIVE_PRODUCTION_FACT; GSC_FACT","Protect; no change"
"https://echobuddha.com/about/","/about/","Trust / policy","TRUST_POLICY","https://echobuddha.com/about/","indexable","Yes","200","200","PASS","https://echobuddha.com/about/","https://echobuddha.com/about/","PASS","PASS — EXACT","0","0","0 clicks; 11 impressions; position 10.64; EARLY DISCOVERY","PASS","BUILD_FACT; LIVE_PRODUCTION_FACT; GSC_FACT","Protect; no change"
"https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/","/articles/beginning-a-daily-mindfulness-practice/","Articles","PRACTICAL_APPLICATION","https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/","indexable","Yes","200","200","PASS","https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/","https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/","PASS","PASS — EXACT","0","0","No latest Page row","PASS","BUILD_FACT; LIVE_PRODUCTION_FACT; GSC_FACT","Protect; no change"
"https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/","/articles/buddhism-for-beginners-simple-guide/","Articles","BEGINNER_FOUNDATION","https://echobuddha.com/learn/buddhism-for-beginners/","indexable","Yes","200","200","PASS","https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/","https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/","PASS","PASS — EXACT","0","0","No latest Page row","PASS","BUILD_FACT; LIVE_PRODUCTION_FACT; GSC_FACT","Protect; no change"
"https://echobuddha.com/articles/buddhist-approach-to-anger/","/articles/buddhist-approach-to-anger/","Articles","PRIMARY_PILLAR","https://echobuddha.com/articles/buddhist-approach-to-anger/","indexable","Yes","200","200","PASS","https://echobuddha.com/articles/buddhist-approach-to-anger/","https://echobuddha.com/articles/buddhist-approach-to-anger/","PASS","PASS — EXACT","0","0","No latest Page row","PASS","BUILD_FACT; LIVE_PRODUCTION_FACT; GSC_FACT","Protect; no change"
"https://echobuddha.com/articles/buddhist-gratitude-practice/","/articles/buddhist-gratitude-practice/","Articles","PRACTICAL_APPLICATION","https://echobuddha.com/articles/buddhist-gratitude-practice/","indexable","Yes","200","200","PASS","https://echobuddha.com/articles/buddhist-gratitude-practice/","https://echobuddha.com/articles/buddhist-gratitude-practice/","PASS","PASS — EXACT","0","0","No latest Page row","PASS","BUILD_FACT; LIVE_PRODUCTION_FACT; GSC_FACT","Protect; no change"
"https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/","/articles/buddhist-teachings-on-forgiveness/","Articles","PRIMARY_PILLAR","https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/","indexable","Yes","200","200","PASS","https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/","https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/","PASS","PASS — EXACT","0","0","0 clicks; 1 impressions; position 45; EARLY DISCOVERY","PASS","BUILD_FACT; LIVE_PRODUCTION_FACT; GSC_FACT","Protect; no change"
"https://echobuddha.com/articles/buddhist-teachings-on-impermanence/","/articles/buddhist-teachings-on-impermanence/","Articles","SUPPORTING_EXPLANATION","https://echobuddha.com/learn/buddhism-101/what-is-impermanence/","indexable","Yes","200","200","PASS","https://echobuddha.com/articles/buddhist-teachings-on-impermanence/","https://echobuddha.com/articles/buddhist-teachings-on-impermanence/","PASS","PASS — EXACT","0","0","No latest Page row","PASS","BUILD_FACT; LIVE_PRODUCTION_FACT; GSC_FACT","Protect; no change"
"https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/","/articles/buddhist-wisdom-for-overthinking/","Articles","SCENARIO_GUIDE","https://echobuddha.com/articles/how-to-meditate-for-anxiety/","indexable","Yes","200","200","PASS","https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/","https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/","PASS","PASS — EXACT","0","0","0 clicks; 1 impressions; position 10; EARLY DISCOVERY","PASS","BUILD_FACT; LIVE_PRODUCTION_FACT; GSC_FACT","Protect; no change"
"https://echobuddha.com/articles/category/buddhist-wisdom/","/articles/category/buddhist-wisdom/","Article category","CATEGORY","https://echobuddha.com/articles/","indexable","Yes","200","200","PASS","https://echobuddha.com/articles/category/buddhist-wisdom/","https://echobuddha.com/articles/category/buddhist-wisdom/","PASS","PASS — EXACT","0","0","0 clicks; 5 impressions; position 39; EARLY DISCOVERY","PASS","BUILD_FACT; LIVE_PRODUCTION_FACT; GSC_FACT","Protect; no change"
