URL,old_state,new_state,change,reason
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,DO_NOT_CHANGE_YET,READY_FOR_SURGICAL_IN_PLACE_IMPROVEMENT,RECLASSIFIED_AFTER_REQUIRED_EVIDENCE_OBTAINED,Query status VISIBLE_PRIMARY_OWNER:1; GOOGLE_USER_CANONICAL_AGREE; Submitted and indexed; backlink evidence checked; Phase 4 approval still required.
https://echobuddha.com/articles/dhamma-vs-dharma/,DO_NOT_CHANGE_YET,READY_FOR_SURGICAL_IN_PLACE_IMPROVEMENT,RECLASSIFIED_AFTER_REQUIRED_EVIDENCE_OBTAINED,Query status VISIBLE_PRIMARY_OWNER:20; GOOGLE_USER_CANONICAL_AGREE; Submitted and indexed; backlink evidence checked; Phase 4 approval still required.
https://echobuddha.com/articles/five-precepts-in-daily-life/,DO_NOT_CHANGE_YET,READY_FOR_NON_DESTRUCTIVE_EVALUATION,RECLASSIFIED_AFTER_REQUIRED_EVIDENCE_OBTAINED,Query status VISIBLE_PRIMARY_OWNER:37; GOOGLE_USER_CANONICAL_AGREE; Submitted and indexed; backlink evidence checked; Phase 4 approval still required.
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,DO_NOT_CHANGE_YET,READY_FOR_SURGICAL_IN_PLACE_IMPROVEMENT,RECLASSIFIED_AFTER_REQUIRED_EVIDENCE_OBTAINED,Query status VISIBLE_PRIMARY_OWNER:1; GOOGLE_USER_CANONICAL_AGREE; Submitted and indexed; backlink evidence checked; Phase 4 approval still required.
https://echobuddha.com/learn/buddhist-dictionary/sati/,DO_NOT_CHANGE_YET,READY_FOR_NON_DESTRUCTIVE_EVALUATION,RECLASSIFIED_AFTER_REQUIRED_EVIDENCE_OBTAINED,Query status NO_VISIBLE_QUERY_DATA; GOOGLE_USER_CANONICAL_AGREE; Submitted and indexed; backlink evidence checked; Phase 4 approval still required.
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,DO_NOT_CHANGE_YET,READY_FOR_NON_DESTRUCTIVE_EVALUATION,RECLASSIFIED_AFTER_REQUIRED_EVIDENCE_OBTAINED,Query status NO_VISIBLE_QUERY_DATA; GOOGLE_USER_CANONICAL_AGREE; Submitted and indexed; backlink evidence checked; Phase 4 approval still required.
https://echobuddha.com/quotes/awareness/,DO_NOT_CHANGE_YET,READY_FOR_SURGICAL_IN_PLACE_IMPROVEMENT,RECLASSIFIED_AFTER_REQUIRED_EVIDENCE_OBTAINED,Query status VISIBLE_PRIMARY_OWNER:2; GOOGLE_USER_CANONICAL_AGREE; Submitted and indexed; backlink evidence checked; Phase 4 approval still required.
https://echobuddha.com/quotes/compassion/,DO_NOT_CHANGE_YET,READY_FOR_SURGICAL_IN_PLACE_IMPROVEMENT,RECLASSIFIED_AFTER_REQUIRED_EVIDENCE_OBTAINED,Query status VISIBLE_PRIMARY_OWNER:9; GOOGLE_USER_CANONICAL_AGREE; Submitted and indexed; backlink evidence checked; Phase 4 approval still required.
https://echobuddha.com/quotes/,DO_NOT_CHANGE_YET,READY_FOR_SURGICAL_IN_PLACE_IMPROVEMENT,RECLASSIFIED_AFTER_REQUIRED_EVIDENCE_OBTAINED,Query status NO_VISIBLE_QUERY_DATA; GOOGLE_USER_CANONICAL_AGREE; Submitted and indexed; backlink evidence checked; Phase 4 approval still required.
https://echobuddha.com/quotes/letting-go/,DO_NOT_CHANGE_YET,READY_FOR_SURGICAL_IN_PLACE_IMPROVEMENT,RECLASSIFIED_AFTER_REQUIRED_EVIDENCE_OBTAINED,Query status VISIBLE_PRIMARY_OWNER:22; GOOGLE_USER_CANONICAL_AGREE; Submitted and indexed; backlink evidence checked; Phase 4 approval still required.
https://echobuddha.com/quotes/meditation/,DO_NOT_CHANGE_YET,READY_FOR_SURGICAL_IN_PLACE_IMPROVEMENT,RECLASSIFIED_AFTER_REQUIRED_EVIDENCE_OBTAINED,Query status VISIBLE_PRIMARY_OWNER:2; GOOGLE_USER_CANONICAL_AGREE; Submitted and indexed; backlink evidence checked; Phase 4 approval still required.
https://echobuddha.com/quotes/mindfulness/,DO_NOT_CHANGE_YET,READY_FOR_SURGICAL_IN_PLACE_IMPROVEMENT,RECLASSIFIED_AFTER_REQUIRED_EVIDENCE_OBTAINED,Query status VISIBLE_PRIMARY_OWNER:3; GOOGLE_USER_CANONICAL_AGREE; Submitted and indexed; backlink evidence checked; Phase 4 approval still required.
https://echobuddha.com/quotes/patience/,DO_NOT_CHANGE_YET,READY_FOR_SURGICAL_IN_PLACE_IMPROVEMENT,RECLASSIFIED_AFTER_REQUIRED_EVIDENCE_OBTAINED,Query status VISIBLE_PRIMARY_OWNER:21; GOOGLE_USER_CANONICAL_AGREE; Submitted and indexed; backlink evidence checked; Phase 4 approval still required.
https://echobuddha.com/quotes/practice/,DO_NOT_CHANGE_YET,READY_FOR_SURGICAL_IN_PLACE_IMPROVEMENT,RECLASSIFIED_AFTER_REQUIRED_EVIDENCE_OBTAINED,Query status NO_VISIBLE_QUERY_DATA; GOOGLE_USER_CANONICAL_AGREE; Submitted and indexed; backlink evidence checked; Phase 4 approval still required.
