URL,old_protection_tier,new_protection_tier,tier_change,reason,old_momentum,new_momentum,old_query_ownership,new_query_ownership,google_index_verdict,google_coverage_state,google_canonical,evidence_date
https://echobuddha.com/404.html,SEO_UNKNOWN,SEO_UNKNOWN,UNCHANGED,NEUTRAL/URL is unknown to Google,INSUFFICIENT_DATA,INSUFFICIENT_VISIBLE_DATA,NO_SEARCH_DATA: query×page join absent,NO_VISIBLE_QUERY_DATA,NEUTRAL,URL is unknown to Google,NOT_REPORTED_BY_URL_INSPECTION,2026-08-21
https://echobuddha.com/about/,SEO_P1_HIGH,SEO_P1_HIGH,UNCHANGED,20 recovery impressions; 1 visible primary query owner rows; PASS/Submitted and indexed,STABLE,STABLE,NO_SEARCH_DATA: query×page join absent,VISIBLE_PRIMARY_OWNER:1,PASS,Submitted and indexed,https://echobuddha.com/about/,2026-08-21
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,SEO_P3_LIMITED,SEO_P3_LIMITED,UNCHANGED,PASS/Submitted and indexed,INSUFFICIENT_DATA,INSUFFICIENT_VISIBLE_DATA,NO_SEARCH_DATA: query×page join absent,NO_VISIBLE_QUERY_DATA,PASS,Submitted and indexed,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,2026-08-21
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,SEO_P3_LIMITED,SEO_P3_LIMITED,UNCHANGED,4 recovery impressions; PASS/Submitted and indexed,INSUFFICIENT_DATA,INSUFFICIENT_VISIBLE_DATA,NO_SEARCH_DATA: query×page join absent,VISIBLE_SUPPORT:1,PASS,Submitted and indexed,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,2026-08-21
https://echobuddha.com/articles/buddhist-approach-to-anger/,SEO_P2_EMERGING,SEO_P2_EMERGING,UNCHANGED,6 recovery impressions; PASS/Submitted and indexed,INSUFFICIENT_DATA,INSUFFICIENT_VISIBLE_DATA,NO_SEARCH_DATA: query×page join absent,NO_VISIBLE_QUERY_DATA,PASS,Submitted and indexed,https://echobuddha.com/articles/buddhist-approach-to-anger/,2026-08-21
https://echobuddha.com/articles/buddhist-gratitude-practice/,SEO_P3_LIMITED,SEO_P3_LIMITED,UNCHANGED,2 recovery impressions; PASS/Submitted and indexed,INSUFFICIENT_DATA,INSUFFICIENT_VISIBLE_DATA,NO_SEARCH_DATA: query×page join absent,NO_VISIBLE_QUERY_DATA,PASS,Submitted and indexed,https://echobuddha.com/articles/buddhist-gratitude-practice/,2026-08-21
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,SEO_P3_LIMITED,SEO_P3_LIMITED,UNCHANGED,1 recovery impressions; PASS/Submitted and indexed,INSUFFICIENT_DATA,INSUFFICIENT_VISIBLE_DATA,NO_SEARCH_DATA: query×page join absent,NO_VISIBLE_QUERY_DATA,PASS,Submitted and indexed,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,2026-08-21
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,SEO_P3_LIMITED,SEO_P3_LIMITED,UNCHANGED,3 recovery impressions; PASS/Submitted and indexed,INSUFFICIENT_DATA,INSUFFICIENT_VISIBLE_DATA,NO_SEARCH_DATA: query×page join absent,NO_VISIBLE_QUERY_DATA,PASS,Submitted and indexed,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,2026-08-21
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,SEO_P1_HIGH,SEO_P1_HIGH,UNCHANGED,17 recovery impressions; 1 visible primary query owner rows; PASS/Submitted and indexed,DECLINING,DECLINING,NO_SEARCH_DATA: query×page join absent,VISIBLE_PRIMARY_OWNER:1,PASS,Submitted and indexed,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,2026-08-21
https://echobuddha.com/articles/category/buddhist-wisdom/,SEO_P2_EMERGING,SEO_P2_EMERGING,UNCHANGED,7 recovery impressions; 1 visible primary query owner rows; PASS/Submitted and indexed,INSUFFICIENT_DATA,INSUFFICIENT_VISIBLE_DATA,NO_SEARCH_DATA: query×page join absent,VISIBLE_PRIMARY_OWNER:1,PASS,Submitted and indexed,https://echobuddha.com/articles/category/buddhist-wisdom/,2026-08-21
https://echobuddha.com/articles/category/meditation/,SEO_P2_EMERGING,SEO_P2_EMERGING,UNCHANGED,1 recovery impressions; PASS/Submitted and indexed,INSUFFICIENT_DATA,INSUFFICIENT_VISIBLE_DATA,NO_SEARCH_DATA: query×page join absent,NO_VISIBLE_QUERY_DATA,PASS,Submitted and indexed,https://echobuddha.com/articles/category/meditation/,2026-08-21
https://echobuddha.com/articles/category/mindfulness/,SEO_P2_EMERGING,SEO_P2_EMERGING,UNCHANGED,1 recovery impressions; PASS/Submitted and indexed,INSUFFICIENT_DATA,INSUFFICIENT_VISIBLE_DATA,NO_SEARCH_DATA: query×page join absent,NO_VISIBLE_QUERY_DATA,PASS,Submitted and indexed,https://echobuddha.com/articles/category/mindfulness/,2026-08-21
https://echobuddha.com/articles/category/practice/,SEO_P2_EMERGING,SEO_P2_EMERGING,UNCHANGED,6 recovery impressions; PASS/Submitted and indexed,INSUFFICIENT_DATA,INSUFFICIENT_VISIBLE_DATA,NO_SEARCH_DATA: query×page join absent,NO_VISIBLE_QUERY_DATA,PASS,Submitted and indexed,https://echobuddha.com/articles/category/practice/,2026-08-21
https://echobuddha.com/articles/category/reflection/,SEO_P2_EMERGING,SEO_P2_EMERGING,UNCHANGED,PASS/Submitted and indexed,INSUFFICIENT_DATA,INSUFFICIENT_VISIBLE_DATA,NO_SEARCH_DATA: query×page join absent,NO_VISIBLE_QUERY_DATA,PASS,Submitted and indexed,https://echobuddha.com/articles/category/reflection/,2026-08-21
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,SEO_P3_LIMITED,SEO_P3_LIMITED,UNCHANGED,1 recovery impressions; PASS/Submitted and indexed,INSUFFICIENT_DATA,INSUFFICIENT_VISIBLE_DATA,NO_SEARCH_DATA: query×page join absent,NO_VISIBLE_QUERY_DATA,PASS,Submitted and indexed,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,2026-08-21
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,SEO_P1_HIGH,SEO_P1_HIGH,UNCHANGED,24 recovery impressions; 11 visible primary query owner rows; PASS/Submitted and indexed; retained stronger historical protection; no one-window downgrade,GROWING,STABLE,NO_SEARCH_DATA: query×page join absent,VISIBLE_PRIMARY_OWNER:11,PASS,Submitted and indexed,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,2026-08-21
https://echobuddha.com/articles/compassion-with-boundaries/,SEO_P2_EMERGING,SEO_P1_HIGH,SEO_P2_EMERGING → SEO_P1_HIGH,15 recovery impressions; PASS/Submitted and indexed,INSUFFICIENT_DATA,GROWING,NO_SEARCH_DATA: query×page join absent,NO_VISIBLE_QUERY_DATA,PASS,Submitted and indexed,https://echobuddha.com/articles/compassion-with-boundaries/,2026-08-21
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,SEO_P2_EMERGING,SEO_P2_EMERGING,UNCHANGED,PASS/Submitted and indexed,INSUFFICIENT_DATA,INSUFFICIENT_VISIBLE_DATA,NO_SEARCH_DATA: query×page join absent,NO_VISIBLE_QUERY_DATA,PASS,Submitted and indexed,https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,2026-08-21
https://echobuddha.com/articles/dhamma-vs-dharma/,SEO_P1_HIGH,SEO_P1_HIGH,UNCHANGED,1 recovery clicks; 281 recovery impressions; STRONGLY_GROWING; 20 visible primary query owner rows; PASS/Submitted and indexed,STRONGLY_GROWING,STRONGLY_GROWING,NO_SEARCH_DATA: query×page join absent,VISIBLE_PRIMARY_OWNER:20,PASS,Submitted and indexed,https://echobuddha.com/articles/dhamma-vs-dharma/,2026-08-21
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,SEO_P3_LIMITED,SEO_P3_LIMITED,UNCHANGED,1 recovery impressions; PASS/Submitted and indexed,INSUFFICIENT_DATA,INSUFFICIENT_VISIBLE_DATA,NO_SEARCH_DATA: query×page join absent,NO_VISIBLE_QUERY_DATA,PASS,Submitted and indexed,https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,2026-08-21
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,SEO_P2_EMERGING,SEO_P1_HIGH,SEO_P2_EMERGING → SEO_P1_HIGH,59 recovery impressions; STRONGLY_GROWING; 8 visible primary query owner rows; PASS/Submitted and indexed,GROWING,STRONGLY_GROWING,NO_SEARCH_DATA: query×page join absent,VISIBLE_PRIMARY_OWNER:8,PASS,Submitted and indexed,https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,2026-08-21
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,SEO_P2_EMERGING,SEO_P1_HIGH,SEO_P2_EMERGING → SEO_P1_HIGH,56 recovery impressions; STRONGLY_GROWING; 1 visible primary query owner rows; PASS/Submitted and indexed,GROWING,STRONGLY_GROWING,NO_SEARCH_DATA: query×page join absent,VISIBLE_PRIMARY_OWNER:1,PASS,Submitted and indexed,https://echobuddha.com/articles/dhammapada-verse-1-meaning/,2026-08-21
https://echobuddha.com/articles/eightfold-path-explained/,SEO_P2_EMERGING,SEO_P2_EMERGING,UNCHANGED,11 recovery impressions; 1 visible primary query owner rows; PASS/Submitted and indexed,INSUFFICIENT_DATA,STABLE,NO_SEARCH_DATA: query×page join absent,VISIBLE_PRIMARY_OWNER:1,PASS,Submitted and indexed,https://echobuddha.com/articles/eightfold-path-explained/,2026-08-21
