source_file,issue,latest_reported_affected_pages,URL,normalized_https_url,raw_last_crawled_value,formatted_display_value,interpreted_last_crawled,last_crawled_confidence,exact_current_inventory_match,normalized_target_inventory_match,inventory_protection_tier,intended_indexable,reconciliation_state,live_http_status,live_redirect_location,live_declared_canonical,live_meta_robots
echobuddha.com-Coverage-Drilldown-2026-08-24.xlsx,Excluded by ‘noindex’ tag,46,https://echobuddha.com/daily-reflections/today/,https://echobuddha.com/daily-reflections/today/,46256,NOT_AVAILABLE_FROM_IMPORT,2026-08-22,HIGH,true,true,SEO_P2_EMERGING,false,REPORT_STATE_ALIGNED_WITH_CURRENT_PRODUCTION,200,,https://echobuddha.com/daily-reflections/today/,"noindex, follow"
echobuddha.com-Coverage-Drilldown-2026-08-24.xlsx,Excluded by ‘noindex’ tag,46,https://echobuddha.com/quotes/impermanence/hold-each-day-carefully-knowing-it-cannot-be-held/,https://echobuddha.com/quotes/impermanence/hold-each-day-carefully-knowing-it-cannot-be-held/,46255,NOT_AVAILABLE_FROM_IMPORT,2026-08-21,HIGH,true,true,SEO_UNKNOWN,false,REPORT_STATE_ALIGNED_WITH_CURRENT_PRODUCTION,200,,https://echobuddha.com/quotes/impermanence/hold-each-day-carefully-knowing-it-cannot-be-held/,"noindex, follow"
echobuddha.com-Coverage-Drilldown-2026-08-24.xlsx,Excluded by ‘noindex’ tag,46,https://echobuddha.com/quotes/letting-go/you-do-not-need-to-carry-every-thought-that/,https://echobuddha.com/quotes/letting-go/you-do-not-need-to-carry-every-thought-that/,46254,NOT_AVAILABLE_FROM_IMPORT,2026-08-20,HIGH,true,true,SEO_P2_EMERGING,false,REPORT_STATE_ALIGNED_WITH_CURRENT_PRODUCTION,200,,https://echobuddha.com/quotes/letting-go/you-do-not-need-to-carry-every-thought-that/,"noindex, follow"
echobuddha.com-Coverage-Drilldown-2026-08-24.xlsx,Excluded by ‘noindex’ tag,46,https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,46253,NOT_AVAILABLE_FROM_IMPORT,2026-08-19,HIGH,true,true,SEO_UNKNOWN,false,REPORT_STATE_ALIGNED_WITH_CURRENT_PRODUCTION,200,,https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,"noindex, follow"
echobuddha.com-Coverage-Drilldown-2026-08-24.xlsx,Excluded by ‘noindex’ tag,46,https://echobuddha.com/quotes/wisdom/wisdom-sees-the-whole-fire-not-only-the-spark/,https://echobuddha.com/quotes/wisdom/wisdom-sees-the-whole-fire-not-only-the-spark/,46253,NOT_AVAILABLE_FROM_IMPORT,2026-08-19,HIGH,true,true,SEO_UNKNOWN,false,REPORT_STATE_ALIGNED_WITH_CURRENT_PRODUCTION,200,,https://echobuddha.com/quotes/wisdom/wisdom-sees-the-whole-fire-not-only-the-spark/,"noindex, follow"
echobuddha.com-Coverage-Drilldown-2026-08-24.xlsx,Excluded by ‘noindex’ tag,46,https://echobuddha.com/quotes/patience/the-path-unfolds-at-the-pace-of-sincere-practice/,https://echobuddha.com/quotes/patience/the-path-unfolds-at-the-pace-of-sincere-practice/,46252,NOT_AVAILABLE_FROM_IMPORT,2026-08-18,HIGH,true,true,SEO_UNKNOWN,false,REPORT_STATE_ALIGNED_WITH_CURRENT_PRODUCTION,200,,https://echobuddha.com/quotes/patience/the-path-unfolds-at-the-pace-of-sincere-practice/,"noindex, follow"
echobuddha.com-Coverage-Drilldown-2026-08-24.xlsx,Excluded by ‘noindex’ tag,46,https://echobuddha.com/quotes/compassion/small-kindnesses-often-reach-places-that-advice-cannot/,https://echobuddha.com/quotes/compassion/small-kindnesses-often-reach-places-that-advice-cannot/,46252,NOT_AVAILABLE_FROM_IMPORT,2026-08-18,HIGH,true,true,SEO_UNKNOWN,false,REPORT_STATE_ALIGNED_WITH_CURRENT_PRODUCTION,200,,https://echobuddha.com/quotes/compassion/small-kindnesses-often-reach-places-that-advice-cannot/,"noindex, follow"
echobuddha.com-Coverage-Drilldown-2026-08-24.xlsx,Excluded by ‘noindex’ tag,46,https://echobuddha.com/quotes/mindfulness/one-mindful-pause-can-change-the-direction-of-an/,https://echobuddha.com/quotes/mindfulness/one-mindful-pause-can-change-the-direction-of-an/,46252,NOT_AVAILABLE_FROM_IMPORT,2026-08-18,HIGH,true,true,SEO_P2_EMERGING,false,REPORT_STATE_ALIGNED_WITH_CURRENT_PRODUCTION,200,,https://echobuddha.com/quotes/mindfulness/one-mindful-pause-can-change-the-direction-of-an/,"noindex, follow"
echobuddha.com-Coverage-Drilldown-2026-08-24.xlsx,Excluded by ‘noindex’ tag,46,https://echobuddha.com/daily-reflections/one-step-on-the-path/,https://echobuddha.com/daily-reflections/one-step-on-the-path/,46252,NOT_AVAILABLE_FROM_IMPORT,2026-08-18,HIGH,true,true,SEO_UNKNOWN,false,REPORT_STATE_ALIGNED_WITH_CURRENT_PRODUCTION,200,,https://echobuddha.com/daily-reflections/one-step-on-the-path/,"noindex, follow"
echobuddha.com-Coverage-Drilldown-2026-08-24.xlsx,Excluded by ‘noindex’ tag,46,https://echobuddha.com/daily-reflections/mindful-work/,https://echobuddha.com/daily-reflections/mindful-work/,46251,NOT_AVAILABLE_FROM_IMPORT,2026-08-17,HIGH,true,true,SEO_UNKNOWN,false,REPORT_STATE_ALIGNED_WITH_CURRENT_PRODUCTION,200,,https://echobuddha.com/daily-reflections/mindful-work/,"noindex, follow"
