URL,normalized_current_url,current_inventory_match,clicks,impressions,ctr,position,window,window_name,protection_tier,phase_2_value_score
https://echobuddha.com/,https://echobuddha.com/,true,12,81,0.14814814814814814,4.185185185185185,2026-06-23..2026-08-21,recovery,SEO_P0_CRITICAL,79
https://echobuddha.com/articles/right-speech-buddhism/,https://echobuddha.com/articles/right-speech-buddhism/,true,3,392,0.007653061224489796,19.727040816326532,2026-06-23..2026-08-21,recovery,SEO_P0_CRITICAL,78
https://echobuddha.com/quotes/letting-go/,https://echobuddha.com/quotes/letting-go/,true,3,189,0.015873015873015872,19.01058201058201,2026-06-23..2026-08-21,recovery,SEO_P0_CRITICAL,52
https://echobuddha.com/articles/dhamma-vs-dharma/,https://echobuddha.com/articles/dhamma-vs-dharma/,true,1,281,0.0035587188612099642,12.263345195729537,2026-06-23..2026-08-21,recovery,SEO_P1_HIGH,63
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,true,1,15,0.06666666666666667,44.6,2026-06-23..2026-08-21,recovery,SEO_P1_HIGH,63
https://echobuddha.com/articles/three-poisons-buddhism-explained/,https://echobuddha.com/articles/three-poisons-buddhism-explained/,true,1,118,0.00847457627118644,40.186440677966104,2026-06-23..2026-08-21,recovery,SEO_P1_HIGH,72
https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/,true,1,4,0.25,9.75,2026-06-23..2026-08-21,recovery,SEO_P1_HIGH,73
https://echobuddha.com/learn/buddhist-dictionary/sati/,https://echobuddha.com/learn/buddhist-dictionary/sati/,true,1,2,0.5,73,2026-06-23..2026-08-21,recovery,SEO_P1_HIGH,75
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,true,1,5,0.2,7.2,2026-06-23..2026-08-21,recovery,SEO_P1_HIGH,91
https://echobuddha.com/quotes/compassion/,https://echobuddha.com/quotes/compassion/,true,1,51,0.0196078431372549,45.76470588235294,2026-06-23..2026-08-21,recovery,SEO_P1_HIGH,51
https://echobuddha.com/quotes/mindfulness/,https://echobuddha.com/quotes/mindfulness/,true,1,20,0.05,25.05,2026-06-23..2026-08-21,recovery,SEO_P1_HIGH,52
https://echobuddha.com/quotes/patience/,https://echobuddha.com/quotes/patience/,true,1,182,0.005494505494505495,23.983516483516482,2026-06-23..2026-08-21,recovery,SEO_P1_HIGH,52
