url,family,title_present,title_duplicate,description_present,description_duplicate,h1_count,canonical_present,og_url_matches_canonical,result
https://echobuddha.com/,Homepage,yes,no,yes,no,1,yes,yes,pass
https://echobuddha.com/404.html,Error,yes,no,yes,no,1,no,not_applicable,pass
https://echobuddha.com/about/,Trust,yes,no,yes,no,1,yes,yes,pass
https://echobuddha.com/articles/,Article hub,yes,no,yes,no,1,yes,yes,pass
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,Article,yes,no,yes,no,1,yes,yes,pass
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,Article,yes,no,yes,no,1,yes,yes,pass
https://echobuddha.com/articles/buddhist-approach-to-anger/,Article,yes,no,yes,no,1,yes,yes,pass
https://echobuddha.com/articles/buddhist-gratitude-practice/,Article,yes,no,yes,no,1,yes,yes,pass
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,Article,yes,no,yes,no,1,yes,yes,pass
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,Article,yes,no,yes,no,1,yes,yes,pass
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,Article,yes,no,yes,no,1,yes,yes,pass
https://echobuddha.com/articles/category/buddhist-wisdom/,Article category,yes,no,yes,no,1,yes,yes,pass
https://echobuddha.com/articles/category/meditation/,Article category,yes,no,yes,no,1,yes,yes,pass
https://echobuddha.com/articles/category/mindfulness/,Article category,yes,no,yes,no,1,yes,yes,pass
https://echobuddha.com/articles/category/practice/,Article category,yes,no,yes,no,1,yes,yes,pass
https://echobuddha.com/articles/category/reflection/,Article category,yes,no,yes,no,1,yes,yes,pass
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,Article,yes,no,yes,no,1,yes,yes,pass
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Article,yes,no,yes,no,1,yes,yes,pass
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,Article,yes,no,yes,no,1,yes,yes,pass
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,Article,yes,no,yes,no,1,yes,yes,pass
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,Article,yes,no,yes,no,1,yes,yes,pass
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,Article,yes,no,yes,no,1,yes,yes,pass
https://echobuddha.com/articles/eightfold-path-explained/,Article,yes,no,yes,no,1,yes,yes,pass
https://echobuddha.com/articles/equanimity-in-buddhism/,Article,yes,no,yes,no,1,yes,yes,pass
https://echobuddha.com/articles/five-precepts-in-daily-life/,Article,yes,no,yes,no,1,yes,yes,pass
https://echobuddha.com/articles/four-noble-truths-explained-simply/,Article,yes,no,yes,no,1,yes,yes,pass
https://echobuddha.com/articles/four-noble-truths-explained/,Article,yes,no,yes,no,1,yes,yes,pass
