requested_url,final_url,final_status,content_type,cache_control,cf_cache_status,response_ms,result,error
http://echobuddha.com/,https://echobuddha.com/,200,text/html,"public, max-age=0, must-revalidate",HIT,75,pass,
https://echobuddha.com/,https://echobuddha.com/,200,text/html,"public, max-age=0, must-revalidate",HIT,23,pass,
http://www.echobuddha.com/,https://echobuddha.com/,200,text/html,"public, max-age=0, must-revalidate",HIT,60,pass,
https://www.echobuddha.com/,https://echobuddha.com/,200,text/html,"public, max-age=0, must-revalidate",HIT,71,pass,
https://echobuddha.com/start-here,https://echobuddha.com/start-here/,200,text/html,"public, max-age=0, must-revalidate",HIT,39,pass,
https://echobuddha.com/start-here/,https://echobuddha.com/start-here/,200,text/html,"public, max-age=0, must-revalidate",HIT,20,pass,
https://echobuddha.com/Start-Here/,https://echobuddha.com/Start-Here/,404,,,,17,expected_or_review_404,
https://echobuddha.com/not-a-real-page/,https://echobuddha.com/not-a-real-page/,404,,,,16,expected_or_review_404,
https://echobuddha.com/favicon.ico,https://echobuddha.com/favicon.ico,200,image/vnd.microsoft.icon,"public, max-age=0, must-revalidate",HIT,20,pass,
https://echobuddha.com/robots.txt,https://echobuddha.com/robots.txt,200,text/plain; charset=utf-8,,,18,pass,
https://echobuddha.com/sitemap.xml,https://echobuddha.com/sitemap.xml,200,application/xml,"public, max-age=0, must-revalidate",HIT,19,pass,
https://echobuddha.com/site.webmanifest,https://echobuddha.com/site.webmanifest,200,application/manifest+json,"public, max-age=0, must-revalidate",HIT,21,pass,
