URL,before author,after author,before author URL,after author URL,before source status,after source status,dates corrected?,schema corrected?,trust-page relationship,reason
https://echobuddha.com/about/,NO_BYLINE_EXPECTED,NO_BYLINE_EXPECTED,NOT_APPLICABLE,NOT_APPLICABLE,TRUST_POLICY_PRESENT,SOURCE_CONTEXT_PRESENT; INTERNAL_ROLE_LANGUAGE_REMOVED,NOT_APPLICABLE,NO_SCHEMA_CHANGE_REQUIRED,/editorial-policy/ via page or footer,Align public language and date semantics with truthful governance
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,Echo Buddha Editorial,Echo Buddha Editorial,/authors/echo-buddha-editorial/,/authors/echo-buddha-editorial/,SOURCE_CONTEXT_PRESENT; INTERNAL_ROLE_LANGUAGE_VISIBLE_ON_SOME_TEMPLATES,SOURCE_CONTEXT_PRESENT; INTERNAL_ROLE_LANGUAGE_REMOVED,VISIBLE_LABEL_REVIEWED_TO_UPDATED; DATE_VALUES_UNCHANGED,NO_SCHEMA_CHANGE_REQUIRED,/authors/echo-buddha-editorial/,Align public language and date semantics with truthful governance
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,Echo Buddha Editorial,Echo Buddha Editorial,/authors/echo-buddha-editorial/,/authors/echo-buddha-editorial/,SOURCE_CONTEXT_PRESENT; INTERNAL_ROLE_LANGUAGE_VISIBLE_ON_SOME_TEMPLATES,SOURCE_CONTEXT_PRESENT; INTERNAL_ROLE_LANGUAGE_REMOVED,VISIBLE_LABEL_REVIEWED_TO_UPDATED; DATE_VALUES_UNCHANGED,NO_SCHEMA_CHANGE_REQUIRED,/authors/echo-buddha-editorial/,Align public language and date semantics with truthful governance
https://echobuddha.com/articles/buddhist-approach-to-anger/,Echo Buddha Editorial,Echo Buddha Editorial,/authors/echo-buddha-editorial/,/authors/echo-buddha-editorial/,SOURCE_CONTEXT_PRESENT; INTERNAL_ROLE_LANGUAGE_VISIBLE_ON_SOME_TEMPLATES,SOURCE_CONTEXT_PRESENT; INTERNAL_ROLE_LANGUAGE_REMOVED,VISIBLE_LABEL_REVIEWED_TO_UPDATED; DATE_VALUES_UNCHANGED,NO_SCHEMA_CHANGE_REQUIRED,/authors/echo-buddha-editorial/,Align public language and date semantics with truthful governance
https://echobuddha.com/articles/buddhist-gratitude-practice/,Echo Buddha Editorial,Echo Buddha Editorial,/authors/echo-buddha-editorial/,/authors/echo-buddha-editorial/,SOURCE_CONTEXT_PRESENT; INTERNAL_ROLE_LANGUAGE_VISIBLE_ON_SOME_TEMPLATES,SOURCE_CONTEXT_PRESENT; INTERNAL_ROLE_LANGUAGE_REMOVED,VISIBLE_LABEL_REVIEWED_TO_UPDATED; DATE_VALUES_UNCHANGED,NO_SCHEMA_CHANGE_REQUIRED,/authors/echo-buddha-editorial/,Align public language and date semantics with truthful governance
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,Echo Buddha Editorial,Echo Buddha Editorial,/authors/echo-buddha-editorial/,/authors/echo-buddha-editorial/,SOURCE_CONTEXT_PRESENT; INTERNAL_ROLE_LANGUAGE_VISIBLE_ON_SOME_TEMPLATES,SOURCE_CONTEXT_PRESENT; INTERNAL_ROLE_LANGUAGE_REMOVED,VISIBLE_LABEL_REVIEWED_TO_UPDATED; DATE_VALUES_UNCHANGED,NO_SCHEMA_CHANGE_REQUIRED,/authors/echo-buddha-editorial/,Align public language and date semantics with truthful governance
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,Echo Buddha Editorial,Echo Buddha Editorial,/authors/echo-buddha-editorial/,/authors/echo-buddha-editorial/,SOURCE_CONTEXT_PRESENT; INTERNAL_ROLE_LANGUAGE_VISIBLE_ON_SOME_TEMPLATES,SOURCE_CONTEXT_PRESENT; INTERNAL_ROLE_LANGUAGE_REMOVED,VISIBLE_LABEL_REVIEWED_TO_UPDATED; DATE_VALUES_UNCHANGED,NO_SCHEMA_CHANGE_REQUIRED,/authors/echo-buddha-editorial/,Align public language and date semantics with truthful governance
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,Echo Buddha Editorial,Echo Buddha Editorial,/authors/echo-buddha-editorial/,/authors/echo-buddha-editorial/,SOURCE_CONTEXT_PRESENT; INTERNAL_ROLE_LANGUAGE_VISIBLE_ON_SOME_TEMPLATES,SOURCE_CONTEXT_PRESENT; INTERNAL_ROLE_LANGUAGE_REMOVED,VISIBLE_LABEL_REVIEWED_TO_UPDATED; DATE_VALUES_UNCHANGED,NO_SCHEMA_CHANGE_REQUIRED,/authors/echo-buddha-editorial/,Align public language and date semantics with truthful governance
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,Echo Buddha Editorial,Echo Buddha Editorial,/authors/echo-buddha-editorial/,/authors/echo-buddha-editorial/,SOURCE_CONTEXT_PRESENT; INTERNAL_ROLE_LANGUAGE_VISIBLE_ON_SOME_TEMPLATES,SOURCE_CONTEXT_PRESENT; INTERNAL_ROLE_LANGUAGE_REMOVED,VISIBLE_LABEL_REVIEWED_TO_UPDATED; DATE_VALUES_UNCHANGED,NO_SCHEMA_CHANGE_REQUIRED,/authors/echo-buddha-editorial/,Align public language and date semantics with truthful governance
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Echo Buddha Editorial,Echo Buddha Editorial,/authors/echo-buddha-editorial/,/authors/echo-buddha-editorial/,SOURCE_CONTEXT_PRESENT; INTERNAL_ROLE_LANGUAGE_VISIBLE_ON_SOME_TEMPLATES,SOURCE_CONTEXT_PRESENT; INTERNAL_ROLE_LANGUAGE_REMOVED,VISIBLE_LABEL_REVIEWED_TO_UPDATED; DATE_VALUES_UNCHANGED,NO_SCHEMA_CHANGE_REQUIRED,/authors/echo-buddha-editorial/,Align public language and date semantics with truthful governance
