URL,schema type,author,author type,author URL,publisher,datePublished,dateModified,visible match,errors,final status
https://echobuddha.com/about/,AboutPage,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE_OR_MAIN_ENTITY,NOT_APPLICABLE,NOT_APPLICABLE,YES,NONE,PASS
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,BlogPosting | Article | BreadcrumbList | FAQPage,Echo Buddha Editorial,Organization,https://echobuddha.com/authors/echo-buddha-editorial/,Echo Buddha,2026-06-01,2026-07-01,YES,NONE,PASS
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,BlogPosting | Article | BreadcrumbList | FAQPage,Echo Buddha Editorial,Organization,https://echobuddha.com/authors/echo-buddha-editorial/,Echo Buddha,2026-06-24,2026-07-01,YES,NONE,PASS
https://echobuddha.com/articles/buddhist-approach-to-anger/,BlogPosting | Article | BreadcrumbList | FAQPage,Echo Buddha Editorial,Organization,https://echobuddha.com/authors/echo-buddha-editorial/,Echo Buddha,2026-06-17,2026-07-01,YES,NONE,PASS
https://echobuddha.com/articles/buddhist-gratitude-practice/,BlogPosting | Article | BreadcrumbList | FAQPage,Echo Buddha Editorial,Organization,https://echobuddha.com/authors/echo-buddha-editorial/,Echo Buddha,2026-07-13,2026-07-13,YES,NONE,PASS
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,BlogPosting | Article | BreadcrumbList | FAQPage,Echo Buddha Editorial,Organization,https://echobuddha.com/authors/echo-buddha-editorial/,Echo Buddha,2026-06-25,2026-06-25,YES,NONE,PASS
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,BlogPosting | Article | BreadcrumbList | FAQPage,Echo Buddha Editorial,Organization,https://echobuddha.com/authors/echo-buddha-editorial/,Echo Buddha,2026-06-19,2026-07-01,YES,NONE,PASS
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,BlogPosting | Article | BreadcrumbList | FAQPage,Echo Buddha Editorial,Organization,https://echobuddha.com/authors/echo-buddha-editorial/,Echo Buddha,2026-06-26,2026-08-24,YES,NONE,PASS
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,BlogPosting | Article | BreadcrumbList | FAQPage,Echo Buddha Editorial,Organization,https://echobuddha.com/authors/echo-buddha-editorial/,Echo Buddha,2026-05-18,2026-07-01,YES,NONE,PASS
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,BlogPosting | Article | BreadcrumbList | FAQPage,Echo Buddha Editorial,Organization,https://echobuddha.com/authors/echo-buddha-editorial/,Echo Buddha,2026-07-01,2026-07-01,YES,NONE,PASS
https://echobuddha.com/articles/compassion-with-boundaries/,BlogPosting | Article | BreadcrumbList | FAQPage,Echo Buddha Editorial,Organization,https://echobuddha.com/authors/echo-buddha-editorial/,Echo Buddha,2026-08-05,2026-08-24,YES,NONE,PASS
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,BlogPosting | Article | BreadcrumbList | FAQPage,Echo Buddha Editorial,Organization,https://echobuddha.com/authors/echo-buddha-editorial/,Echo Buddha,2026-03-03,2026-07-01,YES,NONE,PASS
