URL,Page family,Evidence,Implementation,HTTP expectation,Canonical,Sitemap,Internal search,Owner retained,Rollback
https://echobuddha.com/daily-reflections/anger-as-a-signal/,daily reflection,310 words; nearest overlap 73.7%; Phase 1 recommendation NOINDEX.,"meta robots noindex, follow",200 and fully accessible,https://echobuddha.com/daily-reflections/anger-as-a-signal/,Removed,Retained,https://echobuddha.com/daily-reflections/,Remove Layout noindex and restore daily detail sitemap spread.
https://echobuddha.com/daily-reflections/begin-again-without-shame/,daily reflection,307 words; nearest overlap 73.8%; Phase 1 recommendation NOINDEX.,"meta robots noindex, follow",200 and fully accessible,https://echobuddha.com/daily-reflections/begin-again-without-shame/,Removed,Retained,https://echobuddha.com/daily-reflections/,Remove Layout noindex and restore daily detail sitemap spread.
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,daily reflection,306 words; nearest overlap 74.5%; Phase 1 recommendation NOINDEX.,"meta robots noindex, follow",200 and fully accessible,https://echobuddha.com/daily-reflections/compassion-begins-nearby/,Removed,Retained,https://echobuddha.com/daily-reflections/,Remove Layout noindex and restore daily detail sitemap spread.
https://echobuddha.com/daily-reflections/enough-for-this-moment/,daily reflection,298 words; nearest overlap 74.1%; Phase 1 recommendation NOINDEX.,"meta robots noindex, follow",200 and fully accessible,https://echobuddha.com/daily-reflections/enough-for-this-moment/,Removed,Retained,https://echobuddha.com/daily-reflections/,Remove Layout noindex and restore daily detail sitemap spread.
https://echobuddha.com/daily-reflections/evening-release/,daily reflection,314 words; nearest overlap 73.7%; Phase 1 recommendation NOINDEX.,"meta robots noindex, follow",200 and fully accessible,https://echobuddha.com/daily-reflections/evening-release/,Removed,Retained,https://echobuddha.com/daily-reflections/,Remove Layout noindex and restore daily detail sitemap spread.
https://echobuddha.com/daily-reflections/family-patience/,daily reflection,300 words; nearest overlap 74.1%; Phase 1 recommendation NOINDEX.,"meta robots noindex, follow",200 and fully accessible,https://echobuddha.com/daily-reflections/family-patience/,Removed,Retained,https://echobuddha.com/daily-reflections/,Remove Layout noindex and restore daily detail sitemap spread.
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,daily reflection,303 words; nearest overlap 75.8%; Phase 1 recommendation NOINDEX.,"meta robots noindex, follow",200 and fully accessible,https://echobuddha.com/daily-reflections/forgiveness-without-approval/,Removed,Retained,https://echobuddha.com/daily-reflections/,Remove Layout noindex and restore daily detail sitemap spread.
https://echobuddha.com/daily-reflections/gratitude-for-change/,daily reflection,290 words; nearest overlap 73.8%; Phase 1 recommendation NOINDEX.,"meta robots noindex, follow",200 and fully accessible,https://echobuddha.com/daily-reflections/gratitude-for-change/,Removed,Retained,https://echobuddha.com/daily-reflections/,Remove Layout noindex and restore daily detail sitemap spread.
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,daily reflection,297 words; nearest overlap 74.3%; Phase 1 recommendation NOINDEX.,"meta robots noindex, follow",200 and fully accessible,https://echobuddha.com/daily-reflections/gratitude-notices-enough/,Removed,Retained,https://echobuddha.com/daily-reflections/,Remove Layout noindex and restore daily detail sitemap spread.
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,daily reflection,297 words; nearest overlap 73.8%; Phase 1 recommendation NOINDEX.,"meta robots noindex, follow",200 and fully accessible,https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,Removed,Retained,https://echobuddha.com/daily-reflections/,Remove Layout noindex and restore daily detail sitemap spread.
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,daily reflection,302 words; nearest overlap 76.0%; Phase 1 recommendation NOINDEX.,"meta robots noindex, follow",200 and fully accessible,https://echobuddha.com/daily-reflections/kindness-with-boundaries/,Removed,Retained,https://echobuddha.com/daily-reflections/,Remove Layout noindex and restore daily detail sitemap spread.
https://echobuddha.com/daily-reflections/let-the-feeling-pass/,daily reflection,318 words; nearest overlap 73.4%; Phase 1 recommendation NOINDEX.,"meta robots noindex, follow",200 and fully accessible,https://echobuddha.com/daily-reflections/let-the-feeling-pass/,Removed,Retained,https://echobuddha.com/daily-reflections/,Remove Layout noindex and restore daily detail sitemap spread.
