URL,Page family,Variant,Before index state,After index state,Sitemap after,Phase 3 action,Primary owner,Evidence,Rationale
https://echobuddha.com/quotes/awareness/acceptance-before-next-step/,quote story,individually authored story,indexable,indexable,in sitemap,KEEP_INDEXED,https://echobuddha.com/quotes/,Built 2026-08-11T02:17:46.273Z; 666 words; 17 content headings; individually authored story; nearest /quotes/awareness/feelings-without-the-wheel/ combined overlap 65.8%; external source links 0,Individually authored reflection retains a distinct narrative and remains in the curated indexed subset.
https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,quote story,generated story,indexable,noindex,out of sitemap,NOINDEX,https://echobuddha.com/quotes/,Built 2026-08-11T02:17:46.273Z; 680 words; 17 content headings; generated story; nearest /quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/ combined overlap 86.0%; external source links 0,Mechanically generated story has high structural overlap and limited independent search value; route and internal discovery remain available.
https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/,quote story,generated story,indexable,noindex,out of sitemap,NOINDEX,https://echobuddha.com/quotes/,Built 2026-08-11T02:17:46.273Z; 706 words; 17 content headings; generated story; nearest /quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/ combined overlap 85.2%; external source links 0,Mechanically generated story has high structural overlap and limited independent search value; route and internal discovery remain available.
https://echobuddha.com/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/,quote story,generated story,noindex,noindex,out of sitemap,KEEP_NOINDEXED,https://echobuddha.com/quotes/,Current noindex page preserved; not part of the indexable scoring population.,Existing noindex generated story remains accessible and excluded from the sitemap.
https://echobuddha.com/quotes/awareness/feelings-are-honest-about-their-presence-not-always-about/,quote story,generated story,noindex,noindex,out of sitemap,KEEP_NOINDEXED,https://echobuddha.com/quotes/,Current noindex page preserved; not part of the indexable scoring population.,Existing noindex generated story remains accessible and excluded from the sitemap.
https://echobuddha.com/quotes/awareness/feelings-without-the-wheel/,quote story,individually authored story,indexable,indexable,in sitemap,KEEP_INDEXED,https://echobuddha.com/quotes/,Built 2026-08-11T02:17:46.273Z; 640 words; 17 content headings; individually authored story; nearest /quotes/awareness/one-breath-before-anger-replies/ combined overlap 68.2%; external source links 0,Individually authored reflection retains a distinct narrative and remains in the curated indexed subset.
https://echobuddha.com/quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/,quote story,generated story,indexable,noindex,out of sitemap,NOINDEX,https://echobuddha.com/quotes/,Built 2026-08-11T02:17:46.273Z; 685 words; 17 content headings; generated story; nearest /quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/ combined overlap 86.5%; external source links 0,Mechanically generated story has high structural overlap and limited independent search value; route and internal discovery remain available.
https://echobuddha.com/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/,quote story,generated story,indexable,noindex,out of sitemap,NOINDEX,https://echobuddha.com/quotes/,Built 2026-08-11T02:17:46.273Z; 700 words; 17 content headings; generated story; nearest /quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/ combined overlap 87.5%; external source links 0,Mechanically generated story has high structural overlap and limited independent search value; route and internal discovery remain available.
https://echobuddha.com/quotes/awareness/notice-the-habit-before-trying-to-become-someone-without/,quote story,generated story,noindex,noindex,out of sitemap,KEEP_NOINDEXED,https://echobuddha.com/quotes/,Current noindex page preserved; not part of the indexable scoring population.,Existing noindex generated story remains accessible and excluded from the sitemap.
https://echobuddha.com/quotes/awareness/one-breath-before-anger-replies/,quote story,individually authored story,indexable,indexable,in sitemap,KEEP_INDEXED,https://echobuddha.com/quotes/,Built 2026-08-11T02:17:46.273Z; 670 words; 17 content headings; individually authored story; nearest /quotes/awareness/feelings-without-the-wheel/ combined overlap 68.2%; external source links 0,Individually authored reflection retains a distinct narrative and remains in the curated indexed subset.
