Item ID,Reviewer,Decision required,Scope,Reason,Status
P2-HR-01,Owner,Confirm the real publisher/editorial identity and accountable entity before future trust-page implementation.,/about/ | /authors/echo-buddha-editorial/,Identity cannot be inferred or invented.,OPEN
P2-HR-02,Owner / Search Console,Provide a fresh query-to-page and indexing export before destructive Phase 3 decisions.,All consolidation/noindex candidates,Current repository export ends 2026-08-02 and has sparse data.,OPEN
P2-HR-03,Buddhist source expert,"Review Dhammapada translation, paraphrase, attribution, and verse-role boundaries.",/learn/dhammapada-reflections/ and related pages,Source nuance and copyright cannot be settled by architecture logic.,OPEN
P2-HR-04,Buddhist source expert,"Review sutta titles, canonical references, translation scope, and tradition framing.",/learn/sutta-for-daily-life/ and related pages,Canonical/source-study accuracy needs qualified review.,OPEN
P2-HR-05,Buddhist terminology expert,Review metta/karuna/compassion and mindfulness/sati boundaries.,Dictionary and compassion/metta clusters,English/Pali and tradition nuance affects defensible coexistence.,OPEN
P2-HR-06,Wellbeing reviewer,"Review anxiety, overthinking, sleep, and meditation-difficulty framing.",Sensitive meditation/article routes,Architecture does not certify clinical or safety adequacy.,OPEN
P2-HR-07,Owner / Editorial,Approve the seven Phase 1 consolidation candidates after preserving unique material.,Seven CONSOLIDATE_REVIEW pages,No merge or redirect is authorized in Phase 2.,OPEN
P2-HR-08,Owner / Editorial,"Choose the final beginner-meditation boundary among the article, meditation route, and /meditation-guide/.",Meditation beginner pages,Current promises materially overlap; brand/journey choice is required.,OPEN
P2-HR-09,Owner / Editorial,Approve or reject Phase 3 review of 60 generated quote stories.,Generated indexable quote-story family,Browsing value and independent search value must be judged separately.,OPEN
P2-HR-10,Owner / Editorial,Approve or reject Phase 3 review of 30 daily-reflection details.,Daily-reflection detail family,Recurring-user value must be preserved regardless of index decision.,OPEN
P2-HR-11,Owner / Analytics,"Provide reliable backlink, landing-page, and engagement evidence for candidates where available.",High-conflict clusters,Ownership should not discard established value without evidence.,OPEN
P2-HR-12,Owner,Approve the content-expansion holds and permanent new-page gate.,Beginner Buddhism | Four Noble Truths | Noble Eightfold Path | Impermanence | Attachment / Non-Attachment / Letting Go | Compassion | Loving-Kindness / Metta | Meditation | Breath / Mindfulness of Breathing | Mindfulness | Dhammapada | Quotes | Daily Reflections,Governance adoption is an owner decision.,OPEN
P3-HR-01,Owner / Search Console,"Provide current GSC query, coverage, crawl, and backlink exports before deployment.",All Phase 3 actions,"Repository evidence supports reversible noindex actions, but live demand and backlinks remain external evidence.",OPEN
P3-HR-02,Editor,Approve content-preservation plans for all seven deferred consolidation candidates.,Deferred consolidation register,Redirects are unsafe until distinct passages and sources are integrated.,OPEN
P3-HR-03,Buddhist source expert,Validate source-study attribution and translation boundaries before Phase 4 rewriting.,Dhammapada and sutta study,Expert/source nuance cannot be inferred from templates.,OPEN
P3-HR-04,Owner / wellbeing reviewer,Review meditation safety and wellbeing language before editorial consolidation.,Meditation and wellbeing routes,Safety-sensitive claims require human review.,OPEN
