URL,Page family,Variant,Before index state,After index state,Sitemap after,Phase 3 action,Primary owner,Evidence,Rationale
https://echobuddha.com/meditation-guide/,other,,indexable,indexable,in sitemap,IMPROVE_LATER_PHASE,https://echobuddha.com/meditation/,Phase 1: Built 2026-08-11T02:17:46.273Z; 1267 words; 23 content headings; authored route; nearest /articles/how-to-meditate-for-anxiety/ combined overlap 19.0%; external source links 3; role review: PRACTICE_GUIDE; owner selection: It organizes practice choices and routes readers without pretending to be every meditation method.,"Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5."
https://echobuddha.com/meditation/,hub/utility,,indexable,indexable,in sitemap,KEEP_INDEXED,https://echobuddha.com/meditation/,Phase 1: Built 2026-08-11T02:17:46.273Z; 387 words; 10 content headings; authored route; nearest /meditation/mindfulness-in-daily-life/ combined overlap 15.1%; external source links 2; role review: HUB; owner selection: It organizes practice choices and routes readers without pretending to be every meditation method.,Distinct route purpose remains valid under the Phase 2 ownership architecture; no indexability change justified.
https://echobuddha.com/meditation/10-minute-meditation-practice/,meditation detail,,indexable,indexable,in sitemap,IMPROVE_LATER_PHASE,https://echobuddha.com/meditation/,Phase 1: Built 2026-08-11T02:17:46.273Z; 462 words; 11 content headings; authored route; nearest /meditation/when-meditation-feels-hard/ combined overlap 49.3%; external source links 3; role review: PRACTICE_GUIDE; owner selection: It organizes practice choices and routes readers without pretending to be every meditation method.,"Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5."
https://echobuddha.com/meditation/5-minute-meditation-practice/,meditation detail,,indexable,indexable,in sitemap,IMPROVE_LATER_PHASE,https://echobuddha.com/meditation/,Phase 1: Built 2026-08-11T02:17:46.273Z; 373 words; 14 content headings; authored route; nearest /meditation/breathing-meditation/ combined overlap 64.6%; external source links 1; role review: PRACTICE_GUIDE; owner selection: It organizes practice choices and routes readers without pretending to be every meditation method.,"Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5."
https://echobuddha.com/meditation/breathing-meditation/,meditation detail,,indexable,indexable,in sitemap,IMPROVE_LATER_PHASE,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,Phase 1: Built 2026-08-11T02:17:46.273Z; 392 words; 14 content headings; authored route; nearest /meditation/loving-kindness-meditation/ combined overlap 66.8%; external source links 1; role review: PRACTICE_GUIDE; owner selection: It owns the fuller breath-method explanation; practice and source pages keep distinct roles.,"Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5."
https://echobuddha.com/meditation/loving-kindness-meditation/,meditation detail,,indexable,indexable,in sitemap,IMPROVE_LATER_PHASE,https://echobuddha.com/learn/buddhist-dictionary/metta/,Phase 1: Built 2026-08-11T02:17:46.273Z; 395 words; 14 content headings; authored route; nearest /meditation/breathing-meditation/ combined overlap 66.8%; external source links 1; role review: PRACTICE_GUIDE; owner selection: The term page should own metta meaning while meditation pages own practices and scripts.,"Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5."
https://echobuddha.com/meditation/meditation-for-beginners/,meditation detail,,indexable,indexable,in sitemap,IMPROVE_LATER_PHASE,https://echobuddha.com/meditation/,Phase 1: Built 2026-08-11T02:17:46.273Z; 418 words; 14 content headings; authored route; nearest /meditation/5-minute-meditation-practice/ combined overlap 61.4%; external source links 1; role review: PRACTICE_GUIDE; owner selection: It organizes practice choices and routes readers without pretending to be every meditation method.,"Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5."
https://echobuddha.com/meditation/meditation-posture-for-beginners/,meditation detail,,indexable,indexable,in sitemap,IMPROVE_LATER_PHASE,https://echobuddha.com/meditation/,Phase 1: Built 2026-08-11T02:17:46.273Z; 466 words; 11 content headings; authored route; nearest /meditation/10-minute-meditation-practice/ combined overlap 48.4%; external source links 2; role review: PRACTICE_GUIDE; owner selection: It organizes practice choices and routes readers without pretending to be every meditation method.,"Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5."
https://echobuddha.com/meditation/mindfulness-in-daily-life/,meditation detail,,indexable,indexable,in sitemap,IMPROVE_LATER_PHASE,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,"Phase 1: Built 2026-08-11T02:17:46.273Z; 386 words; 14 content headings; authored route; nearest /meditation/walking-meditation/ combined overlap 66.0%; external source links 1; role review: PRACTICE_GUIDE; owner selection: The lesson owns Buddhist mindfulness meaning; dictionary, comparison, and routine pages remain narrower.","Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5."
https://echobuddha.com/meditation/walking-meditation/,meditation detail,,indexable,indexable,in sitemap,KEEP_INDEXED,https://echobuddha.com/meditation/walking-meditation/,Phase 1: Built 2026-08-11T02:17:46.273Z; 379 words; 14 content headings; authored route; nearest /meditation/breathing-meditation/ combined overlap 66.8%; external source links 1; role review: PRACTICE_GUIDE; owner selection: The meditation route should own the repeatable walking practice; the article must add depth or be reviewed for consolidation.,Distinct route purpose remains valid under the Phase 2 ownership architecture; no indexability change justified.
https://echobuddha.com/meditation/when-meditation-feels-hard/,meditation detail,,indexable,indexable,in sitemap,IMPROVE_LATER_PHASE,https://echobuddha.com/meditation/,Phase 1: Built 2026-08-11T02:17:46.273Z; 471 words; 11 content headings; authored route; nearest /meditation/10-minute-meditation-practice/ combined overlap 49.3%; external source links 3; role review: PRACTICE_GUIDE; owner selection: It organizes practice choices and routes readers without pretending to be every meditation method.,"Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5."
